0,Perk Name,Cost,Source,Description
11,Obtain Traits ,200 CP,RimWorld,"Upon purchasing this perk, you may select any single trait from the full list of traits existing in the RimWorld game. This chosen trait is held in reserve, waiting to be applied. You may bestow it upon yourself or upon another person you touch - a process that takes a few minutes of concentration to complete.

The effect causes permanent physiological and/or psychological changes to the target, integrating the trait as though it were always part of their nature. Identical traits do not stack, and attempting to apply multiple traits that conflict or interact unpredictably may have unintended consequences.

This perk may be purchased multiple times, with each purchase granting another trait to hold in reserve for later application. Beware of unintended psychological or physiological effects: tampering with someone's fundamental nature rarely comes without risk."
12,Acquire Skills,100 CP,RimWorld,"Upon purchasing this perk, you may select any single skill from the full list of skills existing in the RimWorld game. This chosen skill is held in reserve, waiting to be applied. You may bestow it upon yourself or upon another person you touch - a process that takes a few minutes of concentration to complete.

The effect grants two levels of proficiency in the chosen skill to the target, up to a maximum of 20. These skill levels integrate naturally, as though gained through genuine experience and practice. This perk may be purchased multiple times, with each purchase granting another skill level reserve to choose, hold and apply."
13,Vanilla Weapons Expanded,200 CP,Modded RimWorld,"You gain a complete mental compendium of blueprints for every craftable weapon from the Vanilla Weapons Expanded series of mods for RimWorld. This includes the full range of ballistic firearms, melee armaments, grenades, heavy weapons, and specialized munitions introduced across the entire expanded arsenal. Alongside these blueprints, you receive the practical skills and working knowledge needed to effectively utilize, maintain, and create these weapons using available materials and facilities."
14,Vanilla Furniture Expanded,50 CP,Modded RimWorld,"You gain a complete mental compendium of blueprints for every craftable item from the Vanilla Furniture Expanded series of mods for RimWorld. This includes all variants of production benches, decorative furnishings, storage solutions, and specialized structures introduced across the entire furniture expansion suite. Alongside these blueprints, you receive the practical skills needed to effectively construct and utilize these items using available materials. "
15,Vanilla Genetics Expanded,200 CP,Modded RimWorld,"You gain a complete mental compendium of blueprints for every craftable item from the Vanilla Genetics Expanded mod for RimWorld. This includes genetic labs, gene extractors, mutagens, and all equipment needed for animal hybridization and genetic manipulation.

Alongside these blueprints, you receive the practical skills needed to effectively utilize and create these items. However, this perk provides no in-depth scientific knowledge. If you do not also possess the Biotech perk from the RimWorld category, your genetic creations will function as tinkertech - reliable in your hands but poorly understood, and nearly impossible for others to replicate or maintain."
16,Vanilla Vehicles Expande,150 CP,Modded RimWorld,"You gain a complete mental compendium of blueprints for every craftable item from the Vanilla Vehicles Expanded series of mods for RimWorld. This includes all vehicle chassis, engines, weapon mounts, utility modules, and specialized transport options across the entire expanded vehicle lineup.

Alongside these blueprints, you receive the practical skills needed to effectively construct, maintain, and operate these vehicles. Additionally, you gain a significant degree of natural talent for any vehicle-related mechanical fields (including repair, customization, and performance optimization) allowing you to coax maximum capability from any wheeled or tracked conveyance."
17,Rimsenal Pack,200 CP,Modded RimWorld,"You gain a complete mental compendium of blueprints for items, structures, and even some creatures from the Rimsenal Pack of mods for RimWorld. This includes the full range of faction-specific weapons, armors, apparel, turrets, production facilities, and unique biological entities introduced across the Rimsenal series.

Alongside these blueprints, you receive the practical skills needed to effectively utilize and create these items using available materials. Additionally, you gain an incredible natural talent for employing weapons for their intended purpose, allowing you to wield even unfamiliar firearms and armaments with surprising effectiveness.

This perk provides only basic background scientific knowledge. Without deeper foundational understanding, your creations will easily default to tinkertech status: reliable in your hands but poorly understood, and difficult for others to replicate or maintain."
18,Lost Factory Mechanoids,300 CP,Modded RimWorld,"You possess the knowledge and capability to establish a small-scale production facility dedicated to crafting the advanced machines and devices featured in the Lost Factory Mechanoids and Mechanoid Upgrades mods for RimWorld.

This perk provides you with a comprehensive mental compendium of technical knowledge, granting you a perfect understanding of the schematics, construction processes, and underlying principles for all items within these mods. You know how to build, maintain, and repair everything from autonomous worker drones to formidable combat mechanoids and their powerful upgrades."
19,Glittertech Expansion,300 CP,Modded RimWorld,"The pinnacle of glitterworld science is now within your reach. You gain the ability to manufacture a wide array of advanced devices from the Glittertech Expansion mod for RimWorld. This perk provides you with a basic understanding of the underlying principles behind this technology. From luxury goods to high-performance equipment, the marvels of glitterworld engineering are yours to command."
20,Alpha Genes,50 CP,Modded RimWorld,"You possess a complete mental compendium of every genetic sequence, xenotype, and gene variant introduced in the Alpha Genes mod for RimWorld. This knowledge includes detailed instructions on how to extract, synthesize, stabilize, and implant these genes effectively.

However, this perk grants only the knowledge - it does not provide the laboratory equipment, sophisticated machinery, or practical skills required to perform the genetic manipulation itself. To make use of these blueprints, you must possess the necessary tools and expertise, such as the Biotech perk from a RimWorld or similar gene-engineering capabilities from another setting. Without those, this compendium remains purely theoretical."
21,Hacking Expansion,150 CP,Modded RimWorld,"You possess a complete mental compendium of blueprints for every device, tool, and system introduced in the Hacking Expansion mod for RimWorld. This knowledge encompasses everything from cryptographic analyzers and hacking tools to mainframe interfaces and security override modules.

Unlike mere theoretical understanding, this perk also grants you the practical skills and technical expertise required to actually construct, deploy, and operate these devices effectively. You know how to interface with various computer systems, bypass security protocols, and utilize your crafted tools to their fullest potential."
22,Gene Fabrication,100 CP,Modded RimWorld,"""Are you tired of spending hours grinding quests, extracting prisoners, and trading across the galaxy just to find one specific gene? When your mod list includes hundreds of new xenotypes and genetic variants, is it really worth losing your sanity over the grind? Now there is a solution.""

With the Gene Fabrication bench, you can synthesize any gene you have encountered or possess a sample of, eliminating the need for endless searching and random chance.

You receive one fully functional Gene Fabrication bench from the mod of the same name, along with a thick, detailed technical manual. This manual contains comprehensive instructions on how to operate the machine, perform routine maintenance, troubleshoot common issues, and (with sufficient study) construct additional units from scratch.

Good luck figuring it out! (The knowledge is in the manual. Probably. You did read the manual, right?)"
23,"Integrated Implants
",150 CP,Modded RimWorld,"You possess a complete mental compendium of every cybernetic implant, bionic prosthetic, and neural interface introduced in the Integrated Implants mod for RimWorld. This knowledge includes detailed schematics, component lists, and precise surgical instructions for fabricating and installing each augmentation effectively.

Unlike purely theoretical knowledge, this perk also grants you the practical skills and technical expertise required to perform the delicate work of implant construction and surgical implantation. Your hands know the techniques, your eyes recognize the proper tolerances, and your mind understands the biological and cybernetic principles at play.

However, knowledge and skill are worthless without the proper tools. This perk provides no equipment, no fabrication benches, no surgical tools, and no sterile facilities or skills to manufacture them. To actually produce and install these implants, you must acquire the necessary machinery and medical equipment through other means. "
24,"Auto Dissector
",100 CP,Modded RimWorld,"""An automated surgical device has been added to your arsenal. This machine can precisely remove diseased organs, detach bionic implants you deem unnecessary, or (for those with less ethical inclinations) process prisoners efficiently for bulk extraction of desired body parts.""

You receive one fully functional Auto Dissector from the mod of the same name. This sophisticated piece of medical machinery handles delicate surgical extraction with robotic precision, minimizing tissue damage and maximizing organ viability. Whether you need to harvest implants from traitors, remove cancerous organs for replacement, or simply process a prison population for valuable components, this machine does the job quickly and cleanly.

Along with the unit itself, you receive a thick, detailed technical manual containing comprehensive instructions on how to operate the machine, perform routine maintenance, troubleshoot common issues, and (with sufficient study) construct additional units from scratch.

Good luck figuring it out! (The machine's ethical subroutines are optional. Your conscience is your own.)"
25,Scientific Method,50 CP,Vanilla Stellaris,"""Testable predictions of observable phenomena.""

You possess the equivalent of a higher education in scientific methodology, specifically as taught by a society centuries ahead of modern humanity. You understand how to apply advanced research techniques, experimental design, and data analysis from a futuristic civilization to your work.

This knowledge provides a significant edge in structuring research and inquiry, helping you avoid dead ends and recognize meaningful patterns. However, this is a narrow field of expertise. While your grasp of the method is on par with that advanced society, your actual knowledge of specific technologies, history, and context beyond this discipline remains mostly blank. It also doesn't enchance your intellenge."
26,Computing Tree,500 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Computing Tech Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 250 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
27,Field Manipulation Tree,500 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Field Manipulation Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 250 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
28,Particles Tree,400 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Particles Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 200 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
29,Biology Tree,500 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Biology Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 250 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
30,Military Theory Tree,400 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Military Theory Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 200 CP (half the base price) at any time (either now or the next time you take this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
31,New Worlds Tree,400 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the New Worlds Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 200 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
32,Statecraft Tree ,600 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Statecraft Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 300 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
33,Psionics Tree,600 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Psionics Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 300 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Events."
34,Archaeostudies Tree,600 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Archaeostudies Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 300 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Events."
35,Cybrex Mining Hub,300 CP,Vanilla Stellaris,"""To build their ring world, the Cybrex relied on highly efficient mining drones to survey and harvest orbital resources. Cybrex-made memory chips and sensors could outfit our own mining drones, so that we might put their millennia-old algorithms to good use.""

You possess the knowledge and schematics to construct mining drones equipped with Cybrex-derived memory chips and sensors. These drones utilize ancient, highly efficient algorithms to survey and harvest orbital resources with exceptional speed and precision.

Whether applied to asteroid belts, planetary rings, or other celestial bodies, your mining operations become drastically more productive. The technology is self-contained and adaptable, allowing you to outfit existing drone frameworks or build new ones from scratch."
36,Irassian Naval Yards,300 CP,Vanilla Stellaris,"""The Irassian astronaval tradition was unmatched in their time. Their shipyards produced a constant stream of ships for their navy and merchant fleets, which would ultimately be their downfall. With so many ships, and such a high reliance on them, the Irassians were powerless to quarantine the disease that would claim their empire.""

You possess the knowledge and schematics to construct shipyards utilizing Irassian astronaval technology. Your facilities can produce a constant, rapid stream of vessels for both military and civilian purposes, matching the legendary output of the Irassian empire at its height.

This perk grants you their unparalleled production efficiency and ship design principles. However, it comes with a silent warning: be mindful of overreliance on any single system, lest you share their fate."
37,Yuht Astronomical Interferometer,250 CP,Vanilla Stellaris,"""The Yuht were a paradoxical society, obsessed with the idea of finding other sentient species, yet refusing to accept that they were not alone. They were so focused on disproving any claim of alien life, that their bias found a way into their technology. However, with the proper modifications and calibrations, we could certainly fix their powerful detection arrays.""

You possess the knowledge and schematics to construct and calibrate Yuht astronomical interferometers - powerful detection arrays originally designed to disprove the existence of alien life.

With your modifications, these instruments shed their built-in bias and become exceptional tools for deep-space observation. They excel at detecting celestial phenomena, distant objects, and potential signs of other life, providing clarity and range far beyond conventional sensors."
38,        Zroni Storm Caster,400 CP,Vanilla Stellaris,"""Zro is a fascinating element, prone to chaotic bursts of energy. We believe that with the right artifacts, we could use it to fuel spatial storms over entire solar systems.""

You possess the knowledge and artifacts needed to harness the volatile element Zro, allowing you to generate and control massive spatial storms.These chaotic energy storms can be deployed across entire solar systems, disrupting sensors, damaging unshielded vessels, and reshaping local space to your advantage. With practice and sufficient Zro, you can learn to direct these storms with increasing precision, turning raw chaos into a strategic tool."
39,First League Filing Offices,400 CP,Vanilla Stellaris,"""The sprawling empire of the First League dwarfed our own at its peak, and relied on implacable bureaucracy to keep the wheels of the state in motion. The quantic filing arrays they used afforded them unprecedented efficiency in the sorting and storing of documents.""

You possess the knowledge and schematics to construct quantic filing arrays based on First League technology. These systems organize, store, and retrieve documents with seemingly impossible efficiency, transforming even the most chaotic archives into perfectly structured databases.

Whether applied to government records, corporate data, or personal libraries, your filing systems ensure that any piece of information can be located, cross-referenced, and accessed in moments - no matter how vast the collection grows."
40,Baol Organic Plant,500 CP,Vanilla Stellaris,"""The Baol Organism had a unique way of producing tools. Given the species' relative slowness, they would simply grow them out of organic matter in locations that were half orchard, half factory. With the proper genetic adjustments, we could also grow various commodities and tools alongside our regular crops.""

You possess the knowledge and genetic templates to create Baol-style organic plantations - hybrid facilities that function as both orchard and factory. These living structures can be calibrated to grow tools, commodities, and other useful items directly from organic matter, alongside regular crops. With proper adjustments, your plantations become self-sustaining production centers, silently and steadily yielding whatever you need with minimal oversight."
41,Vultaum Reality Computer ,500 CP,Vanilla Stellaris,"""The reality computers of the Vultaums were unique processing units, dedicated to analyzing existence itself - not quite through physics, but rather by trying to reverse engineer reality's source code and find the glitch that would finally allow the Vultaums to take down the simulation where they believed they lived.""

You possess the knowledge and schematics to construct a Vultaum Reality Computer - a processing unit designed to analyze the fundamental nature of existence. Rather than studying physical laws, this computer attempts to reverse engineer reality's underlying ""code,"" searching for inconsistencies, glitches, or patterns that might reveal the true nature of your world. While it cannot guarantee answers, it provides unparalleled insight into the metaphysical and the simulated, should such things exist."
42,Industry Tree,600 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Industry Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 300 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
43,Materials Tree,600 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Materials Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 300 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
44,Propulsion Tree,400 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Propulsion Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 200 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
45,Voidcraft Tree,500 CP,Vanilla Stellaris,"You possess the unnatural ability to rapidly research and discover technologies from the Voidcraft Tree of the Stellaris game. Your progression is semi-random, utilizing a ""card shuffle"" approach where new inspirations arise based on your recent actions.

To advance, you must create and use various devices, explore the technologies of others, and remain proactive in your research. Your activities make certain technologies more likely to appear the next time inspiration strikes, allowing you to subtly guide your progression.

You may pay an additional 250 CP (half the base price) at any time (either now or the next time you get this perk) to instantly unlock a portion of the tree. You can do this as many times as you wish, provided you have the points to spare. Each purchase grants an immediate leap in knowledge, blueprints, and skills, covering a few of the lowest-tier technologies still ahead of you in this tree (typically one or two). This option does not include Starter Technologies or Events."
46,Active Countermeasures,100 CP,Vanilla Stellaris,"""The best defense is a good offense.""

You are an expert in the planning and construction of point-defense systems, specializing in Sentinel-class technology. While relatively primitive by interstellar standards, your expertise allows you to maximize their effectiveness against incoming projectiles and missiles.

Your knowledge covers both the theoretical and practical aspects of active defense, from optimal placement and targeting algorithms to maintenance and rapid fabrication. A solid foundation upon which to build more advanced countermeasures."
47,High-Energy Capacitors,100 CP,Vanilla Stellaris,"""Capacitors capable of storing vast amounts of energy are one of the cornerstones of any modern civilization.""

You possess the theoretical knowledge, blueprints, and practical skills needed to produce and utilize high-energy capacitors. Your expertise covers multiple variations of this essential technology, allowing you to store and discharge tremendous amounts of power for weapons, propulsion, or infrastructure. A foundational technology that opens the door to more advanced energy systems."
48,Deflectors,100 CP,Vanilla Stellaris,"""Energy deflector screens can stop a limited amount of incoming enemy fire before overloading. Their main drawback is that they consume large amounts of power.""

You gain comprehensive insight into deflector technology, including the theoretical principles behind energy shielding and several practical blueprints for implementation. Your knowledge allows you to construct, install, and maintain deflector systems capable of absorbing enemy fire until overload. A solid foundation in personal or ship-scale defense, tempered by the eternal challenge of balancing protection against power consumption."
49,Fission Power,50 CP,Vanilla Stellaris,"""This energy source generates power for ships through induced fission, but it also produces harmful nuclear waste.""

You possess the equivalent of a higher education in fission power generation, as understood by a futuristic society. Your knowledge covers reactor design, fuel processing, and waste management, allowing you to construct and maintain efficient fission systems for ships or settlements.

Your skills are average by the standards of this advanced society, but your expertise is narrowly focused. While you understand fission power thoroughly, you have significant gaps in your knowledge of other fields."
50,Reactor Boosters,50 CP,Vanilla Stellaris,"""Additional power generation systems increase the ship's reactor output.""

You gain blueprints and a basic theoretical understanding sufficient to construct Reactor Boosters yourself. These supplementary systems can be integrated into existing power plants to increase overall energy output, providing the extra capacity needed for more demanding weapons, shields, or propulsion systems. A simple but valuable upgrade for any vessel straining against its power limits."
51,"Hyperspace Travel
",250 CP,Vanilla Stellaris,"""Like the strands of a spider web, the extra-dimensional realm of hyperspace runs between the gravity wells of most stars. Faster-than-light travel is theoretically possible along these hyperlanes.""

You gain insight into the theory of hyperspace travel, including the principles that govern this extra-dimensional realm and its connection to stellar gravity wells. Your knowledge is accompanied by blueprints for experimental devices capable of proving key aspects of the theory. While true FTL travel remains beyond your immediate reach, this perk provides the foundation needed to begin mapping hyperlanes and developing the technology to navigate them."
52,Red Lasers,150 CP,Vanilla Stellaris,"""Laser weapons fire focused beams of light at targets, causing damage through the generation of intense heat.""

You are a skilled engineer specializing in the maintenance and construction of Red Laser weapons. Your expertise covers the full lifecycle of these systems, from fabrication and calibration to field repairs and performance optimization. While relatively basic by interstellar standards, your knowledge ensures these weapons function at peak efficiency - delivering concentrated thermal damage with reliable precision."
53,Subspace Drive,250 CP,Vanilla Stellaris,"""An insight born of a desperate desire to leave our home, these Subspace Drive engines were designed to facilitate limited interstellar travel. While only allowing small-scale jumps, they provide a unique opportunity to jump-start our galactic exploration.""

You gain the blueprints and practical skills necessary to initiate and complete the Subspace Drive engine megaproject. This knowledge allows you to construct drives capable of limited interstellar jumps - enough to reach nearby systems and begin true galactic exploration.

However, your understanding is purely practical. You possess nearly no theoretical context beyond what is needed to build and operate the drives, leaving the deeper science of subspace as a mystery to be solved another day.

"
54,Fruit Gardens ,200 CP,Vanilla Stellaris,"""Vacuum gardens full of bio-engineered fruits, genetically enhanced to attract spaceborne fauna.""

You possess the knowledge to construct vacuum-sealed gardens and bio-engineer a variety of organisms specifically designed to thrive within them. These fruits are genetically enhanced to attract spaceborne fauna, allowing you to study, lure, or interact with creatures that dwell in the void between worlds. A unique fusion of agriculture and xenobiology, opening doors to peaceful contact or controlled observation of deep-space lifeforms."
55,Medical Care,100 CP,Vanilla Stellaris,"""A micro-unit of prevention is worth a macro-unit of cure. However, sometimes both are needed.""

You are a fully trained physician with medical education equivalent to that of a futuristic society. Your skills cover diagnosis, treatment, and preventive care at a level considered average by their advanced standards. While you lack specialized knowledge in other fields, your medical expertise ensures that you (and those under your care) benefit from healthcare centuries ahead of modern Earth."
