0,Perk Name,Cost,Source,Description
13,Psi Tradeoff,300 CP,Original,"You are a tinker able to create devices that reproduce and simulate various 'psychic' effects. Drawing inspiration from fiction, as well as actual supernatural and magical effects, will help you a lot. However, there is always some tradeoff in using these devices - some kind of mental cost. You can create a small device to achieve telekinetic flight, but at the cost of 4% of your maximum focus while the device is equipped. Or maybe you want to set things on fire with your gaze, but at the cost of permanently burning your own memories in quantities proportional to the complexity and power of the spontaneous combustion you are trying to achieve. Or you might literally spend your 'social battery' to fuel people-targeting psychometry. There is always a tradeoff - always a cost. At least, these devices are much less dangerous when used by you. You have all the usual limitations of a tinker."
14,Aspects and Essences,600 CP,Original,"This Tinker ability is all about working with the Essence and Aspects of physical objects and energy. You can build tools to decipher what conceptual components the targeted phenomenon contains, then create a device or method to extract a few highly expressed aspects from the object in the form of essences, and eventually figure out how to apply this essence to other objects. It is very research-intensive and requires one to focus on specific objects, aspects, and use cases each time. However, it allows you to create objects with bizarre properties using relatively mundane items as a source of essence. You can detect, isolate, extract, and eventually apply something like the 'toxicity' aspect from radiation to another device or material. Your usual tinker limitations are slightly lifted."
15,Sweet-tooth Tinker,200 CP,Original,"Your tinker ability is focused on the creation of various sweets to achieve your goals. It contains three broad subcategories of things you are good at: Shaping, Boost and Minions. The first is candy-material science, used to create tools, mechanisms, and devices from sweets with exotic properties. Boost is all about creating sweets that bestow positive or negative effects - temporarily (or permanently, if you try really hard) - on a target. Minions is all about creating sweets golems, animated and life-like creatures to help you with work or fighting. All your creations are technically edible. You have all the usual limitations of a tinker."
16,Origami Master,150 CP,Original,"Your tinker ability is all about producing and folding paper to achieve your goals. It contains three narrow subcategories of things you are good at: Origami, Papermaking, and Scribbling. Origami is all about folding paper into efficient, useful shapes, and it can be used on other materials as well, but it becomes less effective the further the targeted matter is from the type of paper. Papermaking is focused on creating specialized papers for your work: bulletproof paper, hydrophobic paper, fire-resistant paper, etc. Scribbling is a more exotic craft involving inscribing patterns and text on paper to infuse it with unique added properties or to program it to do something (like folding in a specific way with a trigger condition attached). You have all the usual limitations of a tinker."
17,Darts and Blowguns,50 CP,Original,"Your tinker power is about the creation of 'poison' darts and pneumatic delivery systems. You can make darts of bizarre designs and imbued with interesting effects. They can be lethal or non-lethal, positive or negative, or serve some other utility (like tracking). But all these effects are chemically based. The other part is delivery systems - blowguns and similiar devices of various designs and levels of sophistication. However, they all use pneumatics to shoot the darts. You have all the usual limitations of a tinker."
18,Daily Hyperfixation,150 CP,Original,"For 24 hours, you gain a random tinkertech blueprint to work on. After 24 hours pass, the new blueprint you can build appears, and the old one disappears. You need to finish your current fixation project to save the blueprint and be able to build it again. If you cannot finish your current blueprint, all completed parts will be converted into inspiration to modify your previously saved blueprints, thematically related to the unfinished creation. You can finish a blueprint by cutting corners, but the saved blueprint will always be of a device you actually completed at the end of the current 24-hour cycle. So if you build crappy version - you get crappy blueprint. Your state of mind, levels of stress and living situation slightly affect what kind of blueprints you gain. Usually you gain blueprints, which are technically possible for your to finish in 24 hours, but not always. You have all the usual limitations of a tinker."
19,Shizotech Fugue,100 CP,Original,"On normal days, your tinker power is very good at making simple and robust (by tinkertech standards) tools and stockpiling special materials. But you accumulate charge in this state (which has an upper limit), which you can spend to enter a special kind of fugue. In this state, you turn temporarily schizophrenic and experience heavy hallucinations. What you experience in this state determines what you will build using the materials and tools around you. This fugue is extremely efficient at making you build things, even from subpar materials. It can last up to 48 hours (maximum charge) or until you lose consciousness due to stress and fatigue. In the end, you have some useful and bizarre tinkertech device (or several) with a general idea of what it does, but you need to actually research and test it to figure out the details of maintenance and any special quirks of the created item. The state of your psyche greatly affects the products. You have all the usual limitations of a tinker."
20,Carbon Era,250 CP,Original,"You can build things out of carbon extremely well. This is your main material. For instance, you can figure out a way to create a fully functional smartphone, which is made of 98% carbon. Carbon metamaterials, nanostructures, and other exotic applications of the element are your bread and butter. However, you are still limited by what is hypothetically possible, and you need to find inspiration for devices in the outside world and the technology around you. This is a methodology type of tinker power. Your usual tinkering limitations are slightly lifted."
21,The Art of Retrofitting,200 CP,Original,"Your tinker ability is uniquely centered around the concept of retrofitting - transforming and upgrading existing devices, structures, and systems into new, more advanced forms. You excel at taking old, outdated, or broken technology and infusing it with innovative modifications, turning it into something far more capable than its original design. Whether it's retrofitting a simple machine to handle complex tasks, upgrading a worn-out device with cutting-edge components, or repurposing old technology for modern use, you thrive on creatively reimagining the potential of what already exists. Your expertise lies in customizing and enhancing rather than inventing from scratch. However, your retrofitting process often results in devices that are unpredictable or temperamental - sometimes working flawlessly, other times malfunctioning in unexpected ways. This can lead to surprising outcomes. The more outdated and old the technology you are working with, the more efficient this ability is. You have all the usual limitations of a tinker."
22,Tinker of Escalation,450 CP,Original,"Your tinker power revolves around the concept of Escalation. It allows you to push existing devices and systems beyond their original limits, increasing their power, complexity, and unpredictability. While you can turn simple gadgets into formidable or unstoppable creations, your escalations often cause unpredictable ripple effects in the environment, making your inventions prone to instability or chaos (you are less affected personally). The more pressure is applied from outside, the faster and more effectively your Escalation potential grows and quicker it can be turned into upgrades. However, if you suddenly stop escalating the acceleration 'counter' resets, and all devices built by you begin to malfunction more often, requiring more maintenance and quickly losing their power, potential and danger. This is a methodology-type of tinker power - you need outside inspiration or devices to use as a starting point for the process. You have all the usual limitations of a tinker."
23,Perpetual Motion,100 CP,Original,"You are a tinker capable of creating various perpetual motion machines. Starting from basic classic designs that actually work to produce mechanical energy, and finishing with more esoteric and fundamental approaches made functional. Although, it is generally easier for you to create machines that can generate a relatively small amount of mechanical energy for an unlimited amount of time (not counting maintenance and other tinkertech-related problems). However, if you have a device on hand, it would be easy to adapt your design to power this specific machine. You have a relatively high upper scaling limit. You have all the usual limitations of a tinker."
24,Spider Tinker,300 CP,Original,"Your tinker focus is all about spiders and their derivative products. You can separate this specialty into three subcategories: Spiders, Products, and Traits. The first is about affecting the actual category of creatures labeled as 'spiders': modifying them, breeding and creating new ones, controlling them, and using them as helpers with tinkertech. The second is all about derivatives: production of various silks, custom toxins, and other spider-related physical materials. The third involves applying the properties of spiders to other things: building primitive spider-bots, creating serums to grant discount Spider-Man powers, etc. This specialty heavily relies on your conceptualization, creativity and knowledge of the theme. Your usual tinkering limitations are slightly lifted."
25,Think-Tanks,150 CP,Original,"Your tinker power is focused on the creation of cloned brains in boxes. You can create copies of brains (yours or other people's), download knowledge, personality, and data into them, then put these brains into jars and force them to think up ideas and solutions for you using various mastering techniques, brainwashing and various similar methods. Completely unethical, and you must ensure from time to time that these brains won't try to betray you by booby-trapping some of their ideas. However, it is really efficient for offloading solution searching and brute-forcing creativity. This specialty doesn't let you create anything else but think-tanks and will oppose you if you try to use it to create something else (like fully functional clones). Although, it includes methods of quickly and efficiently coping results from think-tanks and implanting these ideas into your head. Your usual tinkering limitations are slightly lifted."
26,Clockwork Mechanist,250 CP,Original,"This tinker power specializes in clockwork and focuses on designing, building, and manipulating intricate mechanical devices and automata. This expertise allows you to create advanced clockwork machines, precision gears, and complex gear-driven systems. You can craft autonomous clockwork robots, intricate locks and traps, or elaborate timekeeping devices. This focus is really great at working with mechanical energy and its transformations. Methodology and possible devices to create are limited by clockwork theme. You have all the usual limitations of a tinker."
27,Diesel Industry,300 CP,Original,"This tinker power specializes in dieselpunk and excels at crafting rugged, retro-futuristic machinery and industrial devices. All machinery within this focus utilizes advanced variations of chemical fuel and highly sophisticated combustion engines to achieve its goals. The use of chemical fuel and combustion is a main component of practically all your designs. Your methodology and the devices you create are limited by the dieselpunk theme. You have all the usual limitations of a tinker."
28,Cozy Solarpunk,300 CP,Original,"This tinker power specializes in solarpunk and excels at designing sustainable, eco-friendly machinery and innovative devices that harmonize with nature. All equipment within this focus relies on renewable energy sources such as solar, wind, and bioenergy, combined with eco-conscious materials. The development of new devices and techniques is guided by principles of sustainability and ecological balance. Your methodology and creations are limited by the optimistic and environmentally conscious spirit of the solarpunk theme. You have all the usual limitations of a tinker."
29,Projection Crafting,350 CP,Original,"This unique tinker focus lets you create 'projections' of existing objects via usage of special custom devices. They function like copies of the original device or item, possessing most of its properties and functions (while not being truly material or permanent). For example, you can create a device to project several copies of a lightsaber to use, while keeping the original one safe. Or use something like an addon for the gun to essentially have infinite bullets, using projected matter to refill the gun. However, all projections created this way are connected to the original and cannot exist without it. At higher levels, you might store 'memory' of the original to partially sidestep this issue, but ultimately, any projection will wear out, warp in shape and function, and eventually collapse without an intact and accessible original to pull from. You have all the usual limitations of a tinker."
30,Furry Science,500 CP,Original,"This tinker ability is focused on the furry subculture and draws inspiration for its creations from this theme. You can make various devices inspired by this fandom. It can be something mundane, like an advanced fursuit, or something complicated, like a cloned body of an anthropomorphic animal of your design. However, any creation should be inspired by or closely connected to this specific subculture. Your usual tinkering limitations are slightly lifted. Having familiarity with this community can greatly help you work with this tinker focus."
31,Blackbox Principles,100 CP,Original,"You can apply principles of tinkertech blackboxing to mundane devices and your other creations. You have full control over the degree of blackboxing used and its nature. It can involve simple methods to make your creations resistant to reverse engineering and research by others, or a complete tinkertech-tier blackbox, making the inner workings of the machine practically incomprehensible and impossible for outside observers. However, you need to have some sort of target to apply this tinker power. It can work with a broad variety of creations, but a heavily blackboxed device might affect long-term performance and the ability of others to maintain it in a detrimental way. Different types of targets might also introduce some side-effects to the process. Your usual tinkering limitations are slightly lifted."
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
