Cost,Name,Source,Description
0CP,Censor!,My Hero Academia,"As opposed to most Sensory Quirks, “Censor!"" allows the Quirk user to
deprive themselves. The Quirk user has the capacity to blur or censor things within their
perception.
Erasing the sight of something within vision as if covering it with marker, dulling
scents as if stuffing your nose, distorting sounds as if throwing them through a filter and
more.
As this only allows the Quirk user to ignore things, it is usually more of a tool of
convenience rather than true utility. You are only able to censor things within your
perception, not the perception of others."
0CP,Coating,My Hero Academia,"The user of this Quirk is able to smooth over whatever they touch, giving
it a slippery, shiny surface as if given a wax polish. This can be used to reduce traction and
cause accidents.
The user of this perk needs to be able to press and wipe their hand across something
to smooth it, needing it to already be solid and firm. Damage to an object’s surface reverts
the effects."
0CP,Confetti,My Hero Academia,"This Quirk bestows the ability to manipulate pieces of paper after the
Quirk user has come into contact with them. Their control is such that they can manipulate
many pieces over a wide area, making folds and cuts as desired to shape and split it up.
Confetti is unable to manipulate any one piece weighing more than a standard piece
of notebook paper however, such as a magazine or a poster. The Quirk user loses the ability
to manipulate paper that’s been wet too much, the paper’s integrity failing and weight
becoming too great."
0CP,Curveball,My Hero Academia,"This Quirk allows the user to apply a delayed rotation to small objects,
designating the direction at that time. This rotation activates the moment the object begins
to move at any significant speeds, and will scale in speed with the speed of the object.
The Quirk may be activated and applied through one degree of separation, such as
through striking something with a club or bat. The effects of this Quirk end once the object
affected comes to a stop, after initial activation."
0CP,Four Arms,My Hero Academia,"The user of this Quirk has four arms, obviously. These arms are all
exactly the same in strength, length and so on. The user can obviously hold more things or
punch with more limbs.
The user of this Quirk will still have a preferred side like normal people making them
more handy with their right or left side. The extra arms may make tight corridors a problem."
0CP,Graffiti,My Hero Academia,"The user is able to change the color of whatever they touch to any color
in the rainbow and spread that color as they please from the point of contact up to a meter.
Despite the colors of the material actually changing, the effects can be removed as if
it was wet paint with moisture and a little pressure such as water, sweat and skin oils. No
residue remains."
0CP,Green Thumbs,My Hero Academia,"The user of this Quirk can transform their thumbs into long,
prehensile vines with leaves growing off of them and full sensations.
This can be used to grab or thwap thing near the user, as well as having a limited
capacity to soak nutrients out of soil, water and light, though certainly not enough to live.
The vines aren’t quite as durable as a human thumb, and if cut or damaged severely,
the user will experience intense pain. They have a length limit of five meters."
0CP,Gyrate,My Hero Academia,"The Quirk user has the ability to rotate their body parts independently of
one another at potentially high speeds. The Quirk user can get hurt due to their otherwise
normal body attempting to rotate when stuck, or colliding with hard objects.
This Quirk treat clothing over rotating body parts as an extension of the body part.
The Quirk user may become dizzy if they spin their head or eyes, having no resistance to this."
0CP,Hammerhead,My Hero Academia,"The user of this Quirk has small, vertical lines going across their
face and nose allowing them to sense electricity within a couple meters in front of them,
double that in water.
This allows the user to search for hidden lifeforms or electronics that would be
otherwise hidden from sight, smell or sound. The relatively short range limits its
effectiveness unless the user already has a general idea of what they’re looking for though."
0CP,Hardening,My Hero Academia,"The user of this Quirk is able to harden any part of their body. This
protects them against not only physical force, but also heat and shock.
Such protection is minimal to start, but as with most Quirks can be trained up
tremendously. Hardening effects can be worn down with repeated abuse."
0CP,Hay Fever,My Hero Academia,"The user is able to produce a pollen-like powder from their body,
blowing it away into the surrounding area and triggering allergy-like symptoms in whoever
breaths it in.
This can excess mucus production, watery eyes, inflamed sinuses, itchy skin and
similar affects. The user of this Quirk is not immune to its effects, requiring protection."
0CP,Headlights,My Hero Academia,"The user of this Quirk is able to collect and manipulate photons inside
their eyes and then use them to shine beams of light later on, like personal flashlights or
headlights.
The user of this Quirk is able to concentrate or widen the rays of light, which allows
them to potential beam lasers into someone’s eyes to temporarily blind them.
The user is heavily limited due to needing to recharge regularly and being unable to
see out of an eye when they’re using their powers, necessitating the need to use only one
eye at a time if they wish to use it to light their way."
0CP,Hedgehog,My Hero Academia,"The Quirk user is born with large metal spikes growing from their back
which become larger with age. The spikes will fall out if the Quirk user becomes too cold,
and will not grow back. They’re ordinarily about as hard as iron."
0CP,Ice Cube,My Hero Academia,"This Quirk allows the Quirk user to produce perfectly chilled ice cubes
by shaking a closed fist, causing them to fall out of their fist. Crushed ice and dry ice are
options.
Ice Cube uses body moisture as a resource to generate ice. Several average coolers
could be filled before the quirk user starts getting thirsty."
0CP,Interject,My Hero Academia,"The Quirk user has the ability to disrupt a target’s chain of thought by
interrupting them as they speak. This causes them to completely lose track of whatever they
were talking about, allowing the user to stop speeches or arguments in their tracks. No long
term memory effects."
0CP,Leaf Manipulation,My Hero Academia,"The user of this Quirk has to power to project leaves from
their surroundings as small, sharp blades at a target. Able to shoot many at once with
relative ease.
They have no real control over the leaves beyond shooting them, and their lack of
real mass doesn’t make them very dangerous for the most part. No ability to generate leaves
or very difficult to project heavily damaged leaves."
0CP,Lighter,My Hero Academia,"The user of this Quirk is able to able to produce flames over their thumbs
by snapping, using the air in their lungs as fuel.
Using this Quirk allows one to either sustain a small flame for a bit by parceling out
their breath, or blow it all away in a small fireball that leaves themselves breathless. Limited
by lung capacity."
0CP,Little Pompeii,My Hero Academia,"The Quirk user has the ability to produce and control ashes from
their finger tips. Little Pompeii seems to provide an immunity, or strong resistance, to
degenerative side effects of smoking. Fingertips glow orange while active.
Ashes are hot to the touch, but lack so much mass and are hard enough to produce
that not much can be done with them other than ignite already highly flammable materials."
0CP,Love,My Hero Academia,"The Quirk user is able to directly enhance the strength, speed and resilience
of a single individual by declaring their love for them. The potency of the enhancement
scales directly with the amount of love felt towards the target, having no effect on strangers
or those disliked by the user.
The Quirk may only be used once every 24 hours. The target must be within range to
hear the Quirk user’s declaration. The enhancement is temporary, lasting a moderate length
of time before wearing off."
0CP,Love Lucky,My Hero Academia,"This Quirk automatically cross compares all known traits, features
and knowledge collected on two individuals that is present within the user’s mind, even if
‘forgotten’, and measures compatibility based on such information.
The Quirk is used by observing the two people in mind and activating it. After a
moment, the user’s vision will tint a certain color to indicate the general level of
compatibility. White tinted vision indicates the highest possible compatibility while black is
the lowest. (Other colors are up to you.)
The Quirk is only as good as how well the user knows the two targets. The
information on how compatible they are as individuals has no inherent benefit, but can be
used to partner potential friends together for teamwork purposes or play matchmaker."
0CP,Mochi Press,My Hero Academia,"The user of this Quirk possesses a long, thin tail ending in a
cylindrical club that they can use like a mallet to mash things into a sticky, soft solid.
This Quirk is able to mash liquids, completely dry powders, grains and any solid soft
enough to pound and mash into the same dough-like texture after beating it enough.
This Quirk is heavily limited by the tail’s own durability, leaving the user unable to
affect anything too hard without damaging their tail. Repeated use can leave tail muscles
sore."
0CP,Mustard,My Hero Academia,"The user of this Quirk has small antennae that give them an acute sense
of gravity, allowing them to always tell up from down even while disoriented.
This inherently gives better coordination as the user is able to twist and flip while
always knowing up from down. It also gives a general sense of day and night by sensing the
moon’s pull.
The user of this Quirk gains no inherent additional agility to better make use of their
Quirk, needing to become better at it themselves."
0CP,Negative,My Hero Academia,"With a touch, allows the Quirk user to flip an object or person’s color
palette as if to turn it into a photo negative. Persons affected by this Quirk also view the
world this way, seeing light as dark and dark as light, highlighting objects normally hidden in
the scenery.
This can usually be more of a negative than a boon. Only lasts several minutes at a
time. Unable to affect objects larger than a refrigerator."
0CP,Orbit,My Hero Academia,"The one born with this Quirk naturally has a gravitational pull, passively
pulling small objects towards the user and into a steady orbit around them.
The holder of this Quirk is able to change the part of their body that emits this field
such as to their head or hand, but cannot shut it off entirely."
0CP,Paralyzation,My Hero Academia,"The user of this Quirk is able to lock up the muscles of a target’s
body, paralyzing them. It can work on just about anyone, but has severe limitations with its use.
The user requires three seconds of sustained eye contact with the target before
activation. Additionally, either party breaking eye contact causes the effects to wear off."
0CP,Peeper,My Hero Academia,"The Quirk user has x-ray vision, allowing them to see through solid
objects and surfaces to peer at what’s beneath. The thicker and/or denser something is, the
more difficult it is to see through. Perception of what lies underneath becomes blurrier and
unclear.
Difficulties begin with anything thicker than your pinky finger. You really should be
careful where you’re aiming this. Some things are better left unseen."
0CP,Pepper Breath,My Hero Academia,"The user of this Quirk’s saliva induces a chemical reaction with the
stomach acid of others. If the user can get them to swallow it, it will temporarily produce a
thick smoke.
This smoke is unsavory, causes a bit of coughing and can cloud vision for the one
expelling it. It also makes them look like they just got done eating something rather spicy.
This Quirk is dependent on the user kissing a target or otherwise getting their spit in
their stomach, making it difficult to say the least. The smoke produce varies based on spit
swapped, lasting between ten seconds and a minute."
0CP,Permeation,My Hero Academia,"The user of this Quirk is able to become intangible, causing
everything to pass through them harmlessly, with many conditions and caveats.
When the user sinks into an object with their power and deactivates their perk,
they’re shunted out due to matter being unable to overlap, popping them back up on the
surface.
The major limitation is obvious, the user causes everything to pass through them,
including light, air, varying small particles, vibrations and so on.
This essentially causes their senses to stop functioning due to lack of input until the
user shuts off their Quirk. This can be incredibly dangerous due to the user being unable to
breath, hear or see."
0CP,Placebo,My Hero Academia,"This Quirk allows the user to create small, strangely patterned pills from
their hands. Those who swallow one of these pills increase their suggestibility, making them
more likely to believe the Quirk user over what the pill is supposed to do.
Despite the odd appearance, these are just synthesized sugar pills with no actual
effect on the biology on most creatures. The suggestibility may be broken if the target is
informed over the nature of the pills."
0CP,Radio Star,My Hero Academia,"The user of this Quirk is able to perceive and pick up on radio waves,
either listening to them internally or playing them from their teeth like miniature speakers
for others.
Using this Quirk, the user can listen to whatever songs or radio talk shows might be
on, tune in to police scanners, or potentially even listen in on secret radio communications.
The user has excellent reception, having twice the range of average radios while
picking things up clearly. The user can’t really shut the power off though, simply switch to
dead air when they want to rest, potentially meaning sudden unwanted static if someone
starts using their dead air."
0CP,Ringer,My Hero Academia,"The user of this Quirk can dull a target’s sense of hearing by slapping their
ears simultaneously, causing the target to hear everything as if they were underwater.
The user of this Quirk must slap both ears around the same time to activate the
Quirk. This Quirk lasts for five minutes before wearing off, restoring a target’s hearing."
0CP,Rule Breaker,My Hero Academia,"The Quirk user has the ability to reverse the gender of living
creatures, making males into females, and females into males. The Quirk user requires
physical contact with their target for ten seconds before they may activate this ability.
The Quirk user has the ability to reverse the effects the same way they applied them.
Those affected by this Quirk will revert to their original gender regardless after several hours
of time pass."
0CP,Scarface,My Hero Academia,"The Quirk user has the power to have their voice originate from any
point within a small radius around their body. This gives them limited ability with throwing
their voice and a particular talent with ventriloquism if they pursue that.
Coincidentally, the Quirk user is unable to open their mouth while making use of
their Quirk, and for several seconds after. This can be threatening if their nose is suddenly
sealed."
0CP,Season City,My Hero Academia,"The user of this Quirk is able to manipulate condiments or
seasonings found on most tables such as salt, sugar, pepper, ketchup and mustard.
The primary limitation of this Quirk is only being able to take control of one type of
thing at a time, as well as obviously being in short supply outside of a restaurant, store or
home."
0CP,Shadow Puppets,My Hero Academia,"The Quirk user gains the ability to manipulate their own shadow.
Stretching it, twisting it, shaping it, growing it, shrinking it and even adjusting the shade.
This Quirk does not give any unique properties to the shadow by itself. The Quirk
user has difficulty with growing their shadow more than twice its current size."
0CP,Soda Fountain,My Hero Academia,"The Quirk user has the capacity to turn water into another fluid
with a touch. This new fluid is selected at the time of purchase, and may be any safe to
consume fluid or beverage the Quirk user desires, such as vinegar, wine, or lemonade.
The quirk user is limited to converting up to a gallon of water into this new fluid at a
time. The Quirk user absorbs a small amount of water with each use, inhibiting extended
usage."
0CP,Stink Bomb,My Hero Academia,"The Quirk user smells just awful. The smell pushes into the nose and
can disorient people just with the wretching scent alone. It’s resilient enough to even
penetrate lesser filters. As a downside, it can’t really be turned off, not fully, you will always
smell pretty bad."
0CP,Sunburn,My Hero Academia,"The Quirk user is able to grab and peel off the thin surface of inanimate
objects. This allows the user to clean a dust covered shelf with a pinch, remove screen
protectors with ease or take off the charred surface of an overcooked piece of meat.
This ‘surface’ is usually pliable when being pulled by this Quirk, even when it
shouldn’t be, like the previous example of the dust covered shelf where the surface is a
collection of particles.
Difficult to use on the same surface more than once in quick succession. Few
noticeable applications outside of household utility and cleaning."
0CP,Sunspots,My Hero Academia,"The user of this Quirk can flash a light in the center of their palms for a
fraction of a second. If someone is looking into their palm during the flash, their vision will
be crippled.
The center of a target’s vision will be dominated by a bright purple circle, leaving
only their peripherals available. The circle lasts until the target blinks twenty times. The user
is unable to use their flash more than once every two minutes."
0CP,Telescoping,My Hero Academia,"The user of this Quirk is able to lengthen their spine and torso up to
five times its normal length, or contract it down to half its normal length.
This Quirk allows the user to essentially stretch themselves to grab on to high ledges
before contracting themselves back to normal, or shoot their upper body at enemies.
The user of this Quirk has no special ability to be used to the full height allowed,
making moving around with short legs unaccustomed to the extra weight and awkward
height difficult."
0CP,Trace Empathy,My Hero Academia,"This Quirk allows you to broadcast the way you feel, causing a
mental inclination to develop in all those around you to feel the way you do. With no true
control over how you feel though, the actual utility can often fluctuate."
0CP,Transparency,My Hero Academia,"The one born with this Quirk is completely transparent, invisible to
the naked eye. The user of this Quirk cannot shut it off or turn their clothes invisible
however.
Because of the user’s need to strip down to nothing at all, the risks inherent with
completely exposed skin like extreme heat or cold become readily apparent."
0CP,Uppercrust,My Hero Academia,"The user of this Quirk is able to create and spread a hard, jagged
material made of keratin among other things from their hands, allowing them to protect
their firsts or bind enemies.
The strength of this material is similar to fingernails, but can be layered to
strengthen it. The user is unable to produce much at once and the quality of the material
can degrade with stress."
0CP,Wall Run,My Hero Academia,"The Quirk user feels the affects of heightened gravity in the direction
their feet are facing. This allows the Quirk user to more easily climb steep inclines. This
effect isn’t quite strong enough to ignore Earth’s gravity, preventing casual traversal on
vertical surfaces.
If the Quirk user runs, they may more easily move up or across walls, but will
eventually slide off. The Quirk user is able to reduce the effects, but is unable to completely
turn them off, making their day to day life somewhat burdensome compared to others."
0CP,Waterworks,My Hero Academia,"The user of this Quirk is able to produce an outrageous flow of tears
and project them a great distance, similar to a pair of hoses. This also allows them to cry on
command.
While the user has a kind of inner reservoir of additional water for the tears to draw
from, it’s rather small, meaning the user is heavily limited by their body’s moisture, needing
frequent water breaks."
0CP,Weak Attraction,My Hero Academia,"With this perk you may pull small, lightweight objects closer to
you. This is a Quirk of convenience, grabbing things from the other side of the room like keys
or drinks.
It is heavily limited by the weight of the individual objects it can grab, mostly
focused on small, lightweight things under a few pounds."
0CP,Wild Lice,My Hero Academia,"This Quirk causes symbiotic insects to spawn from the user’s body and
live in their hair, using it as a breeding ground. The insects spread and attack those who
touch their host while the user is stressed, spreading and biting viciously to leave a victim
terribly irritated and itchy.
They hate water and will run away at the first signs of it, making them fairly easy to
wash off with just a quick rinse. Even the host can be deprived of their itchy defense force if
washed, but they’ll be replenished with time."
300,Flight,Marvel Age of Krakoa,"Flight (100/200/300 CP): You can fly, Jumper. This isn’t the only way to get flight in
this jump, but for 100 CP you get it with no frills and can control the mechanics of it,
levitation or wings, or anything else you can imagine. You start out at about 70 MPH on
a casual flight and a couple hundred MPH when pressing yourself, but with time and
effort could push it to a casual Mach 1 and in excess of Mach 4 when you press. If you
want frills, and you chose to fly with wings, you can have them weaponized. Very
flexible wings with some kind of cutting edge, for example, Archangel’s techno-organic
wings. This upgrade costs 100 CP and lets you shear through steel with ease. A separate
100 CP upgrade would let you start with a casual Mach 5 flight speed and eventually
reach the point where you could go faster than light if you were in a vacuum."
300,Non-Living Form,Marvel Age of Krakoa,"You can transform your body into a living,
organic version of a normally unliving substance such as ice, plasma, some type of
metal, a gemstone, wood, or what have you. The exact properties of this form, as well as
its pros and cons, are determined by the substance in question. For 100 CP the
transformation is only skin deep, but for 200 it’s full body. This will never inhibit your
ability to move or function. If you purchased the Elemental or Green Thumb Power, you
can purchase this at a discount in order to gain an appropriate form. For an extra 100
CP, this can include exotic or supernatural substances, something as durable as
osmium-steel or adamantium, as versatile as vibranium or mysterium, or outright
divine like Uru or adamantine."
800,Healing Factor,Marvel Age of Krakoa,"You heal faster and more efficiently
than others do. For 100 CP it’s minor. Minor injuries heal three times faster while major
injuries recover a level of scale faster, Ie something that would naturally heal in two
months healing in two weeks, though particularly severe injuries may still require
medical attention. For 200 CP you have proper regeneration, flesh wounds healing
before your eyes, broken bones setting themselves, and so on though you may still need
assistance to recover from severe nerve or organ damage. For 400 CP, you’re closer to
Wolverine or Deadpool. Not only could you regrow a severed limb or an organ within a
day tops, but you can even live through injuries that should kill you before even you can
heal. In extreme cases, you might even be able to live through being liquified and pull
yourself back together or recover from a single cell. Unlike Deadpool, you don’t have to
worry about a bunch of your cast-off limbs and organs pulling together to make a new
you. You no longer need medical attention to make a full recovery from any injury, and
will always heal to the best possible physical condition you can be in. For 600 CP you’re
much the same, but your healing factor extends to mental and spiritual matters, being
able to help you recover from severe trauma or uncover memory or push back against
mental intrusion or spiritual corruption, though at a much-reduced rate compared to
your physical body. Unlike Wade or Logan, you don’t have to worry about losing large
chunks of memory due to your power deciding that was the best way to cope with
trauma. For 800 CP, you’re virtually unkillable, able to regenerate from a single
molecule though it may take up to a month to return to a functional state."
400,Superhuman Senses,Marvel Age of Krakoa,"With this perk, your senses are unusually
sharp. For 100 CP all of your mundane senses are at the peak of a member of your race,
or perhaps even higher if they are already so sharp, with one, in particular, being well
beyond that such as Wolverine’s sense of smell or Hawkeye’s unusually far and precise
field of vision. For 200 CP you're much the same, but two of your senses are enhanced
beyond the normal range to a greater degree than the 100-point version. Black Panther,
for example, has smell and vision comparable to Wolverine and Hawkeye but can
distinguish between more distinct smells and colors, more easily memorize distinct
scents, and see into the ultraviolet spectrum. For 400 CP, each of your senses is
comparable to the human known as Daredevil with the caveat that you still have fully
functional vision and it is enhanced to the same degree. This includes his psionic senses,
his radar and sonar."
200,Liquid Metal Body,Kingdom Come,"Your body is made of titanium. Your body never rusts as you gleam in the light. It can shapeshift and is
very, very hard, the strongest metal out there. Capable of turning your fists into sharp blades and other
metal objects. But you are also capable of turning into liquid, dripping through grates and slide as a
puddle of metal at rapid speed.
For an extra 100 CP, you may also choose to be an out of realm substance you currently possess or can
create. You need only a small sample of the substance to become it."
200,Animal Tamer,Legion of Liberty,"You can quickly form a bond with animals given a few
moments, only a handful at a time (though small swarms of insects is possible, it
scales up with size) after which, they will follow simple instructions. - Ride along, for an extra 100 cp your bond deepens into a telepathic link. You can see what they see, and issue further directions mentally."
200,Flight,Young Justice,"You can fly under your own power. Either through wings, or through
mental power, you can cruise at speeds of approximately 100mph, and sustain a speed
twice that for a while. (Free for Thanagarian)
For an additional 100cp, you can fly as fast as an Earth-16 Kryptonian under a yellow
sun, which is at least supersonic. (Free for Kryptonian and Demigod)"
200,Infrared Vision,Young Justice,"Your vision allows you to visually detect heat signatures,
allowing you to easily see in the dark. Furthermore, this also gives you the ability to see
vast distances when you want to, and microscopic objects. (Free for Kryptonian Hybrid)
For an additional 100cp, you can also see through any solid object or surface, with the
exception of objects and surfaces lined with lead. (Free for Kryptonian)"
400,Super Soldier,Marvel Age of Krakoa,"You’ve been chemically enhanced in order to better
serve a military purpose, or have a physiology similar to someone who has. For 100 CP
you’re akin to a Black Widow, being able to easily maintain yourself at a state of peak
health and fitness in all physical regards while aging as gracefully as possible for your
circumstances. For 400 CP, you’re a match for Captain America, permanently kept at
the greatest peaks of both physical and mental ability and blessed with eternal youth
and immunity to all natural diseases and enough resistance to drugs and toxins that
normally no amount of alcohol would be able to affect you… Though since you’re paying
CP for it you can still get drunk if you want to and only if you want to."
1000 CP,Speed Force Unity,Kingdom Come,"You are unified with the Speedforce, but unlike the Flash you aren’t trapped within its confines. You being
able to “run fast” is just the tip of the iceberg of the power you have. You’ve transcended past the need for
food, water, or air. You’re able to see and sense metaphysical beings in other realities watching you or in
other dimensions or invisible creatures, and reach past those interdimensional barriers. Able to be
anywhere near or on Earth in a zeptosecond, and to blow up anyone or anything with mass by heavily
vibrating their molecules with a touch no matter how large or dense their mass is. Any incorporeal beings
can be fought with your strength, as you can yank them from the plane of existence they’re on to your
level, giving them mass and the mortality that having a corporeal form grants them.
But you can also use this power to vibrate your way into other worlds entirely as you move past the
barriers separating the worlds, and take people you can hold with you. You can also draw on the
Speedforce at any time to give you electric powers and use it as a virtually infinite source of energy as
you are completely one with it. You could also use the Speedforce to power electric devices without them
shorting out or any damage from it."
1000CP,Power Absorption,X-Men the Claremont Years,"You possess one of the arguably most powerful, but also most cripplingly flawed, powers in the setting. Like Rogue you
may absorb another entity’s powers through skin to skin contact. While this has some
limits - it doesn’t work on robots and some beings are too powerful to completely drain -
for most entities this will quickly knock them out while granting you all of their powers.
You may drain multiple being’s powers at once, combining them into yourself, and if you
drain someone’s power long enough you obtain their power on a long term basis (while
often called permanent Rogue has always eventually lost these powers) causing them to
lose their powers and fall into a deep coma if they do not die.
However as noted this is a power that comes with a great flaw. While, unlike Rogue, you
can turn this power on and off at will, that is the smallest difficulty for her power. Any
creature whose vital energy/powers you absorb will continue to exist within your mind as
a psychic shadow. Those with a strong enough will/psyche may overwhelm your control
when you are absorbing them, and if you fully drain someone the psychic echo will be
significantly stronger. Rogue was never the same again after she drained Miss Marvel’s
powers into herself, and how much of it was because of her time with the X-Men and
how much was due to Carol Danver’s psychic influence on herself was never known even
to Rogue. So do take care, Jumper.
You are immune to other such contact based power draining effects, and others with such
a power are immune to this effect."
1000CP,Aura Generation,Young Justice,"This is arguably the most diverse power in this jump. You
have the ability to generate multiple colored auras, each with a different ability. Initially,
you will only be able to use one aura at a time, with the ability to switch between them at
will. You may eventually use all your powers at once, by unlocking a Rainbow Power
state, where you emit all your auras at once. (Discounted for One More Life, discount
does not stack with Meta Origin)
● Red Aura: Force Fields - Capable of taking blows from an Earth-16 Kryptonian
for a short while before cracking.
● Orange Aura: Flight and Telekinesis - The telekinesis is significantly weaker than
the Psychic power, flight is comparable to the first purchase of Flight.
● Yellow Aura: Energy Blasts - Compatible with Energy Projection power.
● Green Aura: Holograms - can create decoys of yourself and others, create fake
surroundings, and even walls. Although, the holograms are not solid and are
easily disrupted.
● Blue Aura: Light - you can emit light, enough to blind those looking directly at it.
● Indigo Aura: Boom Tubes - Generate indigo-colored boom tubes.
● Violet Aura: Healing - You can heal yourself and others, including advanced AIs,
ie. a Motherbox. You can even cleanse others of mind control."
100CP,Angel of the Heavens,Avengers Vs X-Men,"A pair of great angel wings extends from your back, made of advanced techno-organic metal. A mix
of mutant and technology, there are few better suited to ruling the skies than you. They enable flight
at several times the speed of sound with ease and are very strong shields, easily holding up to a
military weapon barrage. The edges of the wings are sharp enough to cut through diamond or stone,
as are the feathers that can be accurately launched like knives, and the wings themselves are strong
enough to shatter stone by batting against it. Your body is somewhat enhanced along with these
wings, gaining the stamina to fly for hours without rest and peak human physical capabilities outside
of this. Your wings grow quickly and any damage to them will be healed within hours. Even full
removal of the wings only lasts a few days at most."
100CP,Be Dazzled,Avengers Vs X-Men,"The power to transform sound into light is yours. Any sound that you hear is absorbed by you and
transformed back into light, rendering you impossible to deafen. The light is under your control and
is much greater in output then the energy taken in from the sound. Uncontrolled, your body will
simply produce regular flashes of light but with focus, everything form custom light shows, detailed
visual illusions, powerful burning lasers or concussive blasts of light can be created. Even short lived
solid light constructs can be made. Like Dazzler herself, you cannot store this power in you, so it
requires constant sound to be effective."
100CP,Devil Sense,Avengers Vs X-Men,"After being exposed to a certain radioactive isotope, your sensory systems have been heightened far
beyond any human level. Like the Devil of Hell’s Kitchen, your five senses are each enough to
operate in a fight on their own. With touch alone, you could feel the presence of every person in a
room via heat and air displacement. Your other senses are similarly heightened, except for your
senses of sight which remains at human levels. This extends from being able to track scents like an
animal to replicating sonar via your hearing senses. Due to your body adapting to react to this
sensory information, you also have superhuman agility and bodily reflexes, which would be lethal if
combined with martial training. Telepaths will also find it very difficult to read your mind, as they
become overwhelmed by the sensory information you easily process."
100CP,Glob Man,Avengers Vs X-Men,"A body made up of a special Living Wax substance is what you have. You look like a skeleton and all
the organs of a human body held up in a humanoid figure of jelly. You’re pretty solid despite the jelly
look though, normal military bombs won’t budge you much at all, and you’re more than capable of
lifting and throwing a car down the street. You look damn weird though."
