0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,41
,,100,Witch in Training ,Fate/Legends: Empires of Antiquity,"Magic is at once both plentiful and rare in these times. The world itself is abundant with magic, in the land and in the beasts, but humanity itself has far less access to it than in modern times. While magicians and witches are known factors, they are not things everyone can be. You have the luck to be one of the special few with the potential and the training to start making use of your power. You’re still a novice, with a few years training in a handful of straightforward magical disciplines, but you’re quite capable with your power, utilising the energy in your body and the world around you with significant skill. An elemental mage would at least be able to destroy small buildings without much effort and would be a highly desired force for any practical king’s army. If you have a special talent, strange as it may be, it’s your ability to cook pancakes. Apparently, you have the skill to make anything into a delicious pancake. Even say, a demon god, should you have it restrained, beaten and unable to resist. The pancakes might look weird and have weird effects but gosh darn, they’ll be tasty.",,,
,,100,It Belongs In A Space Museum,Fate/Saber Wars,"Graduated with honors from the Clocktower, the galaxy’s most famed academic institution. Top of your class, favoured of your esteemed professors. In what field? The honourable study of Space Archaeology. You’ve a deep understanding of how to uncover and decipher relics from the distant past, sometimes dredging up some frankly unbelievable finds from before this universe even began. Some might say that being able to find such things should be impossible, some have clearly never studied at the Clocktower. Fittingly, you’re also a consummate explorer, navigator and historian. The vital skills to make your talents for archaeology into a viable pursuit. Even in the depths of wild space, you’ll eventually find your way. 

Optionally, you can customise the degree you earned from the Clocktower to another kind of Space Academic pursuit. Not only will you have a similar level of knowledge and talent for it, and it’s applications in a Space setting, you’ll find yourself quite skilled in two or three practical fields adjacent to your study.",,,
,,100,Arcane Tricks,Fate/Legends: Garden of Avalon,"You were apprenticed to a master magus as a child, one that took a liking to you and taught you well. Out of that training you came armed with knowledge of all kinds of magic and how best to use it too. You have a fair degree of skill in over half a dozen magical disciplines, such as Alteration or the summoning of spirits, and significantly better and more magical circuits as any ordinary warrior or witch around these parts. If you were in the modern world, you’d be a fair bit beyond the Tohsaka heir in power and well beyond her in versatility. Perhaps due to your rather quirky teacher, you also picked up skills on how to really mess with other people. You can get all but the most stoic people to snarl in anger at you and provoke a good laugh from an entire troupe of soldiers with little effort.",,,
,,100,Magician of the Early Ages,Fate/Legends: Oasis of Fantasy ,"A magician is nothing without his magic and like many in this divine age, you’re quite the caster of spells. You’re an experienced magic caster, both in a range of half a dozen or so scholarly disciplines and in how to put your magic to use in combat, even against entire squadrons of soldiers at once. Certainly, this basic command of magic that you have would seem unbelievable to people in the Common Era, much less Modern Times.

What’s better, you have a natural gift for interfacing with the world directly and find that spells that communicate with or otherwise directly interact with the world are significantly better in your hands. You also find that you are generally quite skilled when it comes to riddles and word games with others, rarely meeting your match.

If you are instead willing to pay 600CP, 300CP for those with the Sorceror origin, you can upgrade your training and power. You will come to match the Queen of Sheba in your magical prowess, standing near the top of the world in skill. Circe and Medea would be other names talked about in the same way as yours. The disciplines you focused on in the base perk are brought to much greater heights. Bounded fields to seal powerful demons away, alchemy to create army slaying golems and monsters, elementalism that can whip up natural disasters to wipe away whole cities and more are possible. You cannot come near the strength or skill of Solomon but you remain one of the greatest in history.",,,
,,100,Student of Mystery,Fate - The Island of Sin,"You couldn’t be said to be “Morgan’s Daughter” without the ability to use magecraft, now could you? Your education in spellcraft is extensive, covering a half-dozen different magical disciplines and an assortment of knowledge not restricted to any single discipline. Your raw magical power grows to the point that it now puts the humans of the modern era of Proper Human History to shame. What’s more, you have extensive skill in your magecraft, being capable of utilizing it quickly and easily in battle. You gain more fae markings or Magic Circuits in proportion to your increased power.

By increasing the price of this perk to -400 CP, you can gain greater power and skill. At this point, the power of your magecraft is such that you could cast spells to support an entire small army, and your magical combat prowess is such that it would take Tam Lin Gawain or Tam Lin Lancelot to pose a threat to you.

By instead raising the price of this perk to -600 CP, you grow further, raising you to the same tier as Artoria Caster after ringing the six Bells of Pilgrimage. At this point you are comparable to a Lostbelt King such as Ivan the Terrible or Qin Shi Huang; beings so powerful that entire teams of mighty Servants were needed in order to bring them down, and rendering you able to fight armies at a time with your magecraft.

But if that’s not enough power, you can instead raise the cost to a total of -800 CP—paying the full price, no discounts allowed—in order to bring your magical power, talent, and skill to the dazzling heights demonstrated by High Queen Morgan. In terms of power, you are like someone who has completed a Pilgrimage many times over, where the 600 CP option of this perk is comparable to the strength of your little finger. You can demolish armies without effort, and it would take a Great Calamity or powerful Divine Spirit to pose an appreciable risk to you. Your knowledge and understanding of magecraft is unparalleled, and bolstered by the level of magical genius where you could dissect new spells as soon as you encounter them, and restructure them into new ones on the fly.",,,
,,200,In The Name,Fate/Stay Night,"The work of the Faith called to you one day and you answered eagerly. Or perhaps you just took any direction when offered, regardless of what it was. Even if your reasons were empty, the training you received was not. You are a fully ordained member of the clergy of the Catholic Church in this and all future worlds. You also have a perfect memory of all scripture, extensive skills with the exorcisms of all manner of foul spirits, the knowledge and ability to bless objects with holy power and a sense of trustworthiness about you, not much but enough to tip the scales every now and then.",,,
,,200,Code Casting,Fate/Extella,"You were always a deft hand at wizardry, the art of hacking the virtual world around you in the Moon Cell, and you’ve not lost the touch you had back in the old Grail Wars. It’s made you both a genius hacker with any electronics or computers but also a competent hand with a variety of Code Casts. The equivalent of spells used by Masters and humans of the modern era, the Code Casts you know allow for decent buffs to the strength and speed of your Servants or giving them advantages against certain types of enemies, teleporting them across a battlefield or healing most of their wounds. In effect, you have a range of low to medium strength Code Casts. Unlike normal, due to these being personally cast instead of through Mystic Codes, your Code Casts work similar to the Active Skills of a Servant. They can be cast without cost to yourself but have short cooldowns depending on their strength. A minor heal code might only be usable every 30 seconds, while a powerful all-rounder buff could take three minutes to recharge. Learning more Code Casts will take personal practice, though using Mystic Codes as reference will be enormously helpful.",,,
,,200,Shinano Priestess,Fate/Legends: The Land of the Rising Sun,"For the less wholesome gods and monsters that make their sacred homes in Japan, a ninja clan can often act as the perfect subjects. Some clans find themselves bound to ancient spirits, responsible for providing many of their special abilities, in exchange for their own devotion. As part of the clan, you were taught as a priest or priestess to handle these spirits through holy witchcraft. While you are far from a powerful witch like Tamamo no Mae and of little use in combat, your training has given you a wealth of experience in handling spirits. You know many spells and rituals to calm and appease even powerful divine spirits, as well as allowing the summoning and control of lesser creatures. Spirits of all kinds often feel favourable to you, especially strong with those associated with darkness or other unwholesome concepts related to the ninja’s way of life. A fortunate priestess may even gain blessings from these gods, if they prove their devotion.",,,
,,200,Faded Scholar,Fate/Legends: Vive la France,"Magecraft is just another art to master, a viewpoint even many proud magi in the clocktower can share. But the sort of mastery you have is a little more uncommon than most. In a general sense, you’re the equal of a clocktower elite magus, with years of study across most basic fields of magecraft that while mostly scholarly, still render you enough to take down a company of non- magical knights with ease. Your true talent lies with a single field of choice in particular, where you are not only one of the current age’s prodigies but also able to cast spells in a unique way. An Illusionist would cast illusions that trick the very texture itself, making for powerful, long lasting magic that will be treated as if it was reality by other magic. It would still be an illusion, however.
 
 Perhaps a necromancer could raise the undead and trick the world into thinking that they are genuinely alive, massively lessening the upkeep and cost of the undead. As a minor additional benefit, you are quite experienced at convincing the non-magical folk to fund and aid your efforts, such as bringing in several wealthy nobles to provide the materials for your demon summoning rituals.",,,
,,200,Magecraft Specialization,Generic Fate Redux,"Within the vast realm of magecraft, you've honed your focus on a specific magical art, delving into one of the many schools of mystical knowledge. Choose from a variety of disciplines such as Alchemy, Memory Partition, Thought Acceleration, Transmutation, Jewelcraft, and Curses, or even venture into the intricate Emiya art of Time Manipulation.

This specialized knowledge grants you a foundational understanding of your chosen magical art, providing you with the basics to begin your journey. While you won't immediately reach the pinnacle of mastery, your growth potential is vast. Dedicate years of study and practice, and you may surpass even the most accomplished practitioners in your chosen field.

It's important to note that this perk excludes the selection of any True Magic, ensuring that your focus remains within the boundaries of achievable magecraft. Additionally, you have the option to acquire this perk multiple times, allowing you to broaden your expertise or specialize further in your chosen discipline with each subsequent purchase.",,,
,,200,Kido,Vasto of White,"Kido refers to the spells used by the Shinigami. This is the fourth and final fighting style used by the Shinigami. Kido is divided further into Hado and Bakudo which are direct attacks and supportive attacks respectively. Taking this power will grant you a high degree of talent in each of the types of Kido including binding spells, destruction spells, and healing spells. You will also gain experience on par with Sosuke Aizen, Isshin Kurosaki, and Retsu Unohana for each of the types respectively. Lastly there is a synergy bonus if you purchase all four of the Shinigami fighting styles. Your skills and power will instead be boosted to that of the members of Zero Division and Yamamoto.",,,
,,200,Man of the New World,Fate/Legends: God Save the Queen,"As the world moves on from hitting each other with crude sticks and fists, power begins to change hands. The strongest man in the room goes from an undoubted leader to mere muscle for the true power, the man with all the knowledge. A combination of natural prodigy and years of effort gave you a position among Britain’s most vaunted minds. While your most famous talents are focused in a single academic discipline, such as Moriarty and his world renowned skill with mathematics or an unsurpassed brilliance with biology, you are broadly skilled with many other fields. From several respected academic paths to the different styles of the arts and even a deep understanding of philosophy, you match the learning in each of what most men try a decade or more to come close to. Though a touch barbaric, you even indulged in learning a martial style of the empire, having enough experience in boxing or baritsu to knock back-alley heads together without trouble.

It’s made possible with a particular mental technique that allows you to easily absorb and retain information, the creation of a continually expanding ‘memory palace’ style territory within your mind. Information is easily memorised and efficiently stored, granting the ability to rapidly make connections between even seemingly disparate pieces of data that you have gathered. Knowledge of disciplines you once studied thirty years ago remains as fresh as the new fad you spent an afternoon exploring.",,,
,,300,Modern Runes,Generic Nasuverse,"Modern runes are essentially a shadow of the primordial runes created by Odin and used by Scathach and Cu Chulainn. They can technically do anything primordial runes can, but that isn’t realistically true. Modern runes simply aren’t powerful enough to do all the things primordial runes can.

This lack of power doesn’t prevent them from being useful. Each rune has an effect. The effect of multiple runes can be chained together, building on each other and creating a new, more complex effect. If used properly, they can still be extremely powerful.

No, these aren’t Norse Futhark runes. Though Futhark runes and Modern Runes were both derived from Odin’s primordial runes and thus have a lot in common, Modern Runes are fundamentally different from Futhark runes.",,,
,,300,The Once and Future King,Lord El-Melloi II Case Files,"Forget what I said about your ancestry showing itself later, as you have already finished that development. Unfortunately, you have not quite become King of Knights, and are only on par with her youthful incarnation, though your retain your own identity. Still, you can manifest Caliburn, and are quite formidable already. You now share Artoria’s fantastical sword skills, clairvoyant instincts, and personal charisma. You have a great mastery of the Chivalric code, and are a supernaturally skilled ruler and general, regardless of the era. You can call upon the Hammer of the Wind King, enhance yourself with jets of mana, and ride any beast or machine known to man. Requires Gray and Modern Hero.",,,
,,400,Hands on Experience,Fate/Zero,"Being a full time murdering maniac is a big job. And like with any big job, if you want to do it well, you need lots of previous experience. Luckily, there’s no other human alive that has as much experience with you in causing pain and misery to others. You’ve got every single technique a normal human has ever thought up to make someone else suffer and cry stamped onto your brain and you’re a genius like no other when it comes to coming up with more. But this knowledge isn’t just for when you have someone strapped to the table. Oh no, you know how to apply it all to combat and when you do, your attacks deal more damage the more pain you’re causing, even when that doesn’t make a strict amount of sense.",,,
,,400,Pride,Lord El-Melloi II Case Files,"You have the knowledge and skill of an exceptional mage, especially in one particular specialty. This may be purchased multiple times, and is discounted when you already have some grounding in that discipline from another jump.",,,
,,400,Solid Foundation,Fate/Revelation Online,"While specializing is important, it's incredibly likely that anyone without the proper knowledge of other fields will be plagued with otherwise avoidable setbacks due to a lack of information from specializing. You now know the basics of every major magical style in existence and can perform a few spells for most of them. Even in fields where you cannot perform the spells, you possess some theoretical knowledge in the field. While these issues in casting may come from Element or Origin issues, it is far more likely to come from the complexity of the subject. However, while you do have some knowledge into incredibly complex and exclusive topics like the True Magics, unless you already possess the capability to use it, have a life changing experience like touching the Root, or purchase a perk later on that allows you to do so, you will never be able to cast even a single spell. With that being said, though, this knowledge grants you many more options for advancement, research, and general casting of magecraft than basically any other magus in existence simply due to your wide range of magical know-how.",,,
,,400,Druid,Fate/Legends: Land of Shadows,"The magic of the wilds runs deeply in this land, such that a druid is perhaps better known than an ordinary magus. The druidic magecrafts involve dealing with nature, the spirits and beasts of the land, even the creation and summoning of avatars of the divine beings found in this natural expanse. From your childhood, you had an innate connection to the natural world around you that allowed you to easily bond with beasts and spirits, which has been further supported by an extensive education as a Druid. You are the match of a exceptional druid magic user like Fionn mac Cumhaill or Cu Chulainn, possessing a very large amount of magical energy and a great deal of knowledge to put it to use. Summoning hordes of relatively strong creatures to support you, turning a forest against your enemies trapped within, creating something as magnificent as the great Wickerman. You won’t have the power nor breadth of a master of Runes but you are notable in your own right and you’ll find that barring rituals to communicate with and obtain the alliance of major natural spirits or forces, your spells are much faster than what a Rune Magic user might normally use.",,,
,,400,Divine Words,Generic Nasuverse,"This grants knowledge of divine words. The use of divine words was the primary method used for casting spells in the Age of Gods and the first half of the Age of Heroes. They act as a potent medium for Mystery, able to hold enormous amounts of information while also being a Mystery in their own right that enhances the power of your magecraft.

That is to say, divine words allow you to use more Mysteries and more magical energy at once while enhancing those same Mysteries. This, in turn, allows you to more easily and quickly perform higher level magecraft. It's a large part of why mages from the Age of Gods were so superior to modern mages.",,,
,,400,Wisdom of the Haunting Ground,Fate/Legends: Land of Shadows,"These long, long centuries have not been idly spent by you. You devoted yourself in your life until now to mastering all that you could get your hands on. And master you did, for you possess seemingly supernatural ability in hundreds, if not thousands of different skills and fields of knowledge. So long as the skill or knowledge existed before the first or second century AD, you have already learned it to the point that you can pull off supernatural feats with it. Your skills with horse riding, for example, are such that horses are driven to move at speeds far greater than physically possible and become able to ride up walls as if they were flat land. You could create poultices from plants that heal with magical efficiency. However, while your wisdom is vast, it is limited in the fields of combat or magic. Perhaps you neglected those areas of study in your long life, for you have no more skill in things relating to those fields than any other person.",,,
,,400,Four Legged Scholar,Fate/Legends: Empires of Antiquity ,"Few monsters are bound to a human lifespan. Most are outright immortal, if not incredibly long lived, and that can often be seen in the sheer breadth of experience most intelligent non-humans possess. But even among immortal beings, you’re a stand out example of a life well learned. You hold very broad knowledge of almost all things in this world. Different magic styles, countless combat techniques, medicine, science, the use of many different weapons and implements, almost any skill that can be named without being unique to an individual or being a special power instead of a skill anyone can learn, as well as having to exist in the time that you take this. While many might consider you a master of these things, you cannot compare to true specialists. While you skill in varying forms of magic is broad and deep, legendary witches like Medea would greatly overshadow you. Your
talent for combat with fists and weapons is that of a master to most but only that of a journeyman compared to Achilles or Heracles. If an ordinary master were a ten and these legendary heroes were a hundred with their specialties, you’d be something like a fifty.

However, your true blessing lies in your ability to pass on that which you know. You are a teacher of near-supernatural excellence and should you allow others to learn from you, will be the one to create numerous legendary heroes, very much the equal of Chiron himself in this field. Bringing others to your level of skill, even training their abilities and bodies beyond normal human limits, is quite easy even within just a few years, but you also find yourself able to awaken potential in your students that lets them grow beyond what you can teach with ease, especially once they begin to adventure on their own. Your students, even the rowdiest, find themselves easily falling into the perfect mindset to learn from you and can even retain any natural anger they might have while you teach the",,,
,,400,Science of A Sage,Fate/Grand Order: Cosmos In The Lostbelt,"The Lostbelts are stagnant histories. Timelines that for some reason or other became unable to branch out into different histories themselves, and as such were pruned away by the World. That is not to say that scientific advancement stopped in such hypotheticals brought back by the Trees of Fantasy. Indeed, the progress of civilization has nothing to do with pruning. And with this purchase, you may gain access to the complete techbase of one such pruned timeline, as of its equivalent of the year 2018 AD. Specifically, that of the Synchronized Intellect Nation; SIN, the third Lostbelt Chaldea will destroy. This alternate history had focused its full scientific prowess for the benefit of a singular man, and as such things like efficiency, miniaturization, electricity, and so on were never even considered.

Of course, you truly understand the knowledge you’ll be given, instead of just getting blueprints for everything downloaded into your mind. Innovation might not be easy without ways to enhance your mind, but it won’t be impossible either. Following will be plenty of examples of what Qin Shi Huang, the only true man in his empire, accomplished.

The pillar of his empire was a modified form of wheat, being immensely nutritious and delicious, immensely sturdy to all kinds of climates and weather conditions to the point it could be planted globally with no issue, and incredibly efficient to use as burning fuel. Another example of this technology’s incredible bioengineering is the Benediction, a special drug that reduces the intelligence of people and kills them only when they have reached old age, in exchange for making them quite happy, as well as immensely enhancing their immune system such that diseases and illnesses are non-existent in the empire. And the downsides of such a drug are intentional, so if you wished you could easily design one with the benefits that doesn’t kill or make people empty-headed.

Another pillar of the empire is the emperor’s body itself. Constructed as a gigantic mountain-sized supercomputer that can float in the air without physical aid, it works off of burning biomass, making use of all the super-wheat being grown across the whole world in his timeline. And you could move your soul and mind into such a vessel after constructing it, in case that needs be said. Additionally, the warriors, generals, and other various legendary figures of this timeline have been cryogenically frozen in a massive facility under a mountain, to be unfrozen later, perhaps centuries afterwards, with little issues beyond a risk of confusion and some small berserk rage when waking up. Additionally, Qin Shi Huang utilized specially constructed cannons to launch his Benedictions all across the planet, for swift delivery to his subjects world-wide.

One of the most impressive achievements made with this technology is the three century long construction of a massive ring around the Earth, an orbital Great Wall if you will, serving as defense for cosmic invaders and allowing you to disconnect certain sections to make them fall to the Earth like a meteor, should you wish to wipe out a town. A more small-scale but no less impressive process would be granting people spiritual and physical immortality like that of the Zhenren of China, and scanners able to obtain full information on any objects with enough scans are also possible.

One of the more ostentatious shows of power Qin Shi Huang performed was the projection of magnetic waves, in such a way as to make any sufficiently hard object vibrate and produce sound as if he was physically present and talking, down to the precision of a singular human skull from across the planet, as well as sufficiently thorough surveillance equipment he could use such magnetic communication to hold a full conversation as long as the other party was exposed to the sky.

And finally, this technology can allow you to mass-produce Low Rank mechanized infantry, for the purposes of war, as well as produce and maintain an immensely powerful android warrior the likes of Xiang Yu, as expensive as he is. And finally, due to this technology having been developed by learning all sage arts from the Fusang Tree, you could feasibly create a human body for yourself, one powerful enough to be on the level of the Grand Rank. Of course, all these examples were done by an emperor with full and total control over an entire planet for thousands of years, with the developed infrastructure to match. That said, you do possess all the knowledge that the Lostbelt Qin Shi Huang possessed, so perhaps all you need to start catching up is an empire of your own.",,,
,,600,The Real World,Fate/Zero,"When it comes to cover ups, there’s no one else in the world that can match the Church. You’ve been trained in all the ways and knowledges needed to cover up everything short of an entire city being obliterated. A few hundred strange murders in one location? Amateur hour. Very public and very loud battles between powerful magical beings in the middle of a city? It’s your 9 to 5. Cthulhu himself rampaging through downtown, witnessed by both police and the military, along with thousands of civilians? It’ll stretch you to the limit but even this is something that you can cover over with the masquerade. Through a combination of skill, connections and truly unnatural luck, you can maintain the masquerade.",,,
,,600,Lewd Magecraft,Lewd Fate,"Your over specialization finally bore fruit, what you’ve achieved is truly astounding, from making insidious slave seals to unexpectedly potent hypnosis as long as it is in the pursuit of lewd endeavors you will find yourself able to come up with new spells with minimal effort as well as adapt others outside your specialization to your needs. That fire spell has always been beyond you? As long as you wish to use it to burn the clothes of your target fire away. Pushing this even further might even unlock your very own lewd reality marble.",,,
,,600,Prodigy,Kara no Kyokai: Ammy Edition,"Many magi live, die, and accomplish nothing, no closer to the root, and contributing nothing but a few circuits and some minor spells to the family crest. Fortunately for you, you are not 'many magi.' First of all, you are now one of the leading experts in the field chosen above, head and shoulders above most in terms of skill. Additionally you are one of the most intelligent magi of the generation, and are all but destined to push the bounds of knowledge in whatever field you choose to study forward by decades in just a few years.

	「　」 Boosted:
There are geniuses, and then there are people like Ms. Aozaki... And you. Your genius pertaining to magecraft, and indeed magic of all kinds in future worlds is the stuff dreams are made of, to the point you can nearly single-handedly resurrect lost or forgotten schools of magecraft, and push existing schools forward generations in just a few years of work.",,,
,,600,Risen Legend,Kara no Kyokai,"There is a poisonous fetishism at the heart of magus society, an obsession with the old and the mysterious. A toxic belief that all that we have now is just a pale imitation of what came before. Age is power, an old family serves a magus better, we must reach the origin of it all. That’s just so much shit. Magecraft may lack the raw power and direct use of systems from earlier in history but the idea that it is useless is the thought of someone without the will to persevere. A true magus would not stop, not until they tear open a path beyond their limits.

You’re living proof of the idea that magecraft being an inferior system is not necessarily as true as much of the Clocktower thinks. Whatever your own innate power, you have taken a chosen specialty of magecraft to obscene heights, the likes of which is only matched within magecraft by things like Aozaki Touko’s doll making styles or the impossible Bounded Fields of Araya Souren. Whatever your chosen field of study is, you’re certainly one of the greatest users in many generations, if not centuries outright. Your spells within that field are stronger, cheaper, faster and far more skillfully controled than any hopeful peers. Your knowledge and skill is near total, at least in regards to existing knowledge on the field, and you have the sheer talent to continually push the limits and learn impossible spells and actions, like discovering how to make Bounded Fields mobile around a person. It’s far easier than normal, almost springing into your mind, to discover ways to combine other magic and magecraft you know into your chosen field to expand and empower it even further. As a finishing touch, whatever path you choose has revealed to you a method of immortality, a way to make yourself not just unaging but outright harder to kill in general. Touko’s famous immortality puppet network as a sterling example.

In future worlds, you’ll find anything similar enough to your chosen specialty will receive all the same effects. A brilliant alchemist here will be one in the future too. You may also buy this perk multiple times.",,,
,,600,King of Conquerors,Fate/Legends: Empires of Antiquity,"When the annals of history list out the names of those known as the very greatest minds to ever consider the battlefield, those great conquerors that tamed the world and the race of man, your name will be there even if you didn’t conquer an empire of your own. You’ve got near perfect military skill in tactics and strategy, of such strength and scale as to allow one to conquer an empire across the known world and beyond, further then what nearly anyone else has achieved, in just a decade, at least if you start with a good army. You might have to spend time recruiting and training some men if not but your talents are no less great in that field than they are in commanding a war itself. Not only are your skills capable of turning the tide and pulling out a win against odds tens of times too great for your forces to even survive, those that follow you also become inspired with each win, deepening their loyalty to you, providing opportunities for you and them to meet and strengthen those friendships in person, and steadily growing in their main skills and powers the more you lead them to victory, even eventually reaching beyond the limits of ordinary mortals and into the realm of the magical. Before you and your mighty legions, this world is ripe for the taking.",,,
,,600,Runelord,Fate/Legends: Land of Shadows,"The most iconic of magics for this place it seems, though what you are taking hold of here isn’t from Ireland at all. With the purchase of this, you have become a master of Rune Magic, which utilises magical energy drawn in set forms to create powerful spells. It takes more time to perform then many other kinds of magic but is exceptionally powerful. Of course, you know all the normal Norse runes and much of your spells come from combining them in different orders to create magic. But what makes you special is that you are aware of the Primordial Runes, the same ones that Odin himself used. Even just using two or three at once can accomplish things like rewriting a Servant’s saint graph, grant sapience to mere animals, bring terrible monsters to life from nothing or harm even a divine spirit. Of course, you’ll need a lot of energy to equal the sort of stuff someone like Odin might have done but you’ll now find yourself overflowing with more than enough magical power to destroy a mountain or three. Maybe even crack a big island into itty bitty pieces with the right rune combination.",,,
