0,Perk Name,Cost,Description
17,Blueprints: Relics,200 CP,"You gain the mental compendium of all blueprints, which can be found and collected in the game, for relics and the ability to build them. You only have high skills, deep insight, and mystical powers when creating something from these blueprints. However, over time, some mundane or even more supernatural pieces of skills and knowledge might stick to you through the practice of crafting these items."
18,Consumables Recipes,200 CP,"You gain the mental compendium of all recipes, which can be found and collected in the game, to produce consumables and the ability to make them. You only have high skills, deep insight, and mystical powers when creating something from these recipes. However, over time, some mundane or even more supernatural pieces of skills and knowledge might stick to you through the practice of crafting these items."
19,Augment Making Recipes,250 CP,"""Augments are enchanted powders, tinctures and poisons that can be used to empower weapons, rings, and amulets. An item may have only one augment on it at any given time, and applying a new augment overwrites the old one. Salvaging or dismantling an augmented item does not return the augment."" You gain ability to craft all augments from the game, apply them effectively. You can even tweak recipes slightly or use auguments in creative ways. However, you only have high skills, deep insight, and mystical powers when creating something from these recipes. Although, over time, some mundane or even more supernatural pieces of skills and knowledge might stick to you through the practice of crafting these items."
20,Item Set Creation,250 CP,"You gain the mental compendium of all blueprints for items from different sets and the ability to make them. You only have high skills, deep insight, and mystical powers when creating something from these recipes. However, over time, some mundane or even more supernatural pieces of skills and knowledge might stick to you through the practice of crafting these items. Via practice you can start applying 'item set' mechanic to different things and even create your own unique item sets. Although, they still will be somehow themed around Grim Dawn mechanics."
21,Common Items,100 CP,"You have just enough knowledge and skill to make all common quality items from Grim Dawn, along with basic skills to actually use them. Your skill set is pretty narrow and focused on these specific types of items, which makes using them for other purposes a bit problematic and requires additional training."
22,Components Creation,200 CP,"You are able to produce components from the Grim Dawn game using relatively mundane resources. You also can apply or utilize them on different pieces of equipment to affect their properties or add new ones. This process is quite mysterious, just like the resulting components."
23,Devotion Constellations,50 CP,"This perk gives you one devotion point to spend on stars from Grim Dawn constellations, granting you some boons and effects the have. Although they are not the same as in the game, they are inspired by it and warped by the actual meanings and ideas these constellations represent, and your personality, your nature. You have a general knowledge of their lore. Be careful, because this might have some unexpected side effects. This perk can be purchased multiple times. You don't have to spend the obtained devotion points - they can be stored indefinitely and used whenever you feel like it. After buying all the stars from all the constellations, you gain the ability to give these points to other people after each purchase of the perk."
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
126,,,
127,,,
128,,,
129,,,
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,,,
141,,,
142,,,
143,,,
144,,,
145,,,
146,,,
147,,,
148,,,
149,,,
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,,,
161,,,
162,,,
163,,,
164,,,
165,,,
166,,,
167,,,
168,,,
169,,,
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,,,
181,,,
182,,,
183,,,
184,,,
185,,,
186,,,
187,,,
188,,,
189,,,
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,,,
201,,,
202,,,
203,,,
204,,,
205,,,
206,,,
207,,,
208,,,
209,,,
