0,,Free,Name,Jumpdoc,Chapter,Description
11,,Free,"""Bonfire Teleportation""",Dark Souls 3,Domain,"Bonfires are mystical flames that surround a sword embedded in the ground, around the size of a campfire. These Bonfires are found scattered about this world. While they have a number of abilities, this perk grants you one in particular. When resting at a Bonfire, this perk allows you to teleport between any other Bonfire that you've already discovered, allowing you to quickly navigate the world as needed."
12,,Free,Stairway to Heaven,Worm CYOA v17,Domain,"You can walk, run, and stand in the air. You can also walk back down to the ground if you want. You can use this to stop yourself in mid-air or skid at any speed, just prepare for an impact."
13,,Free,Flight ,Touhou Project: Forbidden Hermit,Domain,"You can fly, a power that is nigh-universal in Gensokyo. Flying as fast as you can walk is simple, and you can push yourself to fly faster, up to how fast you can run, which will tire you proportionately."
14,,Free,Flying ,Peter Pan,Domain,"You have the basic ability and understanding of how to fly, though you still need pixie dust and consistent belief and happy thoughts. With enough belief, you can defy all laws of physics and even fly through space. Everyone in Neverland has this ability, though for fairies you do not need pixie dust (well, technically, you always have the dust since it’s a part of you) and don’t need happy thoughts to fly. Moreover, by taking this freebie, you are able to fly whenever you have access to pixie dust and happy thoughts, no matter how old you are (normally flying is only possible for the “gay and heartless”).
"
15,,Free,Hearthfire - Basics,The Elder Scrolls,Domain,"At this point, there isn't much to your home. It has an entryway, the main building has two floors, a fireplace, a kitchen, an outhouse, and you've even got a large bed. It may not be much at the moment, but you've got to start off somewhere."
16,,Free,Hearthfire - Aesthetics,The Elder Scrolls,Domain ,"Much like a certain purchase for your Warehouse, you can have your home take on any aesthetic found in this universe, from the glass/insect wing-like style of the Altmer to the mushroom towers of the Telvanni to the mudhuts of the Argonians to the spiky architecture of the Daedra, to anything in between.

(CG Note: Requires Hearthfire - Basics - The Elder Scrolls first.)
"
17,,25,Britta’s Tacos ,Star vs the Forces of Evil,Domain ,"A mexican-and-more fast-food restaurant in Echo Creek that’s popular with Echo Creek Academy students, including Star when she’s there. (They also sell hamburgers and horchata.) Somehow, it ended up in your warehouse, the well in back not included. No, I don’t know where they’re getting their inventory from. Yes, they will do takeout via dimensional scissors."
18,,25,"Here, have a castle",Star vs the Forces of Evil,Domain ,"There’s more than a few castles, temples, and other ancient structures laying around the universe, and nobody should notice if one disappears. So spend your points and you can have one that matches your preferred aesthetics. You will have to plant it in the worlds as you go, however. There might be a spell for that. Adding sofas and other furniture will take manual labor."
19,,50,Clinging With Your Feet,Medaka Box Abnormal Jumpchain,Domain,"A very strange martial art is the discipline of clinging to walls and ceilings with your feet, allowing
you to walk on them as if they were the ground. You’ve become a master of this art, to the point of
being able to use it even when you’re wearing shoes or piloting a mecha. Gravity only holds you
down when you want it to. Or when you jump and stop holding on with your feet."
20,,50,From the Stars,Naruto - Ōtsutsuki Clan Jump,Domain,"Similarly to how walking on horizontal surfaces and
on water are some of the basics of a shinobi’s training, the floating technique
considered legendary by the humans is also one of the basic ability to every
Ōtsutsuki, which allow the user to freely float and/or fly using their own energy at
high speeds. You’ll also have access to an advanced form of this
technique that enables you to turn into “light” to reach extreme speeds while
traveling in space. Despite many Ōtsutsuki having access to the Yomotsu Hirasaka
or similar space-time techniques, it isn’t every one of us that have access to them
and these abilities aren’t always available to be used so this light-based flight works
as a substitute to be used in interplanetary travel.

Requires Ōtsutsuki to purchase."
21,,50,Portal to the Mangoverse,DC Comics,Domain,"Not long after your arrival into this world, you made contact with a mysterious force which lets
you create a small portal near you to a dimension of pure mangos-which seems to follow you
into future worlds as well. You make it as big as two basketball hoops or small enough to let out
one mango at a time, and short of the greatest cosmic events the mangos never seem to run

out. All of the mangos are among the freshest, ripest mundane fruit you’ll ever taste. What’s
more, all the mangos are strangely good mufflers for all kinds of firearms. Just what are you
going to do with all this fresh fruit, other than presumably stay healthy? Is...is this all some
elaborate cosmic joke?
If you put your ear to the Mangoverse portal, you sometimes hear muffled sobbing and pleas
saying “I don’t wanna” repeatedly, as well as distant gunshots. Nothing ever seems to come
through the portal but mangos, though. Perfectly fresh, clean mangos."
22,,50,Cleanse,Worm CYOA v17,Domain,"You can clean anything within a five-meter bubble of you and whatever you're directly touching, immediately removing any dust, dirt/mud, oil/grease, non-water fluids, and anything else commonly considered 'filth' from the area of effect. This also extends to some things not typically thought of as filth, such as scorch marks or tarnish on metals, or tire marks on asphalt and concrete. You may choose if removed filth is absorbed by your power or simply displaced to elsewhere."
23,,50,Blink and you Miss it.,Worm CYOA v17,Domain,"You have absolute awareness of any and all matter within 5 meters of yourself, and can teleport to anywhere within 4 meters of yourself. Your cool down is half a second. All living beings in the spot you're teleporting to will be teleported just outside where you chose to teleport."
24,,50,Summoning,Worm CYOA v17,Domain,You can summon anyone you've ever seen to any location within 10 feet of you as long as there is enough open space. The person you are attempting to summon is aware that you are attempting to summon them and can refuse if they so wish. This works on people you have seen an accurate image of. This does not work across dimensions.
25,,50,SIMULATION ROOM,Final Fantasy X,Domain ,"Perhaps part of the reason you’ll have wanted the Monster Arena in the first place – this room is another annex entirely in the Monster Arena, and allows you to face off against your “pets” in an environment that remains completely safe. Even should you or your pet fall here it is of no consequence, as no lasting damage will be done to either party – it might serve to be a good testing area, or a good training area, both the same thing really.

The default appearance resembles that of the Calm Lands, but you can configure it to resemble another locale you’ve visited before – it’s just for aesthetic purposes.

Requires The Monster Arena to Purchase"
26,,50,DOMAIN EXPANSION,Final Fantasy X,Domain ,"A very simple modification that increases the amount of pens you have by 2 for each time you purchase it. Good if you ever feel that you need to expand the amount of pens you have because you’re lacking in space for some reason. The pens are already specially designed so that they can contain dangerous breeds – so containment really isn’t an issue.

Requires The Monster Arena to Purchase

May be Purchased Multiple Times"
27,,50,Portable Cottage ,Final Fantasy IV,Domain ,"An exceedingly comfortable cottage that can break down small enough to fit in a backpack. When fully constructed, it can fit five people extremely comfortably, and up to ten semi-comfortably."
28,,50,Emergency Exit,Final Fantasy IV,Domain ,"For when an exploration doesn’t go as planned. When used, you’re taken to the entrance of whatever location you’re in, and isn’t consumed on use."
29,,50,Portable Cottage ,Final Fantasy II,Domain ,"An exceedingly comfortable cottage that can break down small enough to fit in a backpack. When fully constructed, it can fit five people extremely comfortably, and up to ten semi-comfortably."
30,,50,The Crossroads of The World,Godbound,Domain ,"Fast travel is rare in this world, which makes even the limited access you have here quite invaluable even to many Godbound. What you have is a teleportation device, underground tubeway car or even Night Road that discreetly connects two important locations, like the Bright Republic and a stronghold of the antipriests. In future worlds similar such locations can be linked by whatever form this transportation takes, though generally interplanar locations like Heaven and Hell will require more exotic means of transportation."
31,,50,Pure Warrior,Elden Ring - Limgrave,Domain ,"Nepheli Loux is a Tarnished warrior from the Badlands. In her infancy, Nepheli lived through murder and pillage unchecked. At some point, she lost the guidance of grace, and was taken in by Gideon Ofnir, who became her foster father. With a pure heart, strong arm, and an eagerness for combat, you can’t go wrong with her by your side."
32,,50,Demi-human Seamster ,Elden Ring - Limgrave,Domain ,"Boc is a demi-human seamster who took up the role thanks to his mother, always wanting to be like his mother and inherited her sowing kit after she passed. Having been kicked out of a nearby demi-human tribe, he now offers his services to you."
33,,50,Crippled Sorcerer,Elden Ring - Limgrave,Domain ,"A Tarnished sorcerer of some skill, and with a history of Those Who Live In Death, he is quite willing to share with you what he knows. Rogier spent his entire life behaving with utter detachment. No one noticed the anger, grief, regret, or fear that existed along with it."
34,,50,Bloody Finger Hunter,Elden Ring - Limgrave,Domain ,"Yura is a warrior who dresses in the garb reminiscent of that worn in the Land of Reeds. He is a self-proclaimed hunter of Bloody Fingers, those who have pledged themselves to the Lord of Blood and his dynasty. With him by your side, even the mighty dragons could be felled by the two of you."
35,,50,Spirit Steed Whistle,Elden Ring - Limgrave,Domain ,"A delicate goldwork ring, it can be used as a finger whistle. Sound the whistle to summon and ride Torrent, the spectral steed. Upon his death, the spectral steed can be summoned again after a minute. Should you already own a mount, then you may bind them to the ring instead."
36,,50,Bonfire,Dark Souls: Covenants,Domain ,"A welcome sight in these lands, a safe spot for the wandering and world weary. This bonfire gives off a welcoming warmth, and rejuvenates those who rest beside its flames for a time, as well as being used to refill Estus Flasks. You will find one within your Warehouse upon purchase, though you can place it wherever in the world you like. This can be taken multiple times.

May be Purchased Multiple Times"
37,,50,Coyote Pup,World War Hulk,Domain ,"Aww, how adorable. You get a cute coyote pup to have as a pet. This pup is surprisingly smart and will understand you easily. If injured or killed it will come back good as new. Comes with unlimited free food and toys for the pup."
38,,50,The Hierarchy of Aesthetics ,Bayonetta,Domain ,"Those Laguna folks have some pretty nice bling, don't they? Angelic soft feathers gently falling like snow, a golden sky, beautiful flora, impressive architecture... and all that marble with gold. It's enough to make one think they were truly in Paradise. Well for a low cost, I can bring that aesthetic into your Warehouse! This will be sure to make it look like anyone who visits had died and gone to Heaven... of course, you can grace yourself further with all the bliss the Heavens can provide with your heavy equipment changing to assist as well. Permanent emplacements in your Warehouse such as medical bays, research stations, and the like now have the option of being affected by aesthetic changes, its exteriors changing to better suit your whims. If you had additional aesthetic options, you could be alter your equipment and aspects of your Warehouse with those as well."
39,,50,"""Soapstones""",Dark Souls 3,Domain ,"Purchasing this grants you two items, a White Sign Soapstone and a Red Sign Soapstone. The White Sign Soapstone allows you to draw a glowing sign on the ground, visible to certain strong beings in overlapping, parallel worlds. Beings who can detect the sign may temporarily summon you to aid them as a phantom with some kind of task or battle. A Red Sign Soapstone is similar, but broadcasts very different intent. A being that summons you from a Red Sign will oft be looking for a fight or duel. You do not have much to fear from being summoned as a phantom, for you are operating through a proxy body and death of the phantom body doesn't translate to death of the real one. Useful for an adventurous outing, but little else."
40,,50,Quickening,MtG - Shandalar,Domain ,"A small cup crafted from still-living oak, drinking from this item will grant the user an immensely potent burst of vigor. You will be able to move significantly faster, though this manifests less as superior reflexes and more the ability to sprint at full speed without slowing. The effect lasts for about three hours, and completely eliminates physical fatigue in the user while it is active. 

The Quickening cup can be used once per day for free, and can be recharged instantly by spending a Green Amulet (such as from the ‘Jewelry’ or ‘Gemcutter’ options below)."
41,,50,Leap Of Fate ,MtG - Shandalar,Domain ,"This meticulously carved sapphire seems to flicker and shift out of the corner of your eyes, hinting at its otherworldly nature. Imbued with the essence of unpredictability and escape, the so-called ‘Leap Of Fate’ allows its user to escape almost any predicament. When activated, the user will experience an immensely powerful teleportation effect, transporting them to safety in an instant. This effect will pierce any kind of barrier, ward, restraints or other method that might be used to prevent your passing... but the inherent randomness of the magic that the stone uses to achieve this freedom means that predicting where exactly you’ll arrive is effectively impossible.

The Leap Of Fate gem can be used once per day for free, and can be recharged instantly by spending a Blue Amulet (such as from the ‘Jewelry’ or ‘Gemcutter’ options below)."
42,,50,Basic Land ,Magic The Gathering - Iconics,Domain ,"The bare essentials for a Planeswalker, a basic land. The basic lands are the Plains, Mountains, Islands, Forests and Swamps. These generate one mote of White Mana, Red Mana, Blue Mana, Green Mana, and Black Mana respectively. If you desire you can instead have a Wasteland which generates Colorless Mana."
43,,50,Merlin's Circle,The Sorcerer's Apprentice,Domain ,"Essentially a practice circle, Merlin's Circles are big, bulky inscriptions that focuses and contains the magical energies of anyone who steps inside it, effectively making them a better sorcerer. It's used as a training aid to help an apprentice contain and cast their first spells, and speeds up the learning process for anyone inside of it. Making a new one is a very simple process, and can carried out by a sorcerer."
44,,50,Path of the Lotus,Fate/Legends - Nirvana Yuga,Domain ,"The favour of the world as you journey on the path, showing in the flowers that bloom beneath you
whenever you need to rest. A lotus is most common but other kinds can appear to your tastes, supernaturally large and stable plants sprouting whenever you need a platform beneath you. It may
be a traditional seat on which to meditate or act as a path across hazardous surfaces, continually
sprouting flowers to separate you from the dirty ground. Should you use them for the intended
purpose, you’ll find that sitting on the lotus allows you to far more easily get in touch with the
spiritual side of the world, for use in understanding the truths of the world or becoming more aware
of the magic that flows through it."
45,,50,Forest Hideout,Fate/Legends - God Save the Queen,Domain,"Every outlaw needs a place to retreat, even when fighting the good fight. While it does take a little
while to get there, you’ll find that small hidey-holes are available for you out in the wilderness when
you need them. Often barely more than a bolthole in the ground, a hollowed out tree or a
abandoned hut beneath a rocky outcropping, these places still contain food and a small amount of
medical supplies. It could save your life, as could the map of the local area and simple but sturdy
weapons found in each one."
46,,50,Sonic Boost ,Lyrical Nanoha,Domain,"The simplest way to improve a flight spell is simply to pump more power into it. However, the fields that adjust for G-forces, altitude, temperatures and aerodynamic profile (especially important for those that wear capes) all have their own tweaks that need to be made so the increased speed is survivable. (CG Note: Requires Device - Lyrical Nanoha first.)"
47,,50,Natural Domain ,Golden Sky Stories,Domain,"As a Henge, you’ll likely find yourself living out in the wild for the most part, and chances are you’ll have to look for a place to set up camp. You can go and see if the humans are willing to lend you shelter of course, but I can also help you out by allocating you a section of the domain around town, a place for you to rest easy at night. Just don’t expect it to be much larger than an apartment suite – you’re sharing the forest with other Henge too! Though...to think of it, it’s really strange to describe your domain as an apartment suite.

Should you eventually depart, you should decide for yourself how this follows you.
"
48,,50,Natural Elements ,Golden Sky Stories,Domain,"In places overflowing with nature, it’s said that sometimes, the lines between the “modern world” and the “spiritual world” blurs a little, resulting in strange supernatural locales. Choosing an element of nature, you can exemplify this element beyond its limitations in the “modern world”. A river of stars that only appears above your domain, a sprawling forest of bamboo that blocks out the sky; it’s up to you to decide what element suits you best. 

Each time you take this, you can choose a new element (Though it does have to be something natural), and the size of your domain grows by half. For each 100 CP you place into this, you’ll also find that natural animals will show up, appropriate to the element you’ve chosen – and with time, these little critters may also become Henge as well. (CG Note: Requires Natural Domain - Golden Sky Stories first.)"
49,,50,A PLACE OF WONDER ,Golden Sky Stories,Domain,"As a Henge, without having to worry about hiding your appearance, your Domain allows you to concentrate on building a connection with others. Granted, it won’t be often that a human or another Henge actually intrudes on your Domain – but you could invite them in temporarily of course. So long as they remain within your Domain, it becomes much easier to bond with them and the same goes for your companions as well. (CG Note: Requires Natural Domain - Golden Sky Stories first.)
"
50,,50,Wheel of Magic ,Warhammer Fantasy: Imperial Colleges of Magic,Domain,"In the days of Supreme Patriarch Paranoth, it was determined that a visual representation of the relationships between the different Winds of Magic was necessary. You have acquired a small dial, to be placed in a building or extradimensional space of your choosing (among those which you own, that is) in the style of this precise depiction. Just as Supreme Patriarchs announce a new era in the Colleges by turning the wheel to place their own Lore and College at its apex, so too may you turn the wheel to produce an interesting effect - the building’s appearance and decor will shift to match the “theme” of the Wind whose symbol sits atop the wheel once you are finished turning. Enjoy turning your castle verdant and your picture frames to Jade, covering even the walls of your storeroom in Gold, or draping your home in shades of Grey. These alterations will obviously be purely cosmetic.
"
51,,50,Sorcery - Convoyence Ritual (Teleportation Ward) ,World of Darkness: Sorcerer,Domain,"Teleportation, flight, and other means of magically swift transportation are covered by this path.

Some, but not all, Paths also have rituals, which take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

Teleportation Ward (2): The sorcerer creates a magical boundary around a room or building that interferes with any attempt to teleport into the area - unless the teleporter knows the passcode, of course. This ward degrades over the course of months if not tended to, but is easily maintained by an active sorcerer.

(CG Note: Requires Sorcery - Convoyence (Two Dots) - World of Darkness: Sorcerer first.) "
52,,50,Sorcery - Convoyence Ritual (Getting Out of Here) ,World of Darkness: Sorcerer,Domain,"Teleportation, flight, and other means of magically swift transportation are covered by this path.

Some, but not all, Paths also have rituals, which take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

Getting Out of Here (3): Another ritual cast mostly ahead of time, this ritual allows the caster to return to a specified location with a single word, so long as that location is within 50 miles. Additional power can expand this range, but must be expended during the initial casting.

(CG Note: Requires Sorcery - Convoyence (Three Dots) - World of Darkness: Sorcerer first.) "
53,,50,Sorcery - Convoyence Ritual (Teleportal) ,World of Darkness: Sorcerer,Domain,"Teleportation, flight, and other means of magically swift transportation are covered by this path.

Some, but not all, Paths also have rituals, which take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

Teleportal (5): Master sorcerers can create permanent gateways between locations. This ritual requires multiple days of preparation, some of which must be spent at both sites. Once this is done, the sorcerer may invest as much power as they wish into the portal, which determines the range, the number of uses it has before it degrades, and any and all specifications they wish to add to who or how the portal can be used. As a final measure, the sorcerer permanently invests a small fraction of their will to complete the portal. Such an endeavour would be beyond the power of most sorcerers, if not for the fact that lesser practitioners of this path may add their own magic to the ritual, but the final sacrifice must be the master’s.

(CG Note: Requires Sorcery - Convoyence (Five Dots) - World of Darkness: Sorcerer first.) "
54,,50,Sorcery - Mana Manipulation Ritual (Shape Mana) ,World of Darkness: Sorcerer,Domain ,"Some, but not all, Paths also have rituals, which they take an extra ten minutes to cast, but are easier to perform, more powerful, and often capable of producing effects that cannot be replicated with normal sorcery. A sorcerer must have the appropriate dots in the appropriate path to learn a given ritual.

Shape Mana(2): The sorcerer alters the flow of magical energy in an area, changing its direction or effects. This can be used to attract luck and spirits of a desired type, at least in a general sense, but it can also be used to redirect ley lines and alter spells that are affecting the area.

(CG Note: Requires Sorcery - Mana Manipulation (Two Dots) - World of Darkness: Sorcerer first.)"
55,,100,Garden of Pain,Akame ga Kill!,Domain,"You receive a particularly interesting garden, similar to
the ones located on the Imperial Palace, that can become an attachment to your
Warehouse or any other property you have, but what makes it interesting are the
flowers it’s filled with. Due to its components, these flowers with light blue petals,
despite their beauty, cause extreme pain when applied in an open wound, being a
great resource to be used for some light torture without leaving lasting effects. You
can also find some way to isolate the flowers’ chemical components in order to
maximize their effects and utility."
56,,100,Guild Teleportation Jewelry,Overlord Guild Base Supplement,Domain,"Just like Nazarick has the Rings of Ainz Ooal Gown, so too does your guild have access to a
piece of jewelry (default being a ring) that allows whomever wears it to freely teleport anywhere
within the confines of the guild base, ignoring any magical wards or other protections that would
typically stop such behavior. The only places these teleportation items can’t take their wearer is
directly into the inner Treasury or directly into the Throne Room, instead being limited merely to
the entrance to those areas.
Additionally anyone wearing one of these items will never trigger any trap in the Guild Base
unless that trap is explicitly​ designed to activate in response to the presence of a Guild
Teleportation Item. Many guilds choose to place such traps in their inner Treasury rooms,
though you are not required to do so, in order to force thieves that somehow came into
possession of the teleportation item to leave it behind in order to actually enter the areas where
the treasure is, in theory giving Guild members and NPC’s time to marshall their forces and
confront them.
This jewelry only works for people that are genuinely affiliated
with the Guild Base and that would genuinely be allowed to use them. Regardless of which
option you purchase you have the capacity to make more of them."
57,,100,Advanced Defenses,Overlord Guild Base Supplement,Domain,"Your guild base now possesses defenses above and beyond those granted by the basic
defenses option. Much more powerful traps, rooms and hallways that loop back on themselves,
teleportation traps, stasis traps, environmental effects, and much more besides. In general it will
be exceedingly difficult for invaders to advance at anything resembling a decent pace, and will
require high level abilities in order to disarm or avoid the many defensive emplacements your
guild base now supports.

Requires Basic Defenses to purchase."
58,,100,Difficult to Approach,Overlord Guild Base Supplement,Domain,"This could be for any number of reasons, but the basic gist of it is that even just getting to the
entrance of your Guild Base is a massive hassle for invading forces. Maybe it’s surrounded by a
poisonous bog, maybe it’s extremely deep underground, or maybe like a bunch of dickheads
your Guild surrounded it with permanent invisible walls of force, requiring people to navigate an
invisible maze just to reach it. Regardless of the specifics, the simple fact of the matter is that it
will be trying at best for invaders to even reach your front door, ensuring that only the truly
determined will ever bother you.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
59,,100,Mobile,Overlord Guild Base Supplement,Domain,"Your Guild Base, unlike many, can actually move around. It could be a fleet of ships, often out
on the water, it could be a flying castle or island (if you purchased the flying option), or it could
be a castle nestled in the ribcage of a massive undead behemoth or golem that ferries it around.
Hell, it might even have treads, or any number of other creative options you can think of.
Granted it isn’t terribly fast at only around a hundred miles a day, large terrain features aren’t
exactly known for their speed after all, but unlike most your base has the benefit of simply
picking up and moving from an area if things start turning south.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
60,,100,Hidden,Overlord Guild Base Supplement,Domain,"Your guild base is obscured by some method. Examples include an illusion that makes it look
like an nondescript patch of forest when seen from the air and which can only be seen through
by approaching on foot, or having several terrain features surrounding it that obscure it from
view and make it difficult to find. A flying Guild Base might instead be invisible from the ground
and only observable above a certain height in the air, or have constant heavy cloud cover
obscuring it. While you could in theory set something like this up yourself, purchasing this option
ensures that only dedicated searches, or those specifically told where it is, will ever notice the
entrance to your guild base short of complete and total luck.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
61,,100,Flying,Overlord Guild Base Supplement,Domain,"Your guild base can fly. Or, rather, your guild base can hover in the air as this doesn’t provide
any sort of motive force. Useful for keeping the riff-raff out and for just making it more difficult to
get to in general. The view is pretty nice as well, and nothing quite says “large and in charge”
like a giant flying fortification.

Requires any sort of property (house, warehouse, city, dungeon, etc.) to purchase."
62,,100,Shadow Walk,Dishonored 2 Part 1,Domain,"By briefly transforming into the form of living
shadow, you can hug the floor and cross open ground
unnoticed, and strike without warning – if they don’t
notice the moving shadow. Once upgraded, your
shadow form can squeeze through narrow access
points, flit faster across the ground, and take down
more enemies in a single use."
63,,100,Far Reach,Dishonored 2 Part 1,Domain,"Whips a short-ranged rope of shadows out as a
grappling hook, pulling you through the air or across
intervening distances rapidly. If developed further,
time slows as you ‘aim’ the power in freefall, and this
shadowy grasp can pull objects towards you, even
hoisting enemies so you can dispatch them."
64,,100,Chora,The Wheel of Time Jump,Domain,"The chora are genetically engineered organisms originally created using
the One Power that emit an aura of peace and well-being. You now have
your very own Chora tree, as well as seeds ready to be planted which will
instantly grow into a grown Chora tree."
65,,100,Sæhrímnir,Germanic/Norse Mythology Jump,Domain,"The great feast.  With not even a gesture, full place settings, fresh food and drink, tables, chairs, servers, acutamon, and entertainment  shall be brought forth or dismissed into the aether. Any food, drink, or festive joys you have ever tried can be created on a whim, filling with all the nourishment the body needs and never making one fat beyond their desires but leaving the person ever able to be an endless glutton if they so choose. Sustenance for 3 days is provided at the meals leave to those who took even a single bite. No magical or special properties of any foods carry beyond taste, but the foods clear all stomach or further down pains and ails.  You have now tasted from all the greatest dining options in the nine realms and could feed an endless army with this."
