0,Perk Name,Cost,Source,Description
23,Incubus,400 CP,The Binding of Isaac,"""Dark Friend."" - This perk allows you to spawn and dismiss a demonic familiar that floats nearby you and shoots ranged attacks identical to your current ones in terms of damage, rate of fire and special effects. For example, if you are using a Tommy gun with tungsten bullets, the Incubus will mimic this ranged attack."
24,Dead Eye,200 CP,The Binding of Isaac,"""Accuracy Bbrings power!"" - This perk increases damage each time an enemy is hit by your attack. The damage bonus resets when you miss a shot. This effect has a certain bonus limit and does not work for some types of attacks (like lasers). You can toggle the effect on and off."
25,Holy Light,300 CP,The Binding of Isaac,"""Holy death shot."" -This perk allows you to either: add a chance to fire a 'holy shot' - a modification of your ranged attack that creates a damaging light beam in the area if it hits an enemy; or apply this effect to your attack intentionally, but with a specific cooldown between each application. You can toggle the effect of this perk, or even turn it off."
26,Rock Bottom,1000 CP,The Binding of Isaac,"""It's only up from there."" - This perk revents your physical attributes from falling below their highest values reached. Attributes continue to be calculated normally internally. Rather than use your current stats, items and effects will impact the same way they would as if you did not have Rock Bottom. Temporary buffs work normally, though they may make reaching new best values harder after the buff has worn off. Basically, stat penalties are accounted for, causing increased difficulty of reaching new best values."
27,PJs,100 CP,The Binding of Isaac,"""You feel cozy."" - This perk grants you 4 'soul hearts' and fully restores your health. Soul hearts work like a form of absorptive armor, taking damage instead of hurting your body. Depending on the severity, a different number of metaphorical hearts will be lost to absorb the damage. You can have a maximum of 12 soul hearts."
28,Book of Revelations,100 CP,The Binding of Isaac,"""Reusable soul protection."" - This item, upon use, grants one soul heart. Soul hearts work like a form of absorptive armor, taking damage instead of hurting your body. Depending on the severity, a different number of metaphorical hearts will be lost to absorb the damage. You can have a maximum of 12 soul hearts. There is a small chance of encountering the Harbinger boss attacking you shortly after using the book. The wielder of the book gains knowledge of how to use it and a general description of its effect. The active effect has a relatively long cooldown. You can also read it as a normal book."
29,Monstrance,200 CP,The Binding of Isaac,"""Purifying light."" - This perk gives you the ability to turn on an aura, which deals damage to enemies inside it. The closer they are, the more damage is dealt. Effect looks like a brightened area around you and a dim light. It is not perfect at telling apart enemies from friends and can be deceived. It deals damage in a form of sunburns. "
30,Book of Shadows,150 CP,The Binding of Isaac,"""Temporary invincibility."" - This item creates a protective shield, nullifying almost all types of damage for 10 seconds upon activation. The wielder of the book gains knowledge of how to use it and a general description of its effect. The active effect has a cooldown. You can also read it as a normal book."
31,Brimstone,200 CP,The Binding of Isaac,"""Blood laser barrage."" - This perk lets you shoot blood laser beam from your mouth that pierces through enemies and obstacles in its path and deals high damage. Can only be fired after a short charge-up period. This perk can be purchased twice to get upgraded version."
32,Stop Watch,300 CP,The Binding of Isaac,"""Let's slow this fown a bit..."" - This perk slightly increases your movement and reaction speed. It alters perception to make things move only at 80% of their speed from your point of view, without losing any understanding of events happening around you. It takes some time for the brain to adapt to this new reality. This power can be toggled."
33,Epiphora,150 CP,The Binding of Isaac,"""Intensifying tears."" - Shooting in one direction increases your rate of fire until the cap is reached. As soon as you change direction or stop shooting, the rate of fire resets to its normal amount. The effectiveness of the effect depends on the type of attack used. You can toggle this ability."
34,Red Candle,50 CP,The Binding of Isaac,"""Flame on."" - This magical item can be used to shoot a blob of strangely persistent fire. It will burn in the targeted location for some time, scorching the surrounding area, and can be moved by strong enough wind or force while it lasts."
35,The Candle,50 CP,The Binding of Isaac,"""Reusable flames."" - This magical item can be used to shoot a blob of blue fire, which disintegrates things on contact and diminishes quickly. It works better against living and organic matter. A wisp of blue fire is hard to move after it has been thrown."
36,Guppy's Collar,300 CP,The Binding of Isaac,"""Eternal life?"" - This perk grants a permanent 50% chance to respawn with a highly diminished state of health after death. You are not wounded after respawning, just fragile."
37,Pyromaniac,300 CP,The Binding of Isaac,"""It hurts so good +5 bombs."" - This perk grants immunity to explosion damage and fire damage. It also causes explosions to heal you. More exotic flame/explosion effects might still affect you negatively or interact weirdly with this power."
38,A Dollar,50 CP,The Binding of Isaac,"""$$$"" - This perk gives you 100 Pennies. In this case, Pennies are imaginary and immaterial unspecified currency, which you can materialize into actual money at any moment. It works only one way - Pennies into material currency, but be sure - now you have some sizable sum in your metaphorical (and soon literal) pocket!"
39,The Compass,100 CP,The Binding of Isaac,"""The end is near."" - This perk gives you a mental compass in the back of your mind, which points you toward places of interest nearby in your current location. It might take some time to figure out what the Compass is showing you, but behind all the symbols it uses, there is logic and system. It cannot reveal places, which are hidden too well and intentionally."
40,Contagion,200 CP,The Binding of Isaac,"""Outbreak!"" - The first enemy killed in a battle releases a gas cloud that poisons nearby enemies in small radius. Affected enemies will also release gas upon death, spreading the effect. This gas is not permanent, existing only for a short moment."
41,Playdough Cookie,150 CP,The Binding of Isaac,"""Tasty rainbow."" - This perk let's you turn your shots multicolored. Each color comes with a different status or tear effect applied to the shot. Colours and effects for each projectile is random, when active."
42,Steam Sale,300 CP,The Binding of Isaac,"""50% off"". - This is a metaperk. Your next perk roll will have its price automatically cut in half. For example, reducing a 100 CP perk to 50 CP. Perks that cost 50 CP or less become free. If your next roll results in a free perk, Steam Sale does not apply this way. Afterward, there is a 10% chance that all perks purchased following Steam Sale first trigger will also be 50% off by the same rules as the first one was."
43,Restock,500 CP,The Binding of Isaac,"""Never ending stores!"" - This is a metaperk that allows you to purchase subsequently rolled perks multiple times for one roll. Each additional copy costs 200 CP more than the last. Perks bought this way will stack or fuse to increase their quality or quantity. You may also choose to buy the perk repeatedly as separate ""copies"" to give away later. For example, if your next roll is a free perk, you could purchase it again for 200 CP, then again for 400 CP, and so on - either stacking the effects with what you already have or holding them to distribute later. Restock does not affect other metaperks, nor does it function if the rolled perk can already be purchased multiple times as part of its normal function."
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
