,CP Cost,Name,Jumpchain,Chapter,Description
23,100,Path of the Fisherman,Cradle V1,Martial Art,"Used primarily by the fisher clan, you pursue a path based upon force and “connection” or “stickiness” Madra. This path allows you to maintain contact with and grab objects from far away. Excellent utility for Soulsmiths, while martial techniques uses large hooks in sweeping arcs.

"
24,100,Path of the Mountain’s Heart,Cradle V1,Martial Art,"Earth. This earth focused path is based around the manipulation of earth and stone, and common uses are forged bricks of solid madra, and further masters can sculpt golems for defense. Practiced by the Kazan clan.

"
25,100,Path of the Fallen Leaf,Cradle V1,Martial Art,"Life. focused on using life madra to guide the growth of spirit-fruits and sacred herbs.

"
26,100,Path of the Holy Wind,Cradle V1,Martial Art,"A strange Path of wind, light, and dream techniques that create zones of unnatural weather.

Requires Core and Madra Channels to Purchase"
27,100,Path of the Last Oath,Cradle V1,Martial Art,"A soul smithing path that focuses on overwhelming opponents with an army of small basic constructs.

"
28,100,Path of Heaven’s Glory,Cradle V1,Martial Art,"Practiced by the Heaven’s glory school, this pure light madra path focuses on blasting opponents with beams of burning light.

"
29,100,Path of the Hidden Fist ,Cradle V1,Martial Art,"A Pure force path. Here are those who wander the world seeking neither kinship or clan, fame or fortune. They follow a path of pure Force and few are those that wish to confront them.

"
30,100,Breathing techniques,Cradle V1,Martial Art,You are granted complete knowledge of a breathing technique that will work with your chosen paths and won’t cripple your body when you advance past gold. For 100 cp This technique can adapt as reach the highest heights on cradle.
31,100,Mundane Martial Arts,Kill 6 Billions Demons,Martial Art,"While some people have some fancy schmancy advanced martial arts that can break reality, you can make do with what you have. Choose one martial art from our earth, and master it perfectly."
32,100,Silent as a Mouse,Kill 6 Billions Demons,Martial Art,"Stealth is important for assassins, for obvious reasons. Whether you were trained, self-taught, or just experienced, you are a master at stealth, and on top of that, you can fit into areas you shouldn’t be able to fit in, so long as it isn’t ridiculously different in size."
33,100,Outside the Ring,Tekken,Martial Art," There is more to life than only combat. Some might also be passionate
spelunkers, motorcyclists, scientists, astrologists or similar. For every time you purchase this Perk you
gain mastery in one such field."
34,100,Agile assassin,Tekken,Martial Art,"You’re as lithe as a snake person. You could bend your body in the weirdest of
ways easily. Additionally, your fast and hard to it, able to avoid most punches and kicks with ease.
You also gain knowledge in operating various ranged weapons."
35,100,Instant Ninja,Street Fighter,Martial Art,"Blending in is all well and good, but if there are security cameras around you'll
feel a bit out of luck. You can't do anything, act out or you'll expose yourself. Say you do wanna act
though, but aren't in disguise, what are you to do?
 Upon purchase, you become incredibly skilled at whipping up ""ninja"" themed disguises using only
what you have on hand or find in your surroundings. Disguises usually consist of masks, flowing
scarves and tactical wrappings that help pull the look off.
 These improvised disguises are surprisingly effective at keeping your identity secret, with a single
flaw that may expose you to the especially observant, your footwear. Something about your shoes
leaves them the only thing people will be able to recognize in and out of your disguises, if they ever
saw them to begin with."
36,100,Tranquillity ,Street Fighter,Martial Art,"Tumultuous times in one’s life breed a churning, burning hotpot of emotions in
one's soul. Such a state is the opposition of rational decision making, and the friend of past and
future regrets. This is a gift to erase it.
 Upon purchase, you are made privy to simple but very effective meditation techniques for
soothing the soul and quelling inner turmoil. Not only can these benefit you in times of rage, doubt
or sorrow, they can be taught to others to aid them as well.
 Being rather simple, the meditation techniques do have natural limits, such as having a rough time
with calming someone down after anything incredibly severe in nature, and taking time the worse
off someone is. Still, very helpful indeed in the long run though."
37,100,Survival Training,Toriko,Martial Art,"Cooking is nice and all but it won't help if you can't find anything to cook or live long enough to cook it. With this perk you gain necessary knowledge and skills that will be useful in the wild. Basic terrain orientation, how to start a campfire, building basic shelter and many more will be available to use.
"
38,100,Martial Arts Training,Toriko,Martial Art,"You have training in one of any hundreds of different and mundane martial arts. This covers training in weapons such as the Art of the Draw using a Katana and such martial arts as Kung-Fu. Can be bought many times."
39,100,Zen Food Meditation,Toriko,Martial Art,"An exercise in preparing a person's heart to give thanks towards food. First you calm the heart, then you focus your ears on the palpitations of your own life. The goal of this training is different from real world zen meditation, in which one aims to be ""unselfish"" or in a state of wanting ""nothing"". In ""Food Honor"" this falls under the category of worldly thoughts. Expressing ""gratitude"" is the foundation of Food Honor. Anything other than “gratitude” will diminish or upset the practitioners' Food Honor. Practitioners benefit from increased focus, better self-control and greater willpower.
"
40,100,Hunting Techniques,Toriko,Martial Art,"Anyone can kill a beast with a gun or hack apart a foe with their weapons. It takes some skill and finesse to make traps, track a target across difficult terrain, and keep yourself safe.
You learn the basics of tracking through several terrain types, several dozen common kinds of traps such as pit traps and snares, how to craft simple weapons from the natural materials around you, and how to properly gut and skin most types of living creatures.
"
41,100,Weapon Master,Saint Seiya Omega,Martial Art,"As Pallas despises the saints and their goddess Athena, she has decreed that all
her followers must master at least one weapon, providing them with a superior
edge over the saints, who are forbidden from wielding weapons in battle. You
choose one weapon of choice, and under Pallas' directive, you have devoted
yourself to mastering its use. Through rigorous training and unwavering
dedication, you have honed your skills with the weapon to perfection, becoming a
formidable combatant capable of wielding this weapon with unmatched precision
and deadly efficiency."
42,100,Basic Training Manual,Saint Seiya Omega,Martial Art,"Having a comprehensive manual on hand-to-hand combat styles could indeed be
the best way to gain knowledge on how to use your Cosmo more effectively with
your body. Understanding different combat techniques and martial arts principles
can greatly enhance your Cosmo control and combat prowess."
43,100,Keiraku Hikou,Fist Of The North Star,Martial Art,"You know the 708 vital points of the human body and can accurately strike
them with needles or your fingers to trigger a variety of effects ranging from healing the sick and
temporarily boosting strength to forcing a man's body to act against his will or cause instant death in
several ways."
44,100,Realistic Martial Arts,Tales Of Demons and Gods,Martial Art,"With this, you will be trained in a
realistic generic martial art. It won’t be among the greatest, but it is
the real deal, meaning it won’t be designed to take into account
any kind of spiritual energy. Maybe you can refine it to greater
heights by factoring in your metaphysical powers. Specially dumb
cultivators will think your movements are PROFOUND, as it
doesn’t really have flashy moves; this doesn’t prevent them from
learning your style on the fly."
45,100,Weapon Mastery,Reincarnator,Martial Art,"Before being dragged into the <Otherworld> you had a
degree of mastery with a single weapon, choose a single weapon, you will obtain a
medium level of mastery using it, enough to hunt down beasts by yourself, this will
also increases the chances of dropping artifacts of the same type as your weapon of
choice."
46,100,Battle Experience,Reincarnator,Martial Art,"This perk will give you a basic combat experience and
muscle memory of fighting, it won’t make you a master of any sort but gives you the
basic moves, stance and footwork needed to keep up with others in battle and match
an average human in a brawl, you will now act instead of being frozen in fear when
in a combat situation."
47,100,Breathing Style(100/200/400 CP),Demon Slayer,Martial Art,"The bread and butter of a demon slayer, the breathing techniques. You may choose any breathing style you like for any level or you can create your own on the same level as described, they don’t need to be for swords either, and note that all the higher levels can be reached by training. Post-jump you don’t need to breathe in order to use them if you do not require air to survive.

Kanoe: Lower on the totem pole for demon slayers, around the same level as Tanjiro, Zenitsu and Inosuke during the fight with the Spider family. Your physical abilities and skills are on par with average or slightly above demons, and your stamina is increased to be able to fight for multiple hours straight without being totally exhausted.

Tsuguko: Now your proficiency is much higher, not only are you naturally stronger in all respects, but you have mastered Total Concentration: Constant! The difference between using the breathing technique constantly, every second of every day, even when asleep, and not is like night and day. Your physical abilities are many times greater than they would be otherwise, granting stamina that could let you train for days on end and increased lung capacity. This also comes with greater refinement of your technique to the point where, as the name suggests, you could be the apprentice or successor of a Hashira, and maybe you are.

Hashira: The highest position of a demon slayer, usually gained by killing at least 50 demons or killing one of the 12 moons as a kinoe(the highest normal rank of demon slayers). You have reached the pinnacle of what a normal human is capable of with your breathing style, able to easily cut through scores of demons easily and take out the lower ranked moons without much effort. Your body is much stronger than the previous option, so much so you could be faster than the eye could see, and you may have even developed techniques of your own that no one else knows, but the most notable change is in your stamina, being able to go through extremely harsh training for weeks or even months straight.
"
48,100,First Kills,Bleach,Martial Art,"Even if it ain’t much, you’ve still been blooded. You’re no stranger to scraps and fights to the death, whatever you are. It might be the formal training in a Shinigami academy or the lessons of the wild in Hueco Mundo but you’ve got a good idea of how to tear other people apart. You’re a capable
combatant in a general area, such as Zanjutsu for Shinigami or the natural weapons of a Hollow, and
have enough combat experience to mostly keep your cool in a fight. You actually turned out to be a
decent hand at it all, maybe you’ll be able to learn to fight even faster going forward. "
49,100,Master Swordsman,Ragna Crimson,Martial Art,"What’s power without some skill? Unlike the more brutish dragon hunters, you are actually skilled in the use of a weapon of your choosing, having several years of experience behind you and a particular talent for it. Not that skill alone would let you defeat the powerhouses of this world, but with a strong weapon in your hands and provided they didn’t use any strong magics, you could give a good battle to even the middle dragons and even hold the weakest Seija for a time. You are also able to recognize the talent or experience in others by exchanging just a single blow with them."
50,100,Training,Chrome Shelled Regios,Martial Art,"You have received training in all weapons, martial arts, tracking, acrobatics, parkour, & Kei. This puts you on equal footing with an experienced user in their chosen fields, but you still need more time and experience to become a master."
51,100,Jade Tablets,Against The Gods,Martial Art,"These are jade tablets, holding the complete details of exactly one
Profound Art of the highest quality. Profound Arts are typically classified into Movement skills,
Concealment skills and Profound Skills, which are basically attacking techniques. There are also

special cultivation measures, illusion techniques, armed or unarmed techniques... and so many other
options.
For 100 CP these tablets can be any canonical Profound art not connected to the divine realm, but
some of the absolute best stuff possible within this constraint, easily a peer with the finest arts
practiced by the geniuses of the greatest sects and Sacred Grounds. If not a canonical art, you can
design one for yourself, within these constraints.
For 300 CP, the art can be any and all that exist in this setting, from the arts of the highest King
Realms to the Legendary Beast arts like the Word Ode of the Phoenix or the Golden Crow’s Record
of the Burning World. Again, you may design your own if you want, so long as the power levels
correspond.
Everyone gets one purchase of the 100 tier tablets for free. In addition, those who have bought a
bloodline receive the related profound art for free."
52,100,Combat Skills,Cradle,Martial Art,"Pick any one martial arts, be it completely unarmed or using a
weapon. You now have expertise with that style of fighting, and can carry it to new heights with
further training and trials against those who are equal to or stronger than you."
53,100,Wild Life,A Will Eternal,Martial Art,"Living in a cultivation world is extremely dangerous, and that’s before one starts to mess
around with other cultivators and sects. The very world they live in is one filled with an
uncountable number of natural hazards and dangerous beasts. You’re something of a nature
survival expert. You have the know-how and skill to survive out in the wilds of a natural
death world. This may not help out in an actual fight, but at least you’ll live to see that fight in
the first place."
54,100,Arms as Limbs,One finger Death Punch,Martial Art,"Death Punch lends its lethality to a mastery of melee weapons. Swords, clubs, spears and other
traditional martial arts weapons can be used easily with martial arts forms. These weapons may be
used longer, Death Punch being channelled more effectively than shattering them."
55,100,Space Bridging Blow,One finger Death Punch,Martial Art,"Death Punch is not restricted to the reach of your arms; a master learns to slay from afar. Ranged
weapons such as bows, spears and daggers all fall within the purview of your school. Even throwing
bombs around is a martial art. If it works, it works."
56,100,Stuntmaster,Solars Exalted,Martial Art,"The absolute best part of being a skilled warrior as a Solar Exalt? It’s how
your every movement follows with both grace and grandeur, how you become a stuntmaster
that makes combat look almost like dancing. Your attacks become eye-catching and graceful,
and while no more effective, your skills in battle will look visually impressive in addition to your
already-existing effectiveness. This can also be applied to any sort of skill, power or trade you
put effort and enthusiasm into, letting you perform all of your abilities while looking absolutely
fantastic doing so."
57,100,Warrior's Mettle,Infernals Exalted,Martial Art,"A warrior is nothing without his weapons, but a weapon is nothing without a warrior to wield
it. So such you have become skilled in your weaponry and fighting style of choice, which
comes with an understanding of how to best use these skills to your advantage. Perhaps you

were one of many spearmen marching with an army, perhaps you were a trained archer, a
martial artist, a gladiator, or even an assassin. But martial skill alone does not make a
warrior and you have also gained an understanding on how to taunt your enemies, how to
make them hate you, how to draw them out, and how to break them. You will also gain a
grandiose and terrifying villainous laugh, to properly express your satisfaction at your
victories."
58,100,Annihilation of Existence Compleat,Abyssals Exalted,Martial Art,"They Who Dwell Among the Wretched work alone as often as they work with their fellow
deathknights, hunting their mortal prey in Creation at the behest of their Deathlord and
Neverborn masters. Operating alone allows them use their full mobility and stealth without
the chance of clumsier peers blowing their cover. Even when they work with other
deathknights, the Children of Blood sometimes vanish without warning to take care of some
problem, such as assassinating a pursuing monk or eliminating all the sentries in a fortress.
Whether they work as spies, enforcers, saboteurs, or assassins in the Underworld and
abroad in Creation, one thing remains constant. They amongst the deathknights are the
ones who have perfected quick and covert action. And now you too will share in their swift
lethality and cat-like stealth, your passage noiseless and unnoticed."
59,100,Saint-Rank Fighter,Mushoku Tensei,Martial Art,"While you might not practice one of the three famed sword styles, you are undoubtedly a capable opponent in
combat, having learned and reached incredible amounts of proficiency and mastery in Saint Dragon Battle Aura
Fighting-Style of the Six-Faced World that you could be considered a Saint-Rank in this Combat-Style. While
this also gives you all the knowledge of the techniques of the Saint Dragon Battle Aura Fighting-Style, you only
master these techniques at Saint-Rank. This elevates your Mana Reserves to the point that you can cast half a
dozen Saint-Rank Spells before being exhausted along with elevating your mastery and control of your Battle

Aura that it can amplify your physical capabilities to its limits allowing you to become stronger than Advance-
Rank Warrior but weaker than Saint-Rank Warrior in pure stats alone. You also gained an incredible innate

talent at learning and mastering any Martial Arts-Styles and Powers though this is more prominent in Unarmed
Combat-Styles and Magic-Spells which would allow you to reach Saint-Rank starting scratch within three years
amount time though it would be faster if you have a master to learn from or if you already have a foundation for
it."
60,100,Saint-Ranked Warrior,Mushoku Tensei,Martial Art,"The training that you underwent since you were a child has borne fruits, and you manage to learned and reached
incredible amount of proficiency and mastery in North-God, Sword-God, and Water-God Sword-Styles of the
Six-Faced World such that you could be considered a Saint-Rank in this Three Sword-Styles. While this also

gives you all the knowledge of the secret techniques of the Three Sword-Styles, you only master them at Saint-
Rank of the said secret techniques. This elevates your Battle Aura that it can amplify your physical capabilities

to extremity allowing you to rival any Saint-Rank Warrior in pure stats alone. You also gained an incredible
innate talent at learning and mastering any Martial Arts-Styles though this is more prominent in Armed Martial
Arts-Styles which would allow you to reach Saint-Rank starting scratch within a year’s time though it would be
faster if you have a master to learn from or if you already have a foundation for it."
61,150,Path of the Steller Spear,Cradle V1,Martial Art,"Light and Sword Madra. A spear focused path, that primarily blasts cutting blasts of light, speeding up the body, and enforcing the spears used to make devastating strikes. For another 50, you have the same madra mutation that Jai Long had, and your madra is some what alive, allow your techniques to track and home in on your enemies. You don’t have the same deformities of him, unless you take the drawback “Case of the Fuglies”

"
62,200,Martial Artist,UQ Holder,Martial Art,"The boundless source of life within you has been unlocked, granting you the power of Ki, and you’ve spent many years training to use it to the fullest. You’re quite the good martial artist but you excel in the use of your inner life energy, enabling you to accomplish a wide variety of feats. Blasts of energy, enhancing your own body, energy projections, self-healing, flight, and more, with some more esoteric things coming in time. You’re good enough to knock down a small apartment building or two and notably skilled overall with Ki, but you have a long way to go yet. The way will be a bit easier for you than most, given your natural talent for Ki training, however."
63,200,Combat Stylist,UQ Holder,Martial Art,"Only when one combines supernatural power with martial techniques can one achieve true martial excellence. You were taught this, and you took it to heart. You’ve been trained in a supernatural fighting style, using either magic or Ki, allowing your combat abilities to surpass a wizard or Ki users when using your style, though you are severely lacking compared to them in using the energies in other senses. What your style is can be chosen fairly freely. Perhaps a style like the Shinmeiryuu, the magical katana-wielding warriors of Japan. Perhaps a style focusing on using magic in concert with personal firearms instead. Your style must be fairly specific, such as with just a single kind of weapon or type of fighting, but you’ll quickly grow better at using it."
64,200,Ninja Training,UQ Holder,Martial Art,"The secretive arts of the shinobi community have been passed down to you, though you are still just a beginner in the use of them. You’re incredibly stealthy and can easily hide your presence until only those far more powerful and skilled than you can hope to detect you when you hide, as well as having training in all manner of ninja tools and basic martial arts experience too. You were taught the basics of Ninja Ki techniques, such as creating illusions to hide behind, short-ranged teleports, or even creating a small number of clones. You’ll be able to progress further as long as you keep putting in the effort, though you’ll do so a fair bit faster than most young ninja due to your natural talent for the shinobi arts."
65,200,Path of Rolling Earth,Cradle V1,Martial Art,"This path of force and earth launches stone missiles and meteors at opponents from afar, while also becoming rampaging boulders to charge their foes.

"
66,200,Path of the Ringing Blade,Cradle V1,Martial Art,"A sword path that excels at single strike combat. Every enforcer technique and striker technique causes a twinkling bell sound after the fact.

"
67,200,Path of the Twisting River,Cradle V1,Martial Art,"A path that combines forger, striker and ruler techniques to accelerate madra so fast it can be used to slice enemies.

"
68,200,Path of the Golden Sword,Cradle V1,Martial Art,"A Path of sword madra that uses Enforcer techniques on their weapons. The name of their Path comes from the goldsteel swords they use more than from their techniques

"
69,200,Path of the Moonlit Flute,Cradle V1,Martial Art,"This is a musical path that is so capable of controlling people through song that it’s said that the Nightsong, a monarch of this path, could play a simple tune for two warring Sages, and they stopped fighting for the day, and in a week were married.

"
70,200,Path of the Crawling Shades,Cradle V1,Martial Art,"Turns your shadow into a symbiotic remnant of darkness, that devours enemy techniques.

"
71,200,Path of the Grasping Sky,Cradle V1,Martial Art,"Wind. The personal style of the Naru clan, the current emperors of the black flame empire, and this path seems focused on using ruler techniques to command the battle field. Gold sign are emerald wings.

Requires Core and Madra Channels to Purchase"
72,200,The Path of the Unforeseen Card ,Cradle V1,Martial Art,"This path was created when a copper sacred artist had no desire to take in vital aura and thus etched scripts on tree bark to accomplish tasks. Since that day, the path has become somewhat versatile, with cards able to do a variety of things such as summoning sacred beasts, group healing effects, aoe damage effects, and even some cards that influence a person’s mind.

"
73,200,49 Empty Palms,Kill 6 Billions Demons,Martial Art,"Using your Atum, the fire that burns in every soul, you can turn your strikes into projectiles, allowing you to “hit” people from a distance. You can also use this power to do things like force a lever open, and other actions of that nature."
74,200,Vertigo Bullet,Kill 6 Billions Demons,Martial Art,"You are good at using a ranged weapon, such as a gun or a bow, in close quarters. You can avoid attacks, reload, and aim all at the same time."
75,200,Pilgrim Fist,Kill 6 Billions Demons,Martial Art,"Not a martial art in the strictest sense, you become much better at exploring places, and it is hard to get lost barring sabotage. You also seem to have an extensive amount of contacts for traveling; so while you might not get the strongest weapons available, you will still get what you need to survive when exploring."
76,200,Medicine Palm,Kill 6 Billions Demons,Martial Art,"You are able to balance the Atum in others by touching them, allowing you to heal their physical, mental, spiritual, and emotional wounds. You are also good at finding out how to help people heal, be it stopping a curse from killing them, to simply healing a broken bone."
77,200,Flying Snow,Kill 6 Billions Demons,Martial Art,"You become light and agile, and you are able to fly for short periods of time, as it is tiring.
"
78,200,Demon Flips the Cart,Kill 6 Billions Demons,Martial Art,"By consuming twice the amount of sustenance that a member of your race usually does, you can hit people hard enough to launch them, sometimes even beyond sight. This actually doesn’t hurt them more than a regular attack would, but it's good for keeping people away."
79,200,Shivering Arrow,Kill 6 Billions Demons,Martial Art,"You may purify some kind of physical ranged projectile, like a bullet or an arrow, and by using it in battle, the projectile never misses its target, even turning 90-degree angles and dodging obstacles to hit their target. Damaging them, however, isn’t a guarantee."
80,200, Pattram Sword Hand,Kill 6 Billions Demons,Martial Art,"Using Atum, you can allow your unarmed attacks to act as if they were bladed, allowing you to cut into people. The sharpness of this blade depends on how strong you are, but even a regular human can treat their unarmed strikes as a steel sword. As a side effect, it is harder for you to break your own limbs in combat when hitting others."
81,200,Whirlwind Iron Cutting Fist,One Punch Man,Martial Art,"This martial art is as swift and destructive as a storm, combining raw speed with precision strikes. Your fists move like a whirlwind, cutting through the air with such force that they create shockwaves. You can slice through metal, stone, or even armor with your bare hands, delivering strikes so fast that they are nearly invisible to the naked eye. This speed is not just for offense—you can evade incoming attacks effortlessly, moving with the speed of the wind itself."
82,200,Exploding Heart Release Fist,One Punch Man,Martial Art,"A deadly martial art designed to finish battles in a single blow. You focus your entire energy into a single strike aimed at your opponent’s vital points, delivering enough force to incapacitate or even kill in an instant. The strike is so powerful that it sends a shockwave through the opponent’s body, disrupting their internal organs and energy flow. This technique is extremely precise—only a true master can control the immense power behind this devastating blow, ensuring their opponent falls without any wasted effort."
83,200,Water Stream Rock Smashing Fist,One Punch Man,Martial Art,"You have mastered the balance between fluidity and raw power. With this style, you flow like water around your enemies' attacks, effortlessly avoiding harm, only to smash through their defenses with the force of a boulder. Every strike you deliver is calculated, combining speed, precision, and sheer force to overwhelm even the strongest opponents. Your body reacts instinctively to threats, making you a nearly untouchable force in battle. No matter how fast or strong your opponent may be, you will always find a way to crush them."
84,200,Void Fist,One Punch Man,Martial Art,"The Void Fist is a devastating martial art focused on maximizing the destructive power of your strikes while maintaining an overwhelming barrage of continuous attacks. Through a series of intricate rotating and twisting motions, you amplify the impact of each blow without compromising the speed or number of your strikes. Your ability to seamlessly chain attacks allows you to unleash an unrelenting onslaught of devastating force, each hit building upon the last, turning your entire body into a weapon of mass destruction."
85,200,Master Swordsman,One Punch Man,Martial Art,"You possess the incredible skill of a seasoned swordsman. Your reflexes, precision, and technique are at a level that only the most dedicated of swordfighters can reach. Whether you're armed with a katana or any other blade, you can easily slice through enemies with devastating accuracy. With every swing of your sword, you can precisely cut through opponents or deflect incoming attacks, leaving your enemies in awe of your skill. This is the foundation of Atomic Samurai’s incredible swordsmanship."
86,200,Ki Kneading,History's Strongest Disciple Kenichi,Martial Art,"You have discovered the art of kneading your Ki within your body.
Having this ability means that you are capable of manipulating your life energy within your
body. You are more in control of all the muscles in your body, even the involuntary ones, able to
slow down or stop your heart by force of will alone. Alternatively you could shift your internal
organs out of the way of lethal strikes. The magician Harry Houdini was notable in using this
technique to prevent internal bleeding. Furthermore, the effects of your particular brand of ki
may be greatly enhanced, increasing the benefits of Sei or Dou Ki as needed."
87,200,"One With the Earth",Baki The Grappler,Martial Art,"Your greatest weapon is always the environment itself. You can infiltrate even maximum security enclosures with minimal effort, camouflage yourself into any environment, jump
between trees or buildings like some kind of monkey, turn water into a weapon, lay
motionless for hours and burrow through soil or flesh with ungodly speed. "
88,200,"Sword God Style

",Mushoku Tensei,Martial Art,"The first of the three major sword styles and the one considered to be the strongest. Sword God Style focuses heavily on offensive techniques and making the first strike and will usually try to overwhelm enemies with speed and might. This style is dangerous for the practitioner, as it does not focus on defensive skills or self-preservation. It is especially good when used to overwhelm the techniques of North God style through force but can be weak to counters from Water God style."
