,,CP Cost,Name,Jumpdoc,Chapter,Description
,,Free,Paradigm,Mage: The Ascension,Modus,"The Awakened work their wills based on how they believe the world works. This presents a problem for you, as you know the world doesn’t really work how your mentors have told you even before getting into the fact that you know there are many worlds all with their own contradictory laws. With this, you may continue to work magick according to a certain Paradigm even without believing in it.

The Drop In or Nephandus Background or the Craft Tradition allow you to pick any of the following, disregarding notes they are exclusive to other groups. Marauders and Nephandi are commonly corrupted members of other factions to begin with, while Orphans and members of Crafts obtain the freedom to believe whatever they want in exchange for standing alone.

• Ahl-i-Batani- The Batani are organized around a shared goal rather than a comprehensive view of how the world works. They have a series of exercises and training regimens to improve the body and mind, plus a great deal of eclectic techniques the oldest Batani gathered and have been passed down, including Egyptian alchemy, kabbalah, Solomonic Djinni binding, clockwork mechanisms, control of light through arrays of lenses, and even psychology.
• Akashic Brotherhood- The constituents of the universe randomly assemble themselves into minds, who are born falsely believing in a collective illusion. This illusion operates according to the dictates of karma, the flow of chi, and the properties of the five elements and can be manipulated as such, but asceticism and meditation can allow the practitioner to escape from the illusion entirely to dissolve barriers between the All and the self.
• Bata’a- A number of spirits, Les Invisibles, exist and desire to experience the material world. There may be an even more powerful set of spirits below the ocean who they answer to and/or God, Jesus, and Mary might be their leaders. Those who allow themselves to be possessed, the chole, will receive blessings in exchange. The practitioner places a stake in the ground and calls on Legba to open a gate to the spirit world to invite possession. The greatest blessing possible is to have the two parts of your soul, the gros-bon-ange and ti-bon-ange, merged, becoming Awakened. Such people only need to enter into a short trance after opening the gate in order to work magick, rather than requiring a period of full possession first.
• Celestial Chorus- An omnipotent God created the universe and will perform miracles to those who pray to it. “God did it” isn’t much of a paradigm, but you can’t fault it for simplicity of use.
• Children of Knowledge- There is a single pool of all knowledge and a single substance, a prima materia, which forms all things by forming into the four elements in different arrangements. Alchemical transmutations using chemical tools and astrology, as the position of the stars affects the behavior of prima materia, can change anything into anything else by properly rearranging the prima materia. More importantly, some arrangements of prima materia inherently touch on specific parts of the source of all knowledge.
• Cult of Ecstasy- Lakashim (or Dhambia/the Serpent Road/etc) is the divine heartbeat of the universe. One can become attuned to it in a state called ananda through the use of kamamarga, practices which expand consciousness. Kamamarga include sex, drugs, dance, music, meditation, flagellation, and asceticism. Once in a state of ananada, the practitioner can alter their own perceptions to alter the world.
• Custom Paradigm- You have your own idiosyncratic ideas about how the world works. Maybe it’s the traditional magic of some obscure culture or a favorite pseudoscientific theory. Maybe you think that reality is a video game or that you’re a super hero in a world that works off of comic book science. Your paradigm may give you certain advantages (such as the Progenitors’ ability to clone humans without the Spirit sphere) but it cannot be outright better other paradigms, such as thinking you’re an all powerful God who can do anything you like with no effort.
• Dreamspeakers- The world is ruled by invisible spirits. By obtaining an altered state of consciousness, one can communicate with them to make bargains or offerings. Even if you can’t find the spirit governing distance or time in the Umbra, surely it must exist, so you can ask it for favors to work your magick anyway. Also storytelling can be used to bend people’s minds.
• Euthanatos- Subtle and invisible laws of cause and effect underlie material reality. By ritually taking on the karma/geasa/fate of a god/ancestor spirit/Jungian archetype, the practitioner can act like a god until they become that god, gaining access to the god’s siddhi (magickal powers) in pursuit of doing the god’s duty. Also living beings contain a life force called ojas.
• Go Kamisora Gama- Secret martial arts techniques passed down from the clans’ original families are mixed with hand seals innovated from Buddhist mudras. This Craft is both extremely small and new, and has no philosophy beyond noticing that a few of its members are able to make these techniques work.
• Hem Ka Sobk- Hekau is the power of the gods, and Sobk has blessed his priests with his sekhem so that they could work it as well. Unfortunately, that sekhem escaped with the death and rebirth of each Sobk’s priests. By first rubbing spit over their closed eyelids to induce magickal calm and a connection to Sobk, the priest can perform hekau by using water or scars as foci. This paradigm is extremely limited. You cannot use magick without a focus until you have reached the pinnacle of Arete, and cannot use the Spheres of Entropy, Forces, Matter, or Prime at all.
• Kopa Loei- Parts of the world naturally flow in channels, and by using natural objects and prayers to the Polynesian gods one can redirect those channels in a safe way. It is also possible to become supremely skilled in mundane arts such as wayfinding and building.
• Lions of Zion- Reality is comprised of the light of G-d, flowing through the ten sefirot. By studying the Torah and applying gematric numerology to associate Hebrew letters with numbers, one may learn the hidden meanings behind scriptures and the secret names of angels, themselves aspects of G-d. These allow manipulation of each sefirot’s chassidut or “drive”, causing the sephirot to manipulate reality. Only men who live in accordance with Jewish tradition can invoke God’s light in this way.
• Miao Guan- Chi is a form of energy that naturally flows through the land and the human body. Breathing techniques, internal alchemy, herbal potions, and certain postures can control the chi within the practitioner's body. Chi can be focused inward to improve or protect the body or outward to control the external world. Even nations and computers have chi networks that can be understood and controlled by skillfully projecting one’s own chi into them.
• Ngoma- Magic is a gift to humanity from the gods. Through the use of astrology and geomancy, the correct time and place can be identified during which an elaborate ritual can harness this gift.
• Order of Hermes- Reality is defined by will, normally moderated by understanding through the medium of language. By embodying a specific word, the practitioner hang archetypal patterns in the inner/upper reality of the self, thereby manifesting changes in the outer/lower reality of the world. This is magia, the third degree art of the realm of Truth. Below it are theurgia, the working of magick through acting like a specific god to harmonize oneself with the inner godform, and goetia, using magical charms that rely on specific materials, the phases of the moon, ritually prepared circles, etc. These are associated respectively with the lesser realms of Reason and Faith/Emotion, but these lesser arts are still used in conjunction with magia as a means of focusing the mage’s will.
• Saensaeng- Chi is a form of energy that naturally flows through the land and the human body. Traditional Asian arts such as sword styles, poetry, tea ceremonies, flower arrangement, origami, music, or silk weaving can harness chi to subtlety supernatural effect so long as they are carried out with unwavering adherence to tradition.
• Sisters of Hippolyta- Women are living metaphors for the Earth and living avatars of the Goddess. They can invoke Her power through art, meditation, herbs, massage, computers, or medical equipment. Only women may use magick under this Paradigm.
• Sons of Ether- The continuous universe formed of True Ether must contain everything that could exist, but any person can only be affected by those things they accept as real. However, accepting something as true always brings with it hidden corollaries, much like letting the Trojan Horse into the walls of Troy brought hidden soldiers bundled inside. Somehow, despite constant exposure to magic, this philosophy has resolved into a shared scientific sounding paradigm based around pseudoscience and steampunk that the Sons of Ether can all communicate about with each other about. This technomagickal Paradigm is marred by its reliance on tools. Unlike a normal mage, you cannot start abandoning foci until you have enough Arete to become an Archmage, at which point you speed up in your ability to use magick purely through will until you catch up with normal Awakened at the very height of Arete.
• Sons of Tengri- Spirits are everywhere, the greatest of whom are Tengri, god of the sky, and Itugen, goddess of the Earth. Spirits may be invoked through rituals on the banks of rivers, high promontories, or inside of yurts. Fire, drumming, chanting, bones, and herbs are also used to call the spirits.
• Taftani- The basis of reality is the conflict between Asha (truth/order) and Druj (falsehood/disorder). The overlap and battle between these two forces generates the world, especially living beings and Qismat (fate). The three atars (fires) reveal truth: the first atar of clear though leading to the second atar of direct action which causes the third atar, magick. By engaging in poetry or simple crafting, one thus allows Asha to be revealed through supernatural effects. The Solomonic Code is also important for understanding and controlling the actions of the Djinn who inhabit Menog (the spirit world).
• Taiping Tianguo- Chi is a form of energy that naturally flows through the land and the human body. Through chaotic, immoral, disorderly, or blasphemous acts once can taint chi so that destructive chi can be studied and ultimately controlled chaos and vice can be controlled.
• Technocracy- Reality is made up of microscopic wave-particles that interact with each other according to set laws. Understanding of the behavior of the wave-particles allows a scientist to control reality via exploiting cause and effect, as all systems in the world, no matter how complex, ultimately spring from them. Not all of these particles or laws are known to the wider world (such as the forces behind psychic powers) but the Technocracy contains scientists who are far past the bleeding edge in all fields, from physics and biology to psychology and economics to even Dimensional Science that allows access to parallel worlds. Due to your disbelief in your own ability to define reality through will, you may not use magick without foci under this Paradigm until you reach maximum Arete, at which point you become able to abandon all foci all at once.
• Verbena- Nature is comprised of cycles between antipodes, represented by the Goddess and the God. These cycles include birth and death, day and night, and the seasons of the year. By invoking the power of these cycles as manifested in parts of nature, the practitioner can work magick.
• Virtual Adepts- Normal spacetime is a hypersphere centered around the Correspondence Point where the big bang happened. Inside the hypersphere is the virtual world, also called the Digital Web, a universe of pure information. By changing the information inside it, one can affect the normal world. Computers, as the fastest way to process information, are very useful for this, but anything that can encode information, such as music or pure math equations, can also be used. This technomagickal Paradigm is marred by its reliance on tools. Unlike a normal mage, you cannot start abandoning foci until you have enough Arete to become an Archmage, at which point you speed up in your ability to use magick purely through will until you catch up with normal Awakened at the very height of Arete.
• Wu-Keng- The gods are fickle, and must be seduced into aiding humanity. Through poetry and song, they can be courted, while written charms, oracle bones, and trances can invoke their power. Most Wu Kung are ritualistically married to a (secretly demonic) Juk Ak from Feng-tu, who owns their soul and who is the only spirit they are allowed to court.
• Wu Lung- T’ai Chi was perfect unity, but it divided into Yin and Yang, the Three Ministers, the five elements, and the eight trigrams. Li, the righteousness of T’ai Chi, manifests itself in the crude matter of Chi, which can be tamed through alchemy, feng shui, exercise, paper charms, and the I Ching. The soul is divided into the Hun, which remembers divine order, and the P’o, which supports disunity. An enlightened person’s Hun becomes a Shen after death and is given a place in the Celestial Bureaucracy. A practitioner's ancestral patron, called a shih, allows them to petition the gods through propitiation to gain the favor of heaven.
• Zaibatsu- Chi is a form of energy that naturally flows through the land and the human body. It can be used instead of electricity to power a variety of high tech gadgets.
• Zi Guang- Chi is a form of energy that naturally flows through the land and the human body. Proper changes to the Earth or the human body can manage these flows. Likewise, the chi accumulated in certain herbs or animal parts has specific supernatural properties."
,,Free,The Light,Destiny: The Guardians,Modus,"The Light is a paracausal force connected to the Traveler, and associated with cooperation, harmony, and the potential of the physical universe. The Light stands apart from the established rules of any universe, and functions on its own internal logic. By it’s nature, The Light breaks the established laws of the universe, granting a degree of supremacy over all other forces. Having been infused with this power by the Traveler, your actions are inherently impossible to predict through mystical or technological means.

As a recipient of the Traveler’s Light, you are granted a specific kind of immortality. You will not age beyond your physical prime, and your death will not cause a chain failure unless you are still dead at the end of the jump, which facilitates the next part. An infusion of Light from your Ghost or another source can resurrect you from death—exsanguination, starvation, atomization, decapitation, conceptual poison. This can range from restoring your body and soul to a functional state, or being wholly recreated along with any gear you had on you at the time. In the event of total recreation, whatever remains of your old body and items will fade away into nothing as your new body and items are assembled—preventing duplication.

As a newly risen Lightbearer, you can harness the Light in three elemental forms. Arc—related to electricity, electromagnetism, motion, conduction, and change. Solar—related to combustion, heat, nuclear fusion, healing, destruction, and creation. Void—related to gravity, distortion of spacetime, dark energy/matter, death, negation, entropy, and the unknown. The exact way in which your Light manifests depends on your chosen class. Most abilities fall into one or more subclasses: logically consistent and easily taught sets of techniques based on specific mindsets and interpretations of the Light. It is entirely possible for a Lightbearer to mix and match the abilities of different classes and subclasses—it's typically much harder than sticking to the established paradigm. However, personal aptitude and equipment can help with attuning to different uses of the Light. Unlike in game, where all abilities have set cooldowns and slots, you can freely channel the Light into multiple half-charged supers, or sacrifice the energy reserved for your super to gain more uses of your more minor abilities. Lastly, the ‘intensity’ of your light will increase over time—growing ever stronger to face the enemies of humanity."
,,Free,Godly Power,"Hunt, Kill, Repeat",Modus,"You are a god. And to be a god, you must be worthy of worship. That means power. Your divine constitution has granted you ageless immortality and superhuman physical attributes. In addition to this, you have a unique power that represents what you’re the god of. Hermes had speed impressive even by godly standards, Aphrodite could create Illusions (I think?), and Apollo could summon golden arrows and bolts of fire. This could be anything, but note that it’s on the level of Zeus’ children, not the patriarch himself."
,,Free,Mirajewel Slots,World of Final Fantasy: Mirage Keeper,Modus,You start with two of these slots but can unlock up to six total by simply reaching level 80 in this world's system. You may unlock two additional slots by finding two unique items somewhere in the World of Grimoire. Said items will transfer into future jumps until you find them.
,,Free,Stacking,World of Final Fantasy: Mirage Keeper,Modus,You carry stacking from this world to all future ones. Have fun.
,,Free,Quincy,Bleach,Modus,"A sub-species of mankind, one split between the mortal and spiritual realms. Quincy are humans who, long ago, gained the ability to naturally manipulate spiritual particles known as Reishi. They could gather them from the air and shape them to their will, to create or destroy. They took on roles as ancient protectors of humanity, particularly so when the Shinigami were too late or too few to protect mankind everywhere. But the Quincy powers were terrible indeed, as the spiritual weapons they crafted went far beyond a Zanpakuto. The Heilig Bogen, spirit weapons, destroyed souls permanently. Not something the cycle of reincarnation could stand. 

Tensions rose between them and the Shinigami, guardians of the cycle, and it came to a head when the Quincy King emerged. Yhwach, mightiest of the Quincy and claiming to be their father, united them into an empire and led them against Soul Society in a terrible war a thousand years ago. He was defeated and the Quincy race left smashed into fragments. In time, they would rebuild and yet again face misfortune, almost exterminated by the Shinigami to protect the cycle. 

You are one of the few Quincy remaining, as either one of the last mortal families or one of the hidden servants of the slowly recovering Quincy Empire called the Wandenreich. You’ve been trained to gather and manipulate Reishi, enough to form a Heilig Bogen from raw blue energy. You’ve had some lessons with the Quincy spells and tools, enough to make basic use of low level equipment, and have a good idea of where to focus to improve. Necessary, given how hard it is to find a teacher. You’re little better than an unseated Shinigami for now. "
,,Free,Job Card Creation,Mobius Final Fantasy,Modus,"For those of you who would rather create your own Jobs catered to your own prefered methods of combat, this right here is for you. There are several things you must decide upon when designing your new Job, and your Job cannot have conflicting properties(I.e. a Mage Job can't use Warrior Weapons and vice versa), but other than that go wild. You may create up to 5 Jobs and 10 Job Evolutions(2 Per Job) for free.

Note: Job Build in Associated Jump Document. "
,,Free,Basic Monk Job Cards,Mobius Final Fantasy,Modus,"The Jobs that most players earn during the early stages of Mobius Final Fantasy, useful in a pinch but not exactly designed for Endgame Content

Comes with the Monk, Pugilist, and Grappler Job Cards"
,,Free,Sorothustran Sorcery,A Mage Of Sorothustra,Modus,"Sorothustran magi are powerful magic users capable of using a myriad of magical disciplines with fantastical finesse and frightening skill. The most powerful and famous, as well as infamous, Sorothustran sorcerers categorized their sorcery into four broad categories: Iron Law, Nornic Fractal, Wild Dream, and Chaos Calculus. Each of these broad schools of arcane skill and thought has unique quirks and strengths, and you can pick one to specialize in. You can use magic related to that school with greater precision, faster, easier, and are better at piercing defenses and ignoring antimagic when you harness magic related to this school of thaumaturgical thought.

Iron Law is the school of magic that focuses on construction, maintenance, defense, and paradoxically destruction as well. This school is incredibly effective at stopping magic, chaos, and most forms of reality warping. In simple terms, this school is good at both offense and defense and is an excellent, and at least initially, simple school. True mastery of this school allows you to be the one who decides what withstands the test of time, and what will become forgotten, buried under the sands of time.

Nornic Fractal is the school of Sorothustran magic that deals with life, intelligence, and destiny. Even novices of this school gain enhanced affinity with magic such as awakenings, biomancy, healing, and minor divinations. Masters of this arcane discipline have powerful life-manipulation abilities and can also prodigiously predict the future, at least barring things with fate manipulation or immunity to scrying and future-sight intervening to change the future.

Wild Dream is about massive-scale and incredibly potent magic. Dreamers who have walked down the wild road are tremendously powerful mages whose magic is boosted to star-scale but they lack the same level of focus and precision as the other Sorothustrans do (at least by default). This magic is centered around change and is powered by desire, growing stronger based on how much you want something and the more determined you are to get it. Masters of this school of magic are arcane titans who specialize in enacting grandiose changes to reality.

Chaos Calculus is the school of magic that is focused on precision, plots, methodical breakthroughs, and planning. This school of magic and ritual craft allows you to perform faster, cheaper, more effective rituals that tend to be more effective than the rituals done by other Sorothustrans, which in and of itself allows you to circumvent the most common limitation for Sorothustran magic: magic above star-scale requiring rituals."
,,Free,Super Power,Dragon Ball Super,Modus,"There’s no weaklings around here anymore. If you’re going to get into a bust up here, you’ll have to be ready, as only the greatest warriors from every universe will matter. Due to the sheer power of even the ordinary combatants in this story, you will be afforded a great deal of skill and strength for free. You have enough power to destroy an entire universe with your stronger attacks and skill to put you on the level of some of the best fighters in the universe you come from. You’d be able to give Goku in his Super Saiyan God form an excellent battle but would be more likely to lose than win, for a example of your power and skill. This may change depending on what else you purchase, of course. "
,,Free,Sublimation ,Final Fantasy Type-0,Modus,"Between the elements of fire, wind, water, ice, lightning and earth, the L’Cie picks one as their key focus. They now absorb this element, and can freely draw upon it regardless of whether an actual source of the element is present or not."
,,Free,Paths Of The Aeons,Honkai: Star Rail,Modus,"You may now choose a path to follow. You will gain skills and abilities depending on which path you decide on, but that isn’t to say that you are locked into whatever role your path normally plays; it simply means that only that described by your path will be boosted by this perk.
● Destruction: The raw power of your elemental attacks are increased. While before your amplification would feel like a simple accompaniment to your strikes, now it is a deadly force all on its own. If you were to use your amplification upon throwing a soda can at someone wearing a full suit of armor, you could easily incapacitate or kill them from the power of your element alone.
● The Hunt: Your speed increases, and you gain the ability to use your elemental type to enhance your movement. For example, someone attuned to the lightning element would be able to move around in short bursts with an aura of electricity, seeming almost to teleport across short distances and shocking anything they move close to.
● Erudition: The area of your elemental attacks increases. While before your amplified attacks would have difficulty hitting more than one target, you could now hit upwards of ten enemies with one strike of your weapon as your element bursts forth from your attack.
● Harmony: You can now use your element to bolster the abilities of your allies or yourself. You can now bless an ally with your element, amplifying their next attack with your element and providing them with a moderate boost to both strength and speed.
● Nihility: You now excel at using your powers to cripple the abilities of your enemies. When you hit an enemy with an elemental attack, you may inflict them with a variety of effects, such as softening their defenses, slowing their movement, or causing extra damage by leaving them with heavy bleeding or severe burns.
● Preservation: You can now use your element to boost your own durability. When you do so, any attacks that hit you in the handful of minutes before it wears off will only deal a fraction of the damage that they would have otherwise.
● Abundance: You can now use your element to heal others or yourself. While this healing is fast and easy, it will not heal fatal or life-threatening wounds, and should instead be thought of as an ability to allow allies to keep fighting at their peak strength, although it could still slow down the speed at which they succumb to a serious wound long enough for them to receive sufficient medical treatment."
,,Free,Job Tree,Stranger Of Paradise - Final Fantasy Origins,Modus,"You gain access to the job tree, you can invest points you gain by leveling them up into learning new job abilities, passive increases to damage, critical rates etc... You can level up by fighting and defeating enemies. These can also increase your job affinity which can grant you additional effects at certain milestones such as increased stats,percentage increase to ability damage, a higher chance of finding treasures etc....

After reaching the required level, you can gain a stronger upgraded job such as going from the Lancer to the Dragoon job for example without losing access to the previous job.

You can invest Master points gained by leveling up to increase by a set percentage your abilities such as their damage or duration as well as damage done in certain conditions such as against enemies afflicted by status effects while you have the job equipped.

Also contains a job line that is perfectly suited to your abilities and fighting style. Also to note is that a job doesn’t have to be equipped to level up from the experience you gain as they all gain the same amount of experience.

In future jumps, this upgrades to include other jobs and paths to power from the setting as well as those you become aware of.

Barring other perks, you can only equip up to two jobs at a time though you can change which job you are using/have equipped at any time.

Finally, you are capable of using the abilities including buffs of jobs you have unlocked even when they aren’t equipped."
,,Free,Job,Stranger Of Paradise - Final Fantasy Origins,Modus,"In this word the warriors of light and strangers have access to jobs which are various fantasy classes that grant them incredible ability.

You have access to your own abilities under a job called Jumper but on top of this you have access to the basic jobs, they are ones like Swordsman, Lancer, Mage, Pugilist, Ronin etc... with the abilities you had expect of them."
,,Free,Weapon Abilities ,Stranger Of Paradise - Final Fantasy Origins,Modus,"You gain the ability to perform techniques depending on the type of weapon you have equipped such as a sword,a staff,a spear etc... though some of them may require high affinity with the weapon in question or a specific weapon altogether.

Post-jump, this updates to allow you to master and create weapon abilities not seen in the game as well as for weapons that do not appear in the setting such as bows, crossbows, scythes, chakrams etc..."
,,Free,Exaltation!​(Dragon)​,Generic Exalted,Modus,"Choose a type of Exaltation and any caste that would belong to that type. You are now guaranteed, at some point after your first year here, to attract that Exaltation to yourself. You can choose Dragon-blooded (not Dynast, that's a background, not a type of Exaltation) for free. Sounds great right, much cheaper than the background options?

Think again. This means you have zero experience with your Exalted powers, not even starting on the level of a typical 'player generated' character. You'll have to learn everything from scratch unless you can somehow find a teacher or mentor to train you (better hope they don't use their more developed Exalted abilities to mind-fuck you). Keep in mind all those 'starting character' archetypes from the books had, on average, two or so years of experience with their abilities, something you won't have.

Additionally when you get your Exaltation it WILL be in a public place and people WILL notice it happening, there is no way to avoid this. If you pick a Celestial or Solaroid level Exaltation prepare to be hunted.

Cannot be Taken With Exaltation!​(Celestial), or Exaltation!​(Solaroid)

Note: Can Happen Sooner than One Year After Acquisition if you so Wish."
,,Free,Other gameplay features,Final Fantasy XVI,Modus,"If I have missed any other gameplay feature from the game you may find it here, these include an inventory, a window where you can read your mails as well as refresh your memory of past events etc...."
,,Free,Magical Talent        ,GrimGrimoire,Modus,"Not all are gifted with the ability to be a mage. To venture into this realm without the touch of magic would be a fruitless endeavor. The art of magic is otherworldly and requires the mastery of the supernatural.

Spirits must be called upon to wield its power, and the tools of choice are Symbols. But be it through the command of arcane tools, or by binding the spirits to serve under your will, magic will answer your call."
,,Free,Thu'um,The Elder Scrolls: Dovah,Modus,"The Storm Voice, a skill that made the ancient Nords a fearsome force on the battlefield, it was the Dovah who originally possessed the ability. Such was their inborn connection to this form of Tonal Magic that they could learn words instantly that would have taken the most gifted mortals years to master. You know a majority of the Shouts found within the time of Skyrim, and can even create new ones with time and experimentation."
,,Free,Battle Aura/Magic System,Mushoku Tensei ~ Jobless Reincarnation ~,Modus,"A warrior has an ability to coat their whole body or a specific part of their body in Mana or magical energy, forming a dense mantle of energy known as Battle Aura. This can be done when someone reaches a sufficient level of development in their body and skills while some unconsciously use it. In your case, you instinctively know how to use it and it passively coats your entire body and clothes from the get-go. This allows you to explosively boost strength, speed, durability, reaction times, spatial awareness and magic resistance along with the ability to strengthen your weapon and perform unbelievable techniques and even resisting harsh conditions like extreme heat and cold is also possible. By default you have the talent to reach Saint-Rank within three years on your own at bare minimum, but with a proper teacher and learning environment you may reach God-Rank in a decade along with having the instinctive ability to use and wield the Beginner-Rank techniques of the Three Sword-Styles.

A magician has the ability to manipulate mana or magical energy through incantations and magic circles. This allows magicians to cast magic from the three main types of magic which are the attack magic, healing magic and summoning magic. This ability ranges from basic elemental manipulations like fire, water, wind and earth to healing injuries, purging poisons and disease, strike against incorporeal monsters and demons, increasing one's defenses and creating barriers and calling forth powerful beings to carry out your bidding. The more you understand the world and by extension the universe like physics, time, space, etc, the more potent your magic will be and with that understanding you can create different types of magic that allow you to manipulate different aspects of reality, granted you need to research and develop the said types of magic first. By default you have the talent to reach Saint-Rank within three years on your own at bare minimum, but those with a proper teacher and learning environment may reach God-Rank in a decade along with having the instinctive ability to use and cast all of the Beginner-Rank spells the Three Main Categories of Magic.

You also gained the ability to grant the ability to use the Battle Aura/Magic System of this world to someone that doesn't have it. The people that you grant the Battle Aura/Magic System would gain a talent that allows them to reach Saint-Rank within three years on their own at bare minimum, but those with a proper teacher and learning environment may reach God-Rank in a decade granted they only focus on either becoming a Warrior or Magician and not both, if not it would take much longer reach God-Rank. By default those who you grant this ability gain an effect similar to Laplace Factor, which allows them to improve their Mana Reserves so long they train and continue to deplete their Mana Reserves and they also have the ability to pass Battle Aura/Magic System to their children and their descendants. You can also grant the same ability/talent to people who lack it in this jump."
,,Free,Three Hun and Seven Po,Chinese Mythology,Modus,"The dualism of existence is seen in all things, and this is all the more evident in the soul. A soul in this mythos is divided into two main parts, the hun and po. The hun is the ethereal/yang soul, tied to consciousness and existing independently of the body. The po, also known as the dense/yin soul, governs and is tied to the function of one’s physical vessel. The effects of possessing this combined soul is twofold. Your mind is no longer affected by the ills and failings of your body, for it is divorced from such by the hun. Your body’s condition is now affected by the state of your po, or physical soul; a healthy soul will help maintain your physical vessel in its prime condition, barring the interference of outside forces."
,,Free,Sharingan(Rinne Sharingan),Epic of Leviathan,Modus,"Third, is the final option, should you purchase both sets of abilities then you may merge them into the Rinne Sharingan. To merge them you would need to buy them separately for a total of 800 CP. This will only require one discount since they are under the same item. This will allow you to utilize all of the powers possessed by both eyes. In addition the abilities will be enhanced in strength even further. Lastly this will grant the user access to techniques such as Infinite Tsukuyomi and allow the user to travel to a personal pocket dimension. If you do not possess chakra then this ability will be powered by your stamina or any other energy sources you possess.

Requires Sharingan(Eternal Mangekyo) and Sharingan(Rinnegan) to Purchase"
,,Free,Cultivation ,Cultivation Chat Group,Modus,"Hopefully, if you’ve come to this jump, you have already heard of cultivation. This world has your typical Daoist, Buddhist, and scholarly cultivators, but there are also Witch cultivators and Holy Knight cultivators from the west. You join their ranks, being capable of cultivating in a particular style of your choice when you start this jump. You can also choose to learn other methods, techniques, and so on during your time here, but your initial style is guaranteed to not have any inherent bottlenecks which you can’t overcome."
