0,,CP Cost,Name,Jumpchain,Description,PERKS,COVER,90
11,,100,Territory Creation,Grand Foreigner,"Territory Creation is a skill possessed by anyone who owns a homebase, guild base, or similar structure. This skill allows the user to freely alter the appearance of the facility, set traps, and perform a variety of other functions for their properties. You will have a set amount of materials to work with initially, but you can provide additional materials to expand your property. Additionally this also allows the user to create NPCs to staff the base. The amount of levels you can distribute will depend on the quality of the property. For example, a campsite you assembled in a few minutes might offer you ten levels. A super massive fortress like Nazarick however, would likely give you 4500 levels to distribute.",,,
12,,200,Counter Magic,Fate/Kaleid Liner Prisma Illya ,"You know how to prepare a mud like substance that prevents the use of magic when submerged in it, useful for traps or imprisonment.",,,
13,,200,Up To Date,Generic Nasuverse,"You have an instinctive understanding of technology. Even if you don't initially have the slightest idea how a computer works, it'll only take you a few days of tinkering and playing around to develop a solid understanding. You also learn information related to technology much more easily and retain the information indefinitely.",,,
14,,200,Midwest Space Mechanic,Fate/Saber Wars,"It might look like some little lady’s first rocketship but underneath that bright paint is a real cosmic workhouse, courtesy of yourself. A junkyard ace able to tune up any space-age tech with some spare bolts and an afternoon, you’re a remarkable mechanic. While you have little experience with the sort of crude devices used in the 21st century, anything from the cosmic age you’re in now is pretty easy to maintain and repair. You’re a deft hand at making it work better too, if you have some good materials or tools, and you’re great at working without needing to take everything apart first. No need to dock your ships, you can do upgrades to pass the time on those long journeys. Even with some poorer components, like what misery young divinities might give to conserve their jewel treasury, you can make machines run far longer than they have any right to.",,,
15,,200,Black Boxed,Fate/Apocrypha,"Sure, sharing your stuff is all well and good...but on the off chance you want to keep a few things to yourself, or make sure you’re not expendable, this is the option for you. Now, regardless of analysis or how long you’ve actually worked with someone on your projects, nobody else can reverse engineer or even fully use anything you’ve developed or made if you don’t want them to. You can include and exclude people at will and at any time – up to you if one day somebody’s an expert with your stuff, the next they can’t even figure out how to turn it on.",,,
16,,200,Nameless Phantasm,Fate/Kaleid Liner Prisma Illya,"You have the ability to create cards containing nameless phantasms, manifestations of black shadowy weapons. The cards can be activated to take the form of any weapon that you choose on when making them. In terms of power they will be the equivalent of five times stronger than a mundane weapon but will break after one use. Making a single card is the act of a few minutes.",,,
17,,200,Material Focus,Generic Nasuverse,"Alchemy that focuses on altering inorganic material. Specifically, this allows for the alteration of one material into another and/or altering the innate properties of a material. This allows for the creation of substances ranging from incredibly strong metals to potent elixirs to dangerous poisons.",,,
18,,200,Flesh Focus,Generic Nasuverse,"Alchemy that focuses on altering organic material. Usually living material at that. Specifically, this allows a person to modify their own body using alchemical processes or to create new lifeforms, such as homunculi or chimera, using alchemy.",,,
19,,200,Familiar Master,Kara no Kyokai,"Most Magi are not fighters or soldiers. While they’re certainly threatening in general, many lack experience in war and most see risking their lives like that as barbaric. So they rely on others. Most commonly, they rely on familiars, a category of being that you are oddly gifted with. Outside of just a specialisation in magic, you appear to get significantly greater results than normal in anything regarding familiars. Your efforts to create them result in more powerful creatures made for less costs, while attempting to attract existing creatures to become your servants most often ends in a quite powerful new ally who is rather lenient in their required contract. You’ll quickly become well versed in using multiple familiars in your goals, particularly making use of them in combat instead of fighting yourself, and even find that maintaining familiars is relatively cheaper for you. 

A weak magus might not be much of a threat but if he had ten loyal spirits aiding him, they could most certainly take down even much larger game. In particular, any magecraft you know will soon reveal to you ways that it can be entwined with any familiars you have, sometimes stretching the boundaries of what’s normally possible in those disciplines when used for your focus here. Often methods to enhance your familiars during creation or battle, it may also show ways to create entirely new kinds of familiars. Perhaps a Doll Making specialist would learn to make familiars out of their own selves with this, an army of one!",,,
20,,200,The Love of Lightning,Fate/Grand Order,"Steam Power! Coal! Electricity! The Nuclear Age! All the greatest revolutionaries have brought new power with them, their obsessions letting them take great bounds over the opposition to advance all of humanity. You share that same potential with one form of technological power, greatly advancing your skill and potential when dealing with technology that uses it. It could be electricity powered tech, steam powered tech or even wind powered tech. Whatever you choose, you’ll be able to make them much stronger, much more efficient and much cheaper than you normally could. Not all energies are exactly equal however, so you may still find yourself needing more resources than normal, though you’d still get the increased power and efficiency.",,,
21,,200,System Worker,Fate/Extella,"A position normally only entrusted to neutral Casters but the story of this world proves that’s not really how it works out. The Moon Cell has decided to make you one of the system maintenance workers, Servants in charge of caring for the virtual reality within the computer structure. Superhuman skill with computers and most technology is yours now, mostly focused on repairing and maintaining it. Even alien technology, like that of Velber, is relatively easy for you to get in working order and keep it that way. You’re not able to alter much, the Moon Cell keeps that knowledge out of your hands with just this, but making new stuff isn’t too hard. You don’t know how to create the highly complex systems that form the core of the Moon Cell but pretty much anything on Earth till the year 2030 is easy to construct. Those lunar databases are good for something.",,,
22,,200,Crafting Skills,Fate/Revelation Online,"Within the world of SAO is a crafting system. This crafting system allows you to make things based on an input screen and 20 something hits to an ingot. While your levels in the appropriate skills do matter, surprisingly the ingots you use in forging are the most important factor in the result. By default, all players can access this in the game, hence its being free. However, if you purchased this with CP, you can use this system outside of the game. Along with this, you also start off with a 500 out of 1,000 in every skill using this system, immediately making you the best blacksmith in the game for quite some time, even if you never train these at all. This also makes you incredibly skilled in using hammer type weapons, but that's more of a side effect of the hammer weapon skill being used for crafting.",,,
23,,200,Conceptual Fertilization,Fate/Legends: Gardens of Avalon,"The secret art of Conceptual Fertilization is one that may seem a bit strange and even unnatural to those not as invested as you in the mystic arts but...well, they don’t complain so much when you show them the results. Conceptual Fertilization refers to a very rare magical ability that allows one to combine two things during the creation process of one of those things, transferring the qualities of the second thing onto the first. Combining the blood of a dragon with a infant in the womb to grant them the magical power of that dragon as they grow up, for instance. With time and further mastery, it may even be possible to combine more than one thing in this way, though one cannot begin to think of the sacrifices the failed attempts might cause. Additionally, you find that you are also able to perform this process on other things in their creation process, not just living beings, allowing you to infuse weapons or other objects in the process of being created with the traits of other things.",,,
24,,200,Child Rearing 101,Fate/Legends: Gardens of Avalon,"Children are ever so precious, especially when they make such perfect tools to turn against your foes. You have the knowledge of the strange processes used to create homunculi children and, beyond the norm for this kind of magic, you can do so as long as you have even a single sample from the body of your target, such as blood or a strand of hair, instead of needing semen. The homunculi can be carried to term within a artificial womb that has been properly prepared or within a woman, it makes little difference. The child will be a true descendant of the sample it was made from, possessing similar appearance and many of the same abilities and talents as their parent, though they are still beginners. Unlike their parent however, they will rapidly reach adulthood in just a year, quickly mastering their born advantages. So long as you created them, you are also able to effortlessly mould your homunculi into pursuing a purpose of your choice. They may try, through your mistakes or the influence of others, to take their own path in life but they will find that destiny agrees with you and be unnaturally forced towards the goal you decided for them. They can break free but it will be an epic task.",,,
25,,200,Grudge Forged,Fate/Legends: The Land of The Rising Sun ,"Ibaraki-douji created her favoured bone sword by tearing out the bones of many Oni and setting them into a forge of her own terrible flames for hundreds of days. A way of sword smithing only a demon could manage, a brutal and unrefined method that results in a brutal and unrefined sword. But that sword is powerful, near unbreakable and holds the furious grudges of the Oni sacrificed to make it, giving the weapon a deadly cursed aura. This sort of feat is much more applicable to your skills now, as you find it far easier to turn your own innate abilities to the work of crafting things. A dragon’s fire improves the quality of things forged in it, rather than just destroying the entire workshop. Cooling a forged sword in your own Youkai poison will still cool it as if with water but also imbue powerful toxins into the metal itself. You are able to add your abilities in creative ways to your creations without compromising them. Better still, you’re very good at focusing what you create to not harm yourself. Using the bones of hundreds of hate-filled demons to create a cursed sword would direct those curses at your enemies, not at the original wielder of the sword. No need to worry about life draining demon blades if you’re at the source of them all",,,
26,,200,Master of Puppets,Fate/Legends: Oasis of Fantasy,"Everyone is born with talent for something, your talent just happened to be making life. When it comes to magic involved in the creation of familiars, even the summoning of them, you’re miles beyond any of your peers. While you are not the best in the world with just this, your raw skill and power with magic still lacking compared to the greats, you’ll find anything in relation to the creation, alteration and maintenance of magical familiars, summons and living creations comes to you with the ease of breathing. You learn far faster, your products are of a vastly higher quality and come with far more efficiency than what your fellow magicians might create. It is even far more cost efficient for you to make them, as you take just a quarter of what others would expend to create the same things.
 
 You have particular talent too in ensuring the loyalty of that you consider a familiar, whether this be designing the minds of creatures you create as easily as you design their bodies or creating lines of spell or rune magic to add to a summoning ritual to ensure much stronger bonds of servitude exist on what you summon. It also happens that you are quite good at creating and overlooking legal contracts, mostly from all the interaction with demons.",,,
27,,200,Mystic Code Maker ,Fate/Revelation Online," Mystic Codes are one of the basic tools that Magi rely on. Rather than performing a spell, the Magus creates an item that performs the desired spell when fed Prana. This allows the Magus to focus on an act beyond casting the spell as well as allowing them to use spells that would normally be too complex to cast in a fast paced battle. It also allows you to refine the efficiency of the spell formula, and get more constant casts of that spell than you would be able to do normally due to its formulaic nature. The weakness of a Mystic Code is the same as any other item based ability, which is that it can be stolen, lost, broken, or otherwise misplaced. Regardless, you've become a master in making Mystic Codes. You have grown beyond the simple “perform spell when given Prana” type of Mystic Code and are able to make masterpieces like Volumen Hydrargyrum, although that would take months even for spells you are intimately familiar with. Unfortunately, Mystic Codes won't become available in SAO for some time now, so you'll have to rely on your own skills until you can start working on these.",,,
28,,200,Origami Witch,Fate/Legends: The Land of The Rising Sun ,"A simple art turned deadly in your hands. Years of experience in folding paper has certainly made you a master at creating even the most complex origami shapes, your skill growing to the point that it began to mix with your magical energy, turning into something much more dangerous. You can easily use magic to shape paper into a wide variety of forms, imbued with varying effects. Creating origami familiars from paper, dangerous enough to scythe through human soldiers, is a ground-level effect. Creating powerful shields from overlapping paper flowers, flight through origami wings, patterns that strengthen existing spells or apply curse-like debuffs to those pierced by the paper cranes are all possible. While your main skill lies with direct paper spells, you will also find it much more possible to place magical effects onto paper for use with your magic. Researching some form of Onmyoudo or runic spells could prove especially potent.",,,
29,,200,Personification,Fate/Legends: God Save the Queen,"Humanity has always sought to personify that which it encounters. Sea vessels given names and referred to as if they have feelings, swords considered trusted companions, entire nations being thought of as having aspects through which they manifest in times of need. Some of these are even true but with your intent, they might all be confirmed. You have the ability to give a humanoid form and mind to things without it, not merely objects like a ship or sword but even including locations like a castle or nation as well as ideas like a story or philosophy. It does not remove the original form of them, this new humanoid shape instead acting as an avatar that can control their origin. They have no inherent positive or negative feelings towards you for granting this form and depending on your relationship with their origin, might be anything from a loving ally to a hateful foe. The greater their origin, the greater the power of the avatar, with this greatness taking many forms. A simple steel sword or wooden sail ship would have little power beyond controlling the movement of their form. A powerful magical blade or the spirit of a globally famous story could be quite the fearsome foe in combat, even for a Heroic Spirit. Something on the scale of an Empire’s avatar or a widespread philosophy would be terrible indeed.",,,
30,,200,Doctor Jekyll's Potion Lessons,Fate/Legends: God Save the Queen,"Playing with potions isn’t just the purview of the magi. With enough study, even a supposedly ordinary man of intellect can begin to experiment with alchemical creations. Your experience with pharmaceutical substances and alchemy is quite extensive, enough to easily produce most medical substances found in the latter days of the British Empire. Making a profit from drug creation is really too simple. Your alchemy was more the focus, allowing for the creation of a variety of impressive but ultimately low level effects, notable more for how easily and cheaply you create them. Draughts that heal the physical form at visible speed or cleanse even the hardiest sickness away, poisons that rot the mind or violate the spirit over years, even narcotics that can influence the flow of magical energy within the subject. 

Your experiments, should you leave them unattended and not take simple action to avoid this, also have a much higher chance of accidents. Not necessarily something to fear, as these accidents produce much greater results than you’d normally expect or be able to achieve. The Hyde Elixir created by Doctor Jekyll is one such example. The accidents have potent effects but often come with some degree of drawback based on how far beyond your talents or materials the effects are. A supernatural potion of great power could turn the drinker into a raving lunatic at times, while something slightly beyond your means may merely have a foul taste and cause stomach illness for a few hours on drinking. These accidental creations can be reproduced with effort by studying the end results over time and, if desired, are not limited to just your alchemical creations.",,,
31,,200,Powerhouse Children,Vasto of White,"Inspired by the natural talents of the Kurosaki family, this perk guarantees that any children or beings you create will inherit immense potential, even surpassing your own. Whether it's due to your genetic material, your tutelage, or your creation process, these youngsters will be endowed with incredible abilities and will possess the potential to become legendary figures in their own right.

To help you raise these powerhouse children, this perk grants you all the necessary parenting skills and knowledge, ensuring that you can nurture their talents and help them achieve their full potential. You will know how to balance love and discipline, teach them vital life skills, and support their dreams and aspirations.

Moreover, any children or creations you have will be fiercely loyal to you, regardless of their moral alignment or personal beliefs. They will never betray you or turn against you, and will always stand by your side, ready to use their incredible powers to help you achieve your goals.",,,
32,,200,Little Echidna,Fate/Legends: Empires of Antiquity,"Life has so much potential, especially when it’s guided by a knowing hand. For you, the magic that alters the living is practically in your genes. You’ve got the ability to morph, change and twist the bodies of living things, simply pouring magical energy in while thinking of the desired changes. Mutating and making others into monsters is almost as easy as breathing, turning humans into piggies permanently is just the start of what you can do. Shapeshifting yourself and others and cursing others into extremely powerful monsters with enough energy are your staples but you can learn to take your innate ability and twist it towards controlling your creations, as well as other beings, or enchanting your effects into food or drink. It’s even possible for you to learn to create new life, though that may turn out to be a long term goal. Your innate ability is quite great and while the energy costs can be significant, they’ll be easier to manage the more comprehensive your knowledge of the biology you are twisting is, and you’ll find yourself with no small amount of talent with magic that deals with biological manipulation as well, though this natural capability of yours usually results in much more effective creations for the energy you put in compared to normal spell equivalents.",,,
33,,200,Creation of Familiars,Fate - The Island of Sin,"You are skilled in the creation of familiars—and not just one or two specific types, like most mages make use of, but any sort of familiar. Familiars can be imbued with their own Magic Circuits, allowing them to be used as a medium to cast spells; they also hold a connection to their master’s mind, and mental communication is possible. It’s even possible to outright take control of a soulless familiar, directing it with your mind while your body lies stationary. That often isn’t necessary, however, as a familiar’s connection to their master’s mind means that they carry out their will even without special direction.

Now, just about any half-decent mage can create a familiar. It’s a simple spell commonly worked on small animals, dead animals, or small statuettes. But while you have surpassing talent in all areas involving familiars, where you excel is transforming items into them—including items of such power as Noble Phantasms or your own CP-purchased gear. Using such excellent material, the resulting familiar will be able to change form into the appearance of some manner of fantastic beast, grow or shrink in size for convenience, and will be much more powerful than any ordinary familiar could be, proportional to the strength of the artifact they are created from.

Please note that while Ghost Liners can be considered a type of familiar, Servants are far too powerful and complex to actually create without magecraft on the same level the most advanced tier of Student of Mystery, and you’d have to possess appropriate components. But creating a Heroic Spirit out of a figure of legend or fiction that didn’t make a strong enough impact on history to be recorded on the Throne of Heroes is technically possible.",,,
34,,200,Spiritual Awakening,Vasto of White,"You possess the ability to awaken spirits within anything, including objects, weapons, ships, and even your own abilities. Drawing inspiration from Shirou's method of tracing weapons, you can awaken a spirit similar to that of a Zanpakuto spirit for each item, technique, or ability you possess. These spirits typically take on the form of their previous wielders or are based on them, making them unique and personal to you. These awakened spirits will directly aid you, making any attempt involving them significantly more efficient and powerful. They can grant you knowledge, skills, and abilities beyond what you would normally be capable of, as well as enhance your existing abilities and techniques. The more awakened spirits you have at your disposal, the greater your overall power and versatility.

You have complete control over the design of each awakened spirit, allowing you to tailor them to your specific needs and preferences. You can also choose to awaken spirits based on characters or concepts from other worlds and settings, further expanding your options and abilities. Furthermore, any spirit created using this method will be completely loyal to you, and will never turn against you. This means you don't have to worry about your enemies strengthening themselves through your awakened spirits. With this perk, you can awaken the full potential of any item, ability, or technique you possess, unlocking new levels of power and ability beyond what was previously possible.",,,
35,,200,Cups and Plants,Fate/Grand Order: SkyrimAnon,"The two main MacGuffins of Grand Order are Holy Grails, which are used for most of Parts 1 and 1.5, and Trees of Fantasy, used in Part 2. If you’d like to have some yourself but want to make them with your own two hands instead of being handed some, this perk is for you. What this does is give you a complete understanding of the processes and methods used to create both Holy Grails and Fantasy Trees. Do keep in mind that Holy Grails require a lot of energy and lengthy rituals to produce, while the Trees of Fantasy are even worse. With enough magical prowess and some patience, however, you might be able to turn a Singularity into a Lostbelt with a new Fantasy Tree if Chaldea doesn’t intervene just in time like they did in Shimousa. As a final note, thanks to you knowing the process and doing it yourself, you can modify the end result, such as making a subspecies Fantasy Tree that takes the form of a cursed castle instead of a weird white tree.",,,
36,,200,Egg,Fate/Grand Order: Cosmos In The Lostbelt,"The Human Order has its own laws to ensure the prosperity and survival of humanity. The Textures of the Age of Gods were formed from the beliefs of its mortal inhabitants. And now, you’ve become a nascent World in your own right, complete with your own laws of reality. Unfortunately there’s quite a few things that are simply constant across all Planets, and you’ll still have to inherit some traits of the Earth, a minimum required to be at least recognizable by those native to this Planet. Beyond that, however, it’s your World, and your rules. Perhaps you’d like to completely reject Pan-Human History, rendering any human Servant unsummonable? Of course, such things aren’t absolute, and just like there are ways to bypass the laws of the Human Order, there will be ways to bypass your rules. Not that it’s much of a downside, as you are still indeed a baby World.

Of course, to begin with the contents of your World will be based on your own mentality and view of the World, essentially being a Reality Marble on a slightly larger scale. With the right resources, you could potentially grow your World into a full Planet, although the amount of energy required would certainly be immense, not to mention needing to evacuate Earth if you don’t want to be kicked out violently by the Human Order.

Additionally, as a bonus, you’re able to absorb living beings to obtain the information of their makeup (even something as small as a hair is enough), and can later recreate them within your World with an appropriate investment of magical energy, although if you don’t have enough to, you can merely recreate a weaker version instead. This process of recreation is instant, of course, and the only limit is the space within your World and the magical energy available to you, letting you potentially create whole armies. Of course, you have some influence over the recreation, able to ‘program’ them, in a manner of speaking, however you wish, such as instilling unbreakable loyalty in you, or perhaps allowing them full individuality. Unfortunately if you want to create new life or modify the ‘templates’ formed from absorbed creatures, you’ll need to obtain that ability yourself, but if you’re trying to grow yourself into a full-sized World, you might obtain such conceptual Authorities automatically, depending on how much ego the natives of yourself have and how much they develop into a civilization. That is a long way to go, of course, but the potential is definitely there. What kind of World will you craft out of your own self?",,,
37,,300,A Big Chest,Fate/Hollow Ataraxia,"You can choose any one storage item, no bigger than a very large wardrobe, and grant it TARDIS-like storage conditions, allowing it to be much bigger on the inside than on the outside. Just make sure to leave it open if you go inside it, and don’t touch the magical stick that comes along with it. Seriously, don’t do that. While allowing for virtually infinite storage, it can not surpass more than a quarter of what your warehouse/warehouse addons can store and the item has to be able to fit as well (a car can’t be shoved into a chest for instance). In addition, things will basically pile on top of one another, making finding what you want to get harder than one might think if they have a huge collection. You may switch which item has this enchantment, but only one item can have it and you must empty out everything contained in the original item.",,,
38,,300,Playing with Dolls,Fate/Legends: The Land of The Rising Sun ,"Ever have the ninja pushed for more tricks and tools to keep them ahead of their foes. It’s only logical that their desires for a greater advantage over the raw power of the samurai would lead to such advancements in technology. The Danzou puppet is the culmination of incredible science and magic coming together as one, creating an artificial lifeform filled with the experiences and skills of many great ninja, equipped with advanced technology and powerful magic. It’s also something you have the knowledge to make and more besides.

You have the training in various disciplines to create advanced puppet bodies like this, as well as the weaponry and technology that Danzou makes use of in that body, even things like missiles. This covers both ordinary scientific knowledge and occult magecraft focused towards artificial bodies like this. It’s quite possible to turn an existing person into one of these puppets, albeit more difficult than making it from scratch. One of the more impressive parts of this field is the techniques that allow for the recording and uploading of knowledge or skills that people possess. With a willing or incapacitated subject, you know how to examine what they know and copy it over to another person.

Your studies in this field have also helped you realise how to capably combine magic with technology, creating things where the two work together to support and enhance both sides’ effects instead of interfering. While you can’t alter the basic metaphysics behind things such as mystery, you do know how to work it to your advantage.",,,
39,,300,Virtual Environment,Fate/Extra CCC,"What does it mean for the Moon Cell to be a digital reality? It’s not a virtual environment in the sense that you’re probably thinking of. It is very much a reality, following its own set of rules which is somewhat different from the reality of the Earth. You could call them Reality Marbles of a sort, although they don’t manifest the inner being of anyone in particular. Even if you’re not normally very good at Code Casts, you’ve learnt the trick to creating and maintaining these digital spaces. Of course, you might be able to learn how to make pockets of reality working off of different rules, but don’t underestimate just how complex the laws of reality can be. It’s recommended you stick to the inner workings you can automatically set up already.

These spaces require energy to not only create, but also to maintain, as you can probably guess, but by simply connecting it to something that you don’t seem to be able to interact with in any other manner, you can make a virtual space the size of a building that is completely defenseless to existential threats, but acceptable for most purposes. Should you have a source of great amounts of energy, you’ll be able to make larger and sturdier spaces, and perhaps if you have a source of energy on the level of the Core of a Planet, or perhaps the Moon Cell itself, you’d be able to construct an entire planet-sized reality following the rules of a digital world, provided enough time and effort to both create the thing and also make it anything other than an empty void.",,,
40,,300,Create Greater Item,Grand Foreigner,"Create Greater Item is an eighth rank spell that allows the caster to create any item. The only restriction is the amount of energy you have to power the spell. Items of greater complexity and higher quality require more energy. For example, a medium sized pirate ship required the same amount of mana as five tenth rank spells. Aside from mana you may also use any other form of energy to power this spell.",,,
41,,400,How Did Your Garden Grow?,Fate/Apocrypha,"Yes, you managed to construct something approximately the size of a small mountain...in total secrecy...near enemy territory. How? Only you know, because it was this perk. Feel free to build all manner of FULLY FUNCTIONAL BATTLE STATIONS, because up until you take off/activate the doomsday device/show up, nobody will realise what you were up to. Once it’s out in the open, however, you can’t hide it the same way. Hope you’ve got an escape plan.",,,
42,,400,Pupperty,Generic Nasuverse,"Spell for making puppets that you can control at will. In large part, the strength of the puppets depends on what materials they’re made from.

This allows for the creation of mystic codes capable of acting either independently of their creator or under the control of their creator. It’s also possible to create new body parts and attach them to a user, though doing so in a way that the new body part is indistinguishable from the natural body parts would require the skill of a master.",,,
43,,400,It Takes Just A Minute,Tsukihime,"You’ve come to see a doctor, but just look in the mirror, and you’ll find a healer...and the worst possible dealer. You’ve completed training as both a nurse and a pharmacist, able to identify the medicinal uses of herbs or plants on sight, and quickly learn what ones you don’t recognize can do in a matter of minutes. But that’s not all. In addition to being a fairly effective doctor and caretaker, you’re good at concocting drugs able to trigger supernatural stimuli - a homicidal urge here, a psychic link there - it needs to already exist for you to make drugs that can toy with it, but with a bit of study, there’s little you can’t push or pull with the right recipe. Paralysis, insanity, or even a good night’s sleep and a moment of sanity - you can do it all. Just swallow the pill and don’t worry about it~.",,,
44,,400,Sealed Creatrix,Witch on the Holy Night,"You’re a polymath of all things magical yes, that much should be obvious to anyone who knows of you, and even without any particular knowledge about a given field learning and picking up more comes easier to you than most modern magi. However, there is one area where you really shine: The creation of Mystic Codes-artifacts created by magecraft which supplement magic users and have various properties of their own. From designing your own mystic eyes to implant into others, to creating and patenting a form of broomstick-based flight your genius at innovating on magical principles of all kinds ensures that innovating your magic items is second nature to you. But your most terrifying capability is a gift for reverse engineering other magic items. From the most advanced works of man to the legacy of a long-lost god, with enough study, resources and patience creating simulacrae of wonders long lost to the modern age is well within your reach.",,,
