0,Perk Name,Cost,Source,Description
11,Dionysus Ultimate Blessing,150 CP,Original,"You cannot die from overdrinking; at some point, it will stop worsening. Any damage caused by drinking will be healed by a short hangover afterward. You do not suffer from the usual side effects of alcoholism, such as developing a tolerance to alcohol. While you are at least a little bit drunk, you cannot be poisoned by other substances. Your luck slightly increases with how drunk you are at the moment, though there is a limit. You are extremely knowledgeable about cocktails, alcoholic beverages, and how to drink them correctly. 

You can consume methanol or similar ""alcoholic"" substances without dying, going blind, or experiencing other severe consequences, but the hangover will be longer and much worse. You can still get drunk, even if other powers prohibit or make it impossible. You can experience degrees of drunkenness beyond what an unmodified human brain can normally comprehend. If you want to get intoxicated from drinking at the moment - you will!"
12,Ocean of Bouillon,100 CP,Original,"You can instantly conjure great quantities of fresh, boiling-hot (or cold, depending on the dish), and delicious soup, broth or stew in any targeted empty vessel. It must be some kind of mundane soup, broth or stew, and you should be somewhat familiar with specific dish to actually summon it. 

The substance created this way is enhanced to be perpetually hot (or cold, depending on the dish) and fresh until eaten or ruined by external factors (like dirt getting into it). After that, these special properties gradually (or abruptly) diminish and disappear completely. You can instantly fill a cauldron with your favorite stew, definitely a tub, or even the whole room. It just needs to be some non-living vessel with physical access to its insides. There is a limit of how much you can create at once, but its a lot of stew/soup/broth."
13,Administrator Engine,200 CP,Original,"This metaperk automatically connects to all other perks and powers you have and updates when you acquire new ones. Its primary goal is the management and control of the various effects that powers give you. It grants you the ability to tune and even turn powers on or off, even for ones which usually don't have any means of control. You can preprogram various quick changes to tweak the operation of many abilities at once, giving you more precise control over the abilities you possess and making it easier to monitor what they do and when. Of course, it works a bit differently with different perks and tries to adapt to them. Basically, it just gives a control panel to better monitor and manage your powers."
14,Fluid Light,50 CP,Original,"You are capable of absorbing light with the surface of your body, turning it into a transparent fluid and excreting it from any point on your body. Disturbing this substance causes it to partly revert back into light (for example, by suddenly heating it or punching it hard). This liquid is practically weightless and has very low viscosity. However, you can concentrate more light into the same volume of liquid. Doing so will make it heavier and more viscous, the more light you pack into it. Additionally, disturbing it will produce brighter light with a shorter wavelength. You are good at absorbing visible light but terrible at absorbing non-visible light. There is a limit to how much you can absorb, store, and recycle per unit of time."
15,Resources Conversion,200 CP,Original,"You have an inventory space size of one cubic meter. You can put resources, materials, and even some components into this extradimensional space with a touch, as long as they are not larger than a cube with a side of one meter. Things inside this space will be converted from one resource into another after specific time passes. How long this takes depends on three parameters: Properties, Composition, and Shape. How different these three between the original target and intended result. For example, you can put one type of steel into this space and turn it into another of your liking in a matter of minutes: one alloy of iron transformed into another. 

You are only aware of how long the transformation will take after putting something inside the space and choosing end state of conversion. You can eject items at any time (they will remain unchanged if not enough time has passed for full processing) and must do so if you want to change what is currently contained in this cubic dimension (you cannot add stuff, while something is inside). Trying to turn something into a completely different type of entity might take years and even decades to process, which is usually not worth it. Some small amount of material gets lost in the conversion process, proportionally to how much time it took to convert. End result depends on what you are asking this power to do, but cannot be anything but resource, material or component."
16,Valaknots,800 CP,Creature Guild,"Valaknots are ancient symbols that warp body and mind when carved into flesh. Believed to be gifted to mortals by the god of change, Maudamouros, these symbols allow the manipulation of living creatures - including animals, plants, and fungi. Valaknots do not work on dead material; they require living entities. They can reshape bodies, empowering or diminishing them in countless ways, and can even grant some the power to conjure or manipulate different matter. Valaknots are arranged into patterns called Valachains. Mistakes in carving will lead to consequences. 

You have the expertise and carving skills of a decently experienced Valaknot practitioner, but without a specific focus or tradition. You possess your own rather humble mental library of randomly chosen Valaknots: you know what they do and how they mesh together into various Valachains. By spending additional 200 CP (or more), you can buy proficiency in one of the specific traditions of the art: The Flesh Forge, The Saltfen Brood, The Fellwood Druids. By personally instructing and guiding others, you might give them ability to use and teach others the art of Valaknots. (Author: Creature Guild)"
17,,,,
18,,,,
19,,,,
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
100,,,,
101,,,,
102,,,,
103,,,,
104,,,,
105,,,,
106,,,,
107,,,,
108,,,,
109,,,,
110,,,,
111,,,,
112,,,,
113,,,,
114,,,,
115,,,,
116,,,,
117,,,,
118,,,,
119,,,,
120,,,,
121,,,,
122,,,,
123,,,,
124,,,,
125,,,,
126,,,,
127,,,,
128,,,,
129,,,,
130,,,,
131,,,,
132,,,,
133,,,,
134,,,,
135,,,,
136,,,,
137,,,,
138,,,,
139,,,,
140,,,,
141,,,,
142,,,,
143,,,,
144,,,,
145,,,,
146,,,,
147,,,,
148,,,,
149,,,,
150,,,,
151,,,,
152,,,,
153,,,,
154,,,,
155,,,,
156,,,,
157,,,,
158,,,,
159,,,,
160,,,,
161,,,,
162,,,,
163,,,,
164,,,,
165,,,,
166,,,,
167,,,,
168,,,,
169,,,,
170,,,,
171,,,,
172,,,,
173,,,,
174,,,,
175,,,,
176,,,,
177,,,,
178,,,,
179,,,,
180,,,,
181,,,,
182,,,,
183,,,,
184,,,,
185,,,,
186,,,,
187,,,,
188,,,,
189,,,,
190,,,,
191,,,,
192,,,,
193,,,,
194,,,,
195,,,,
196,,,,
197,,,,
198,,,,
199,,,,
200,,,,
201,,,,
202,,,,
203,,,,
204,,,,
205,,,,
206,,,,
207,,,,
208,,,,
209,,,,
